area_id,area_name,c18108001,c18108001_moe,c18108002,c18108002_moe,c18108003,c18108003_moe,c18108004,c18108004_moe,c18108005,c18108005_moe,c18108006,c18108006_moe,c18108007,c18108007_moe,c18108008,c18108008_moe,c18108009,c18108009_moe,c18108010,c18108010_moe,c18108011,c18108011_moe,c18108012,c18108012_moe,c18108013,c18108013_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,3006,423,35,45,48,47,2923,420,17611,917,599,184,300,189,16712,905,2881,356,280,114,506,161,2095,298
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61288,1616,11284,847,108,82,83,79,11093,842,38792,1226,1398,285,1654,275,35740,1219,11212,656,1592,226,3990,456,5630,440
BK19,Brighton Beach,31530,1324,5254,644,107,76,0,38,5147,640,19508,975,586,185,709,205,18213,966,6768,458,734,154,4032,405,2002,301
BK21,Seagate-Coney Island,29406,1273,6455,766,217,113,94,66,6144,738,17294,992,990,234,1231,247,15073,961,5657,489,419,112,2422,333,2816,373
BK23,West Brighton,15410,683,1287,245,0,27,13,31,1274,242,8157,749,440,145,541,181,7176,732,5966,454,979,209,1836,260,3151,432
BK25,Homecrest,41893,1458,10136,900,141,85,92,78,9903,886,24789,987,808,187,780,182,23201,998,6968,502,903,184,1898,251,4167,419
BK26,Gravesend,27759,1258,5203,703,99,62,49,51,5055,706,16315,890,889,213,769,192,14657,847,6241,501,800,173,1883,297,3558,474
BK27,Bath Beach,29100,1245,5690,629,53,50,29,54,5608,620,18358,989,585,145,651,156,17122,944,5052,426,551,137,1349,221,3152,367
BK28,Bensonhurst West,86412,2161,18128,1055,142,80,53,75,17933,1048,55182,1636,1703,272,1356,233,52123,1604,13102,777,1626,228,3252,479,8224,600
BK29,Bensonhurst East,61057,1648,11616,804,91,67,54,55,11471,803,39244,1288,1016,209,994,183,37234,1288,10197,617,1221,206,2598,285,6378,562
BK30,Dyker Heights,44934,1499,9293,779,65,58,62,97,9166,776,28612,1115,895,178,686,162,27031,1105,7029,497,875,168,1323,224,4831,437
BK31,Bay Ridge,83453,1976,17032,1084,238,116,48,73,16746,1074,54687,1358,1986,331,1574,290,51127,1333,11734,582,1307,197,2495,307,7932,505
BK32,Sunset Park West,52486,1676,12826,908,211,104,74,75,12541,889,35355,1225,1125,220,903,206,33327,1236,4305,454,652,160,1416,272,2237,307
BK33,Carroll Gardens-Columbia Street-Red Hook,38965,1308,7694,667,128,90,106,75,7460,640,27492,1001,1076,239,783,218,25633,982,3779,392,542,169,961,245,2276,310
BK34,Sunset Park East,71445,2070,17668,1107,159,85,165,95,17344,1103,48018,1557,1663,289,1122,227,45233,1558,5759,489,700,159,1666,271,3393,393
BK35,Stuyvesant Heights,64237,2087,16258,1164,403,158,159,99,15696,1137,41769,1417,2431,356,2171,352,37167,1370,6210,457,1036,209,1758,260,3416,374
BK37,Park Slope-Gowanus,72707,1868,12972,917,200,104,104,88,12668,906,53744,1352,1491,286,642,182,51611,1364,5991,470,687,164,1199,231,4105,387
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34719,1232,6379,606,251,128,90,79,6038,609,25337,980,1192,232,1163,254,22982,944,3003,327,446,111,959,276,1598,216
BK40,Windsor Terrace,22563,968,4183,546,112,77,23,32,4048,543,15810,669,478,220,318,132,15014,659,2570,276,360,118,645,156,1565,242
BK41,Kensington-Ocean Parkway,36020,1500,9656,883,135,117,66,58,9455,882,22754,983,983,220,1061,254,20710,965,3610,351,524,151,1261,261,1825,247
BK42,Flatbush,104778,2591,25572,1436,266,160,279,126,25027,1421,69544,1787,2456,349,2145,323,64943,1788,9662,564,1426,224,2391,297,5845,473
BK43,Midwood,51297,1622,13310,1035,164,81,56,65,13090,1036,31123,1068,1065,227,1226,253,28832,1102,6864,420,975,179,2116,259,3773,349
BK44,Madison,39981,1278,8335,715,85,73,16,56,8234,713,25690,873,840,164,785,209,24065,870,5956,396,917,178,1842,231,3197,332
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,48309,1466,12201,843,180,100,78,69,11943,837,29484,995,840,177,783,184,27861,975,6624,475,915,170,1367,231,4342,404
BK46,Ocean Parkway South,19508,1096,5557,681,38,38,12,35,5507,679,11319,702,394,135,190,70,10735,684,2632,260,457,124,832,152,1343,186
BK50,Canarsie,85624,2076,21215,1110,314,115,196,102,20705,1102,56852,1473,1771,270,1680,264,53401,1442,7557,576,977,179,1885,343,4695,409
BK58,Flatlands,70841,1717,16871,939,208,97,194,101,16469,934,45544,1239,1292,211,1180,216,43072,1237,8426,494,1146,192,1640,224,5640,435
BK60,Prospect Lefferts Gardens-Wingate,68838,2200,15262,1118,201,108,242,191,14819,1107,45330,1476,1875,305,1452,381,42003,1440,8246,655,1222,226,1762,416,5262,515
BK61,Crown Heights North,99659,2397,22721,1285,442,149,201,109,22078,1253,66064,1755,3380,429,2443,336,60241,1721,10874,623,1686,277,3283,420,5905,460
BK63,Crown Heights South,41211,1615,11164,974,122,63,79,66,10963,964,26030,1077,904,206,877,200,24249,1085,4017,363,599,143,692,152,2726,326
BK64,Prospect Heights,20435,951,2981,387,30,40,7,33,2944,387,15817,770,358,129,84,56,15375,761,1637,258,176,69,320,127,1141,222
BK68,Fort Greene,26206,1087,4780,518,116,79,79,68,4585,503,18979,838,762,197,752,172,17465,842,2447,258,292,97,811,166,1344,250
BK69,Clinton Hill,36409,1446,5893,628,25,42,0,40,5868,627,27232,1141,648,158,618,169,25966,1138,3284,322,547,133,665,157,2072,279
BK72,Williamsburg,32650,1531,15698,1189,130,86,21,36,15547,1167,14968,665,349,123,492,163,14127,684,1984,237,335,107,826,183,823,196
BK73,North Side-South Side,46039,1504,9041,876,64,70,71,64,8906,857,33780,1101,1008,236,902,224,31870,1102,3218,378,398,115,901,202,1919,314
BK75,Bedford,69849,2015,21547,1134,459,183,133,78,20955,1120,43264,1417,2286,342,1870,287,39108,1382,5038,443,818,178,1313,240,2907,357
BK76,Greenpoint,31508,1172,3324,490,33,45,50,62,3241,484,25483,977,470,137,408,136,24605,969,2701,308,374,105,673,155,1654,258
BK77,Bushwick North,61775,1934,15521,1044,447,194,167,93,14907,1007,42665,1430,1388,234,1358,258,39919,1443,3589,350,523,131,1008,201,2058,271
BK78,Bushwick South,70981,2232,17883,1123,541,203,181,98,17161,1089,47032,1681,2136,332,2253,358,42643,1623,6066,462,739,163,1780,317,3547,356
BK79,Ocean Hill,31779,1395,9246,784,215,103,78,70,8953,787,19392,943,1463,290,771,197,17158,872,3141,304,717,163,930,184,1494,225
BK81,Brownsville,55202,1835,16775,1117,435,141,201,106,16139,1105,32970,1203,1857,347,1398,279,29715,1166,5457,391,678,141,1317,247,3462,359
BK82,East New York,91686,2431,27302,1397,526,168,238,109,26538,1368,55920,1634,2616,359,2636,353,50668,1617,8464,618,1377,239,2247,393,4840,458
BK83,Cypress Hills-City Line,47466,1747,13443,927,119,86,51,59,13273,923,30683,1244,865,201,585,134,29233,1230,3340,338,289,103,645,149,2406,304
BK85,East New York (Pennsylvania Ave),29811,1192,9921,737,302,129,132,90,9487,711,17928,830,834,191,676,170,16418,836,1962,235,294,93,416,110,1252,199
BK88,Borough Park,105873,2868,40283,1983,337,110,124,76,39822,1965,55830,1640,1856,321,1409,244,52565,1607,9760,630,1333,215,3480,442,4947,422
BK90,East Williamsburg,33139,1146,4212,483,11,42,47,52,4154,479,24500,1021,994,202,729,201,22777,989,4427,426,728,207,1280,215,2419,330
BK91,East Flatbush-Farragut,52647,1676,11427,819,150,105,104,81,11173,809,34351,1247,1118,234,766,170,32467,1216,6869,450,971,174,1047,182,4851,414
BK93,Starrett City,12813,807,2655,438,91,69,62,61,2502,433,6889,641,525,252,392,136,5972,668,3269,259,598,183,1481,270,1190,248
BK95,Erasmus,29894,1514,7401,778,98,65,11,36,7292,768,19450,1004,526,139,522,175,18402,979,3043,338,313,118,396,138,2334,295
BK96,Rugby-Remsen Village,56082,1881,12538,963,220,108,29,59,12289,950,36413,1277,1306,262,1467,314,33640,1210,7131,584,927,196,1427,342,4777,440
BK99,park-cemetery-etc-Brooklyn,416,260,128,145,0,40,0,40,128,145,271,146,33,48,54,66,184,114,17,46,0,40,17,46,0,40
