area_id,area_name,b06004f001,b06004f001_moe,b06004f002,b06004f002_moe,b06004f003,b06004f003_moe,b06004f004,b06004f004_moe,b06004f005,b06004f005_moe
SI11,Charleston-Richmond Valley-Tottenville,347,405,78,82,18,34,16,40,235,333
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3394,837,1690,443,73,79,381,188,1250,465
SI14,Grasmere-Arrochar-Ft. Wadsworth,370,252,187,154,0,27,78,93,105,122
SI22,West New Brighton-New Brighton-St. George,2681,780,1349,452,14,45,209,115,1109,410
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,530,362,242,172,31,62,24,46,233,221
SI25,Oakwood-Oakwood Beach,283,148,174,150,11,34,72,76,26,39
SI28,Port Richmond,2200,744,1084,411,19,43,181,136,916,428
SI32,Rossville-Woodrow,21,42,21,42,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,893,525,427,360,0,27,60,66,406,248
SI36,Old Town-Dongan Hills-South Beach,648,398,300,183,0,32,48,70,300,267
SI37,Stapleton-Rosebank,3037,794,1657,537,12,39,256,151,1112,420
SI45,New Dorp-Midland Beach,911,486,321,174,0,29,83,91,507,338
SI48,Arden Heights,258,158,201,142,0,29,0,29,57,52
SI54,Great Kills,219,205,117,138,14,46,0,42,88,115
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17
