area_id,area_name,b18101a001,b18101a001_moe,b18101a002,b18101a002_moe,b18101a003,b18101a003_moe,b18101a004,b18101a004_moe,b18101a005,b18101a005_moe,b18101a006,b18101a006_moe,b18101a007,b18101a007_moe,b18101a008,b18101a008_moe,b18101a009,b18101a009_moe,b18101a010,b18101a010_moe
BK09,Brooklyn Heights-Cobble Hill,18810,996,2393,381,68,52,2325,381,14031,781,682,221,13349,766,2386,306,577,154,1809,262
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45355,1476,7523,687,125,85,7398,688,28397,1147,2215,313,26182,1133,9435,604,4954,473,4481,398
BK19,Brighton Beach,25285,1243,3839,591,99,75,3740,588,15106,884,1073,261,14033,876,6340,453,4571,415,1769,288
BK21,Seagate-Coney Island,12352,1091,2201,533,118,106,2083,524,6781,725,1079,238,5702,663,3370,371,1922,291,1448,277
BK23,West Brighton,15056,705,1227,246,13,31,1214,242,8018,760,981,232,7037,743,5811,457,2728,314,3083,427
BK25,Homecrest,35393,1414,8558,824,190,101,8368,812,20520,916,1420,260,19100,917,6315,474,2539,301,3776,392
BK26,Gravesend,16699,988,2138,407,54,45,2084,408,9203,758,1063,233,8140,713,5358,461,2248,311,3110,430
BK27,Bath Beach,17175,1077,2366,423,41,54,2325,409,10392,864,909,203,9483,829,4417,400,1655,231,2762,359
BK28,Bensonhurst West,47954,1812,8840,830,148,85,8692,818,28815,1291,1869,266,26946,1275,10299,703,4074,487,6225,522
BK29,Bensonhurst East,33602,1352,5092,539,78,69,5014,535,20735,1057,1547,251,19188,1047,7775,535,3110,307,4665,480
BK30,Dyker Heights,26218,1153,4545,499,47,51,4498,496,15982,913,1075,200,14907,891,5691,438,1733,249,3958,385
BK31,Bay Ridge,63135,1928,11900,1005,220,114,11680,994,41194,1297,2644,372,38550,1268,10041,541,3278,333,6763,458
BK32,Sunset Park West,23607,1589,5432,684,131,84,5301,675,16012,1112,999,214,15013,1072,2163,335,1202,269,961,207
BK33,Carroll Gardens-Columbia Street-Red Hook,25624,1085,4156,488,111,82,4045,476,18900,813,981,233,17919,792,2568,345,1000,229,1568,273
BK34,Sunset Park East,21957,1499,5041,726,155,96,4886,714,14145,1030,1295,243,12850,992,2771,350,1314,224,1457,250
