area_id,area_name,b24082001,b24082001_moe,b24082002,b24082002_moe,b24082003,b24082003_moe,b24082004,b24082004_moe,b24082005,b24082005_moe,b24082006,b24082006_moe,b24082007,b24082007_moe,b24082008,b24082008_moe,b24082009,b24082009_moe,b24082010,b24082010_moe,b24082011,b24082011_moe,b24082012,b24082012_moe,b24082013,b24082013_moe,b24082014,b24082014_moe,b24082015,b24082015_moe,b24082016,b24082016_moe,b24082017,b24082017_moe,b24082018,b24082018_moe
BK37,Park Slope-Gowanus,145788,21751,156327,40530,154250,46405,172637,229284,146875,46403,114772,84690,152535,53648,255972,124686,64748,9614,110947,13148,107703,43798,112999,22728,57482,120407,114894,41460,141599,48054,109982,42026,286500,259723,62639,48314
BX13,Co-op City,41967,6812,34379,3929,34133,4106,111066,88952,38696,12396,53289,10040,102788,59593,54956,2551,8958,17963,43681,4970,36697,6899,35743,4881,90736,49484,50182,10407,51396,6727,50786,39302,55833,4476,9141,2670
MN12,Upper West Side,186654,27968,243843,43800,239694,61276,323873,172497,201597,138330,209329,79712,145099,179014,61527,176073,84092,41167,136815,17565,147869,37586,146188,40094,187500,318377,123144,25603,141260,67898,228145,209727,188383,136017,77484,49677
MN20,Murray Hill-Kips Bay,92438,13841,91591,19891,90950,21198,116944,30940,92855,35281,82135,238259,125714,26409,126364,104999,32000,226334,57094,8487,57189,11398,57208,14103,57109,105993,80337,30523,49375,8058,47100,30797,36087,51709,95625,115918
MN25,Battery Park City-Lower Manhattan,72904,22791,97361,64577,106607,96457,54167,120559,44500,15798,30859,42956,77303,58485,124375,207705,69688,97171,58875,16824,50139,14471,49333,16435,63224,56277,71696,69713,69333,23360,64453,71540,129139,148693,20990,15194
MN31,Lenox Hill-Roosevelt Island,49599,14731,45877,8536,44811,10083,68869,146872,55313,34621,35761,12705,207794,313913,130192,56258,69148,36772,45925,7035,38676,11513,38272,11420,101250,225906,48008,3198,53173,20509,62095,14859,92523,2764,35625,19753
MN50,Stuyvesant Town-Cooper Village,71520,6404,72833,6564,74810,6039,41250,33677,71558,22964,58971,30372,97786,61282,49583,99657,35192,32870,64073,4957,64049,5258,63722,5248,91289,21543,70069,16334,82500,19538,112667,72214,44375,95853,31458,2122
QN22,Flushing,44540,10937,32215,9292,32145,8850,65625,82080,49942,15961,66161,7294,88068,32846,112969,73517,93409,83385,31186,4449,26547,8444,26312,8637,45579,60570,38750,10346,43737,6943,17308,24554,61827,9168,55197,89814
QN43,Bellerose,53617,5247,51250,17811,53664,15755,33259,113962,43654,32622,73854,13151,81250,83896,53523,4698,50432,72176,40874,3251,37295,6520,38750,5885,5455,5906,40583,29235,58462,23415,14559,49845,46761,22882,22963,18474
QN71,Old Astoria,31971,6559,31443,6443,31488,6639,21875,471696,34911,87935,57045,63323,100156,163240,67396,49677,21944,20944,46125,11319,51875,18832,49265,11843,160714,137033,41354,10507,30670,40684,11042,39378,48750,13453,21250,129918
SI05,New Springville-Bloomfield-Travis,50577,15825,39835,8460,39788,9493,45208,55668,118824,94780,65402,8770,63750,102012,83345,24767,30714,39894,37972,5730,33393,6820,33240,6620,70417,68061,42014,19445,51979,22779,35909,22298,53667,58991,8899,48551
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,115656,20008,101048,18762,107532,26733,44841,11420,153095,38328,188506,53449,140893,33681,140501,50651,86596,133702,82662,20918,76052,21146,78204,23045,32018,90738,77273,34114,119869,20475,115231,21164,80025,44594,28114,69784
SI45,New Dorp-Midland Beach,48507,13544,44295,19421,47375,22235,24208,8574,38542,588,72946,22691,48854,19217,7308,186571,19773,56786,36039,7969,36104,9428,36494,9624,17500,295,33194,32668,34219,10432,69886,6194,75114,38860,11591,78518
