area_id,area_name,b12005001,b12005001_moe,b12005002,b12005002_moe,b12005003,b12005003_moe,b12005004,b12005004_moe,b12005005,b12005005_moe,b12005006,b12005006_moe,b12005007,b12005007_moe,b12005008,b12005008_moe,b12005009,b12005009_moe,b12005010,b12005010_moe,b12005011,b12005011_moe,b12005012,b12005012_moe,b12005013,b12005013_moe,b12005014,b12005014_moe,b12005015,b12005015_moe,b12005016,b12005016_moe
BK09,Brooklyn Heights-Cobble Hill,20870,1002,8927,722,7490,640,1437,319,9644,774,7284,693,2360,383,238,110,210,104,28,40,718,180,562,158,156,107,1343,264,850,206,493,167
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,52291,1285,14864,905,10491,793,4373,507,27167,1109,9406,759,17761,1051,1111,216,476,144,635,178,5338,456,3214,350,2124,289,3811,430,1713,271,2098,358
BK19,Brighton Beach,27260,1021,7220,629,2923,401,4297,552,13410,846,1712,357,11698,806,686,165,62,49,624,161,3335,354,580,150,2755,329,2609,355,556,166,2053,320
BK21,Seagate-Coney Island,25312,995,10492,946,8615,861,1877,457,9431,749,3808,583,5623,584,1053,246,662,184,391,155,2378,285,1009,207,1369,228,1958,302,1086,218,872,206
BK23,West Brighton,14371,587,2790,388,1628,321,1162,285,7340,619,2082,420,5258,596,641,177,190,110,451,150,2104,282,922,208,1182,214,1496,318,480,149,1016,279
BK25,Homecrest,33500,1021,9193,736,5977,546,3216,523,19119,873,7836,680,11283,788,546,146,186,96,360,116,2356,255,1083,192,1273,197,2286,325,952,196,1334,276
BK26,Gravesend,23570,972,6795,611,4473,551,2322,390,12341,876,4008,536,8333,802,423,146,249,121,174,82,2088,281,1238,229,850,181,1923,297,937,200,986,240
BK27,Bath Beach,24303,973,7334,637,5245,571,2089,416,13437,771,4947,548,8490,682,459,180,271,139,188,91,1985,264,999,191,986,202,1088,196,669,140,419,133
BK28,Bensonhurst West,71813,1717,23099,1254,13012,930,10087,918,39157,1332,10334,796,28823,1274,980,197,323,112,657,167,4740,421,2114,268,2626,313,3837,396,1342,227,2495,329
BK29,Bensonhurst East,51376,1311,15151,918,8106,691,7045,709,28955,1109,6743,628,22212,1056,880,210,286,111,594,187,3588,340,1506,222,2082,265,2802,344,1149,207,1653,287
BK30,Dyker Heights,37564,1147,12143,777,8128,649,4015,570,20444,929,7808,590,12636,844,404,116,179,77,225,92,2931,314,1619,226,1312,230,1642,254,984,190,658,175
BK31,Bay Ridge,69726,1479,26651,1104,20308,1006,6343,640,32157,1225,15241,902,16916,997,1358,247,840,200,518,149,4847,409,2937,309,1910,288,4713,405,3119,315,1594,260
BK32,Sunset Park West,43765,1327,19635,1088,11916,808,7719,852,17799,1031,5462,605,12337,935,1373,266,581,173,792,199,1748,272,1015,209,733,175,3210,410,1651,271,1559,284
BK33,Carroll Gardens-Columbia Street-Red Hook,32742,1049,14718,920,12778,848,1940,403,13147,895,9739,740,3408,505,875,245,601,196,274,151,1679,291,1207,231,472,186,2323,378,1877,316,446,159
BK34,Sunset Park East,56575,1609,21380,1124,9789,707,11591,979,29097,1270,4763,556,24334,1253,1312,238,455,147,857,195,2184,289,684,146,1500,247,2602,333,1001,191,1601,274
BK35,Stuyvesant Heights,50804,1548,27870,1268,22820,1202,5050,643,12988,1011,7560,745,5428,678,2534,356,1860,312,674,171,3515,382,2765,336,750,197,3897,399,2716,339,1181,231
BK37,Park Slope-Gowanus,61688,1450,28523,1302,24699,1200,3824,560,26342,1229,19553,1075,6789,641,999,249,777,231,222,99,1630,301,1261,260,369,161,4194,444,3209,378,985,232
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,29703,1062,15307,883,13081,796,2226,366,9887,726,7097,601,2790,389,991,183,746,173,245,103,1316,249,978,224,338,109,2202,331,1801,313,401,122
BK40,Windsor Terrace,18907,724,7290,609,6018,583,1272,341,8784,659,5702,523,3082,463,401,140,184,91,217,116,1029,172,756,156,273,99,1403,252,1001,226,402,133
BK41,Kensington-Ocean Parkway,28073,1039,9621,789,5845,576,3776,583,14170,839,4455,534,9715,777,904,212,269,108,635,181,1779,294,517,155,1262,274,1599,274,684,152,915,239
BK42,Flatbush,84040,1916,39336,1545,21740,1252,17596,1314,30766,1405,9677,809,21089,1234,3302,437,828,210,2474,368,4568,446,1492,251,3076,372,6068,565,1859,313,4209,497
BK43,Midwood,40480,1080,12642,812,8316,668,4326,550,21393,914,10336,677,11057,789,986,234,202,103,784,214,2788,310,1039,198,1749,241,2671,343,1073,212,1598,272
BK44,Madison,33162,970,9454,663,5769,547,3685,472,18699,825,6262,538,12437,776,495,145,127,79,368,136,2273,261,1058,175,1215,209,2241,339,1191,268,1050,216
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,37999,1068,10705,740,8963,707,1742,287,21472,833,13034,815,8438,671,799,201,500,164,299,128,2689,316,1756,245,933,214,2334,316,1605,258,729,196
BK46,Ocean Parkway South,14896,743,4928,499,3953,446,975,252,7923,519,4477,409,3446,401,195,90,32,42,163,90,1057,173,522,129,535,133,793,156,373,106,420,113
BK50,Canarsie,69620,1674,31872,1241,19870,1016,12002,836,26325,1142,6891,633,19434,1029,2646,338,835,190,1811,288,3410,348,1416,218,1994,277,5367,471,1845,277,3522,383
BK58,Flatlands,57303,1358,24085,1051,16222,895,7863,706,23388,1039,7773,656,15615,900,1932,284,606,170,1326,237,3262,338,1216,195,2046,282,4636,398,1735,242,2901,331
BK60,Prospect Lefferts Gardens-Wingate,56616,1767,27581,1320,16331,1100,11250,952,17268,1162,5477,653,11791,987,2895,406,826,226,2069,352,3422,427,984,236,2438,363,5450,555,1627,282,3823,494
BK61,Crown Heights North,81871,1882,43944,1569,31768,1374,12176,1056,20892,1255,9046,783,11846,1019,4439,472,2321,337,2118,336,5164,481,3100,386,2064,300,7432,606,3281,378,4151,476
BK63,Crown Heights South,31727,1179,15032,992,10709,926,4323,590,10799,842,4355,503,6444,716,1647,307,662,205,985,222,1668,255,658,166,1010,201,2581,346,847,185,1734,311
BK64,Prospect Heights,17813,810,9581,758,7923,675,1658,328,5908,578,3933,468,1975,376,433,146,220,105,213,103,714,196,351,148,363,145,1177,239,744,180,433,162
BK68,Fort Greene,22857,919,12536,793,10624,749,1912,351,6652,614,3826,439,2826,457,857,203,519,152,338,129,1116,199,817,155,299,130,1696,264,1127,217,569,161
BK69,Clinton Hill,31170,1208,17667,1102,14840,1018,2827,439,8708,767,5730,594,2978,461,996,217,715,186,281,115,1229,237,938,207,291,115,2570,333,1919,303,651,172
BK72,Williamsburg,19272,740,5572,523,5374,515,198,87,11793,611,9037,565,2756,413,359,141,249,122,110,89,1080,193,523,154,557,146,468,199,274,106,194,169
BK73,North Side-South Side,38258,1131,21542,1080,17546,1039,3996,521,11735,860,6935,651,4800,586,1099,230,648,178,451,150,1218,236,745,190,473,152,2664,376,1562,292,1102,248
BK75,Bedford,51778,1544,27448,1280,22880,1174,4568,602,16025,959,10427,722,5598,638,2053,301,1436,257,617,163,2745,349,1988,304,757,184,3507,407,2170,283,1337,285
BK76,Greenpoint,28793,1007,13964,878,10909,785,3055,490,10510,802,4382,517,6128,631,640,174,228,89,412,161,1833,270,1030,181,803,203,1846,315,953,221,893,221
BK77,Bushwick North,49154,1453,26385,1260,14828,963,11557,1103,15416,1005,4332,505,11084,932,2440,351,905,207,1535,284,1686,265,814,177,872,207,3227,407,1423,253,1804,327
BK78,Bushwick South,56452,1791,30990,1371,22590,1240,8400,925,16411,1138,7072,768,9339,874,2359,366,1432,286,927,229,2788,367,2067,320,721,175,3904,424,2428,340,1476,266
BK79,Ocean Hill,23954,1044,11919,800,9155,726,2764,448,6962,654,3418,479,3544,471,1570,278,1122,245,448,153,1504,231,927,175,577,153,1999,295,1320,264,679,163
BK81,Brownsville,41543,1332,24251,1108,18959,1064,5292,598,9535,837,4149,558,5386,669,2452,338,1236,232,1216,244,2751,327,1969,267,782,188,2554,349,1210,240,1344,259
BK82,East New York,69506,1844,37014,1461,27640,1286,9374,896,20052,1240,8563,830,11489,920,3457,415,1866,301,1591,294,3577,396,2360,307,1217,244,5406,487,3083,375,2323,331
BK83,Cypress Hills-City Line,36826,1397,16538,976,9897,817,6641,720,14580,1013,4317,545,10263,904,1603,251,493,149,1110,209,1840,293,910,211,930,212,2265,316,873,196,1392,253
BK85,East New York (Pennsylvania Ave),21937,926,11949,752,8336,704,3613,507,5863,626,1794,347,4069,549,1197,228,746,181,451,137,982,206,482,140,500,160,1946,269,913,197,1033,216
BK88,Borough Park,71731,1797,22102,1236,15773,1041,6329,773,42238,1259,22305,977,19933,1074,1076,229,388,134,688,195,4396,455,1626,290,2770,340,1919,304,818,185,1101,244
BK90,East Williamsburg,29559,989,16030,858,13537,818,2493,367,8975,738,4566,534,4409,566,878,186,484,140,394,143,1778,253,1239,210,539,163,1898,307,1308,244,590,163
BK91,East Flatbush-Farragut,43347,1342,19539,1066,10490,827,9049,785,15102,934,3600,482,11502,849,2025,320,415,137,1610,298,2519,299,860,180,1659,248,4162,423,1065,240,3097,367
BK93,Starrett City,10713,589,4664,685,4018,655,646,315,2631,474,826,301,1805,402,649,208,326,158,323,143,1881,329,989,309,892,224,888,216,541,166,347,147
BK95,Erasmus,23859,1136,11362,861,5559,590,5803,684,7691,712,1410,311,6281,678,1280,280,309,144,971,237,1086,196,147,69,939,184,2440,351,481,151,1959,322
BK96,Rugby-Remsen Village,45904,1436,20763,1019,11288,793,9475,787,15751,969,3637,497,12114,854,2661,347,645,168,2016,304,2366,334,987,230,1379,242,4363,450,1279,241,3084,404
