area_id,area_name,b07011001,b07011001_moe,b07011002,b07011002_moe,b07011003,b07011003_moe,b07011004,b07011004_moe,b07011005,b07011005_moe,b07011006,b07011006_moe
BK09,Brooklyn Heights-Cobble Hill,252710,24048,265219,28641,349759,142635,253802,47522,150629,60224,137494,330654
BK28,Bensonhurst West,14013,1615,15105,2358,9890,2501,15859,6979,13750,2643,3750,3397
BK31,Bay Ridge,35476,5564,35708,6280,26406,7840,47917,51260,50036,12511,15815,9279
BK32,Sunset Park West,100572,8797,99860,9243,130614,27398,151928,27888,184043,89323,91181,30173
BK33,Carroll Gardens-Columbia Street-Red Hook,46581,9496,46985,10176,35673,24421,70179,15708,53073,25120,28875,524
BK34,Sunset Park East,58833,5025,59498,5603,52210,9687,74212,65029,93699,74538,58740,53102
BK35,Stuyvesant Heights,29129,5482,27370,4198,45088,22053,20250,24324,38229,21045,4000,28661
BK37,Park Slope-Gowanus,513488,25970,527858,31195,521363,75986,524818,137293,409317,146513,422272,260593
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,253300,20932,253773,21378,240308,102069,206133,132685,175840,129242,183230,125192
BK41,Kensington-Ocean Parkway,21266,4652,21090,5035,35281,22651,25078,12327,16989,43711,15982,11112
BK42,Flatbush,33508,5927,33649,5221,44904,42119,21771,35190,22614,1671,21875,88244
BK43,Midwood,25396,5702,24300,6301,17813,21075,38605,884,84063,61778,57569,96106
BK58,Flatlands,35154,3913,36941,4396,7024,4822,30571,34135,14028,16449,26250,21562
BK60,Prospect Lefferts Gardens-Wingate,28106,3918,28700,3525,10682,12481,56713,1758,55125,94713,42679,11439
BK61,Crown Heights North,117764,12117,122694,11158,121767,84593,105709,91459,61253,74209,57369,24954
BK63,Crown Heights South,28320,3611,27550,3292,47788,29623,23750,31630,21667,11795,49208,16595
BK64,Prospect Heights,123270,10297,122649,16400,144693,36304,102337,65241,62864,50789,100736,65528
BK68,Fort Greene,107461,15719,106731,14474,86556,70438,136557,73278,109563,120400,113125,76876
BK69,Clinton Hill,60759,7826,63417,8410,50032,79753,69024,30191,31035,29227,43012,29325
BK73,North Side-South Side,227896,13255,224044,18239,239575,73479,295891,86148,291773,85572,137007,65384
BK75,Bedford,46789,6969,47504,8215,41944,19965,9611,16820,52510,19081,40649,23287
BK76,Greenpoint,114284,13020,117325,13626,130563,75326,82939,43077,35937,108066,206345,224919
BK77,Bushwick North,104893,6149,97816,7468,114969,19371,164705,33394,109412,34931,339852,286925
BK78,Bushwick South,59626,7985,58527,8947,76103,22502,37742,74057,61864,36882,44334,31722
BK88,Borough Park,19009,2324,20575,2332,9140,997,10670,13279,51250,5844,9301,19399
BK90,East Williamsburg,90457,10802,91267,13514,121342,35560,89526,58270,97986,83176,117753,112339
BX03,Eastchester-Edenwald-Baychester,27664,4550,27058,3802,39959,12771,53571,69294,20659,794,30542,11674
BX05,Bedford Park-Fordham North,39285,5036,38646,5136,45346,28689,76005,49788,30059,18925,59283,68652
BX14,East Concourse-Concourse Village,28191,2342,28156,2803,30659,10492,52761,16756,13382,13347,19229,12932
BX22,North Riverdale-Fieldston-Riverdale,49271,5944,49677,6924,26875,21473,76250,80701,56075,19988,7011,78433
