area_id,area_name,c27004001,c27004001_moe,c27004002,c27004002_moe,c27004003,c27004003_moe,c27004004,c27004004_moe,c27004005,c27004005_moe,c27004006,c27004006_moe,c27004007,c27004007_moe,c27004008,c27004008_moe,c27004009,c27004009_moe,c27004010,c27004010_moe,c27004011,c27004011_moe,c27004012,c27004012_moe,c27004013,c27004013_moe,c27004014,c27004014_moe,c27004015,c27004015_moe,c27004016,c27004016_moe,c27004017,c27004017_moe,c27004018,c27004018_moe,c27004019,c27004019_moe,c27004020,c27004020_moe,c27004021,c27004021_moe
MN28,Lower East Side,73746,2034,34803,1349,6003,678,2373,450,3630,568,23518,1129,10436,855,13082,919,5282,464,924,193,4358,448,38943,1393,6064,623,2667,470,3397,535,25579,1098,11660,855,13919,853,7300,513,1233,230,6067,490
MN31,Lenox Hill-Roosevelt Island,79212,2509,35109,1683,5208,697,4769,680,439,238,24516,1355,20353,1292,4163,578,5385,580,2703,410,2682,450,44103,1701,5203,675,4415,648,788,304,31953,1405,25812,1314,6141,776,6947,599,2447,368,4500,523
MN32,Yorkville,77257,2062,33237,1351,4385,540,3775,517,610,206,24012,1135,19012,1008,5000,691,4840,583,1924,300,2916,513,44020,1643,4847,602,4017,531,830,305,32300,1380,25224,1222,7076,876,6873,616,2468,354,4405,578
MN33,East Harlem South,58942,1914,28070,1455,6331,741,2009,382,4322,674,19462,1181,9097,832,10365,1003,2277,286,613,160,1664,261,30872,1259,5422,600,2029,326,3393,535,20771,986,10473,798,10298,836,4679,376,934,174,3745,383
MN34,East Harlem North,60016,2196,27068,1444,8203,823,2477,590,5726,689,16692,1101,5943,650,10749,993,2173,331,594,179,1579,276,32948,1528,7331,886,2152,532,5179,753,21401,1047,8085,711,13316,957,4216,395,784,163,3432,385
MN35,Washington Heights North,69655,2124,32859,1435,6859,669,2260,403,4599,608,22905,1168,10094,707,12811,1014,3095,396,913,205,2182,333,36796,1413,6271,623,2282,391,3989,547,25307,1148,11806,824,13501,951,5218,451,1239,253,3979,401
MN36,Washington Heights South,89205,2959,43893,2127,7724,843,2034,389,5690,760,32088,1756,11334,979,20754,1487,4081,454,800,206,3281,438,45312,1769,8713,833,2562,502,6151,743,30248,1304,10815,824,19433,1211,6351,523,875,188,5476,517
MN40,Upper East Side-Carnegie Hill,58822,1763,26407,1036,5246,509,4691,495,555,182,14782,730,12630,688,2152,337,6379,445,3282,366,3097,338,32415,1122,5669,543,5100,531,569,181,18531,781,14728,724,3803,452,8215,507,3403,368,4812,437
MN50,Stuyvesant Town-Cooper Village,21864,1099,9646,931,928,225,789,204,139,103,7553,863,5880,777,1673,480,1165,258,723,240,442,153,12218,1005,961,258,837,249,124,91,8642,938,6434,776,2208,763,2615,303,1484,242,1131,312
MN99,park-cemetery-etc-Manhattan,1353,511,1143,461,8,33,0,32,8,33,1076,440,21,44,1055,450,59,61,9,33,50,55,210,148,3,30,0,32,3,30,183,148,0,32,183,148,24,39,0,32,24,39
QN01,South Jamaica,36851,1578,16872,985,5037,583,1539,295,3498,519,10425,719,4702,529,5723,632,1410,203,503,124,907,175,19979,969,4931,559,1568,290,3363,519,12256,648,5951,472,6305,536,2792,284,897,173,1895,256
QN02,Springfield Gardens North,26785,1605,11184,953,2840,489,1569,349,1271,396,6902,754,4672,637,2230,516,1442,292,900,224,542,210,15601,1089,3427,542,1652,395,1775,446,9575,723,6601,617,2974,494,2599,337,1195,226,1404,277
