area_id,area_name,b19202c001,b19202c001_moe
BK32,Sunset Park West,40004,10244
BK35,Stuyvesant Heights,11985,25937
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5357,7443
BX34,Melrose South-Mott Haven North,7955,5599
BX35,Morrisania-Melrose,4479,4666
BX40,Fordham South,12768,6322
BX43,Norwood,87768,85055
BX63,West Concourse,8906,727
MN03,Central Harlem North-Polo Grounds,17625,38674
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,56563,105214
MN33,East Harlem South,135385,196420
MN35,Washington Heights North,106250,244675
MN36,Washington Heights South,9477,5607
QN19,Glendale,33056,19048
QN71,Old Astoria,20759,5040
