area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
BK09,Brooklyn Heights-Cobble Hill,17138,899,3122,440,305,113,47,40,111,70,144,74,37,36,146,84,58,46,99,57,53,46,67,50,45,46,134,86,108,80,94,85,875,229,799,195,14016,731
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40879,1395,8124,700,142,76,512,183,294,117,258,155,430,144,397,151,283,105,352,113,368,142,378,115,378,153,488,194,373,149,429,148,2326,370,716,195,32755,1049
BK19,Brighton Beach,21656,1064,3579,547,160,138,131,88,162,120,163,99,103,74,119,81,119,80,184,104,169,119,123,81,119,80,177,106,170,90,172,87,1137,237,371,140,18077,843
BK21,Seagate-Coney Island,9332,876,1545,383,49,54,84,80,145,91,77,65,68,61,54,60,62,57,94,76,65,64,29,47,62,63,109,92,190,108,73,66,296,119,88,69,7787,650
BK23,West Brighton,14715,731,1823,358,35,49,64,67,23,33,120,90,79,74,37,44,35,42,43,46,32,37,56,55,150,105,35,41,69,71,116,70,686,203,243,122,12892,570
BK25,Homecrest,32181,1340,8926,817,599,147,574,158,501,132,367,112,349,103,497,144,453,142,590,145,404,108,403,110,390,132,396,104,412,119,537,143,1981,316,473,163,23255,859
BK26,Gravesend,14321,833,2398,403,145,97,93,71,2,34,114,75,122,84,48,53,117,59,103,83,77,53,116,72,52,51,122,72,124,80,81,63,880,238,202,116,11923,646
BK27,Bath Beach,15279,975,2715,474,193,112,97,56,43,54,154,81,83,64,207,100,74,55,93,63,77,56,96,59,142,78,115,60,58,46,134,66,916,212,233,107,12564,763
BK28,Bensonhurst West,39530,1533,7783,736,276,109,398,142,383,147,140,83,321,116,338,132,362,138,433,134,472,148,372,143,421,137,353,113,553,154,405,118,1962,305,594,164,31747,1151
BK29,Bensonhurst East,27978,1219,4424,481,264,104,256,116,190,94,140,85,141,87,253,102,75,61,121,81,143,69,231,92,171,83,222,90,187,95,214,94,1390,241,426,126,23554,1001
BK30,Dyker Heights,22951,1032,4207,452,226,88,146,79,145,76,151,83,175,80,164,75,299,105,126,71,210,94,217,87,253,104,216,86,271,103,274,104,920,199,414,158,18744,836
BK31,Bay Ridge,53898,1773,11782,974,794,185,505,149,657,217,565,182,541,146,438,142,538,147,519,190,427,139,439,145,418,131,544,161,478,136,707,188,2633,358,1579,264,42116,1209
BK32,Sunset Park West,9463,773,1733,340,117,73,97,65,39,59,85,69,94,71,39,67,57,59,38,50,41,57,107,66,91,72,25,51,16,50,87,70,470,197,330,111,7730,648
