area_id,area_name,b17020d001,b17020d001_moe,b17020d002,b17020d002_moe,b17020d003,b17020d003_moe,b17020d004,b17020d004_moe,b17020d005,b17020d005_moe,b17020d006,b17020d006_moe,b17020d007,b17020d007_moe,b17020d008,b17020d008_moe,b17020d009,b17020d009_moe,b17020d010,b17020d010_moe,b17020d011,b17020d011_moe,b17020d012,b17020d012_moe,b17020d013,b17020d013_moe,b17020d014,b17020d014_moe,b17020d015,b17020d015_moe,b17020d016,b17020d016_moe,b17020d017,b17020d017_moe
BK09,Brooklyn Heights-Cobble Hill,1639,398,122,84,0,29,0,29,0,29,0,29,92,71,11,35,19,35,1517,390,60,85,16,37,11,32,20,36,1326,342,35,39,49,70
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9788,1113,1378,425,85,95,0,55,63,68,215,131,838,267,134,112,43,60,8410,1075,597,207,166,108,385,140,550,191,5775,721,599,195,338,117
BK19,Brighton Beach,4128,735,655,407,16,42,16,42,53,58,120,100,432,280,18,40,0,38,3473,670,175,98,87,66,316,151,187,97,2388,444,241,100,79,62
BK21,Seagate-Coney Island,3078,595,1170,341,31,45,25,45,47,52,206,105,642,237,180,101,39,45,1908,516,51,72,30,49,133,75,136,94,1362,394,142,86,54,52
BK23,West Brighton,110,99,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,110,99,0,27,0,27,13,32,0,27,59,57,22,42,16,36
BK25,Homecrest,4336,805,854,348,42,65,0,48,145,93,162,104,355,166,75,79,75,72,3482,749,147,131,32,60,188,147,266,145,2503,529,214,136,132,83
BK26,Gravesend,6568,925,1304,436,101,87,24,50,72,66,149,88,868,288,56,66,34,55,5264,878,408,167,74,65,337,167,371,151,3695,581,256,151,123,88
BK27,Bath Beach,9224,1059,2098,561,161,103,19,48,247,126,204,140,1360,354,58,71,49,50,7126,1003,541,183,135,83,607,177,455,137,5006,709,277,113,105,57
BK28,Bensonhurst West,32319,1827,6500,992,415,159,117,87,714,230,829,229,3766,617,285,121,374,151,25819,1804,1504,297,355,131,1658,319,1982,312,18388,1337,1249,257,683,187
BK29,Bensonhurst East,23647,1641,4250,831,244,149,68,61,395,158,407,165,2492,511,248,130,396,154,19397,1554,1141,257,272,142,1439,313,1381,279,13605,1107,974,224,585,161
BK30,Dyker Heights,16691,1425,3423,846,368,199,61,66,233,122,364,141,2070,512,184,101,143,88,13268,1363,858,245,177,100,1129,310,1078,235,9123,911,415,150,488,160
BK31,Bay Ridge,11657,1109,2268,583,118,103,34,84,219,134,177,116,1350,374,208,94,162,102,9389,1041,332,111,70,75,557,183,604,174,6754,780,693,197,379,128
BK32,Sunset Park West,8531,1016,2405,563,249,145,19,54,227,142,105,74,1560,362,76,73,169,95,6126,959,554,199,81,77,267,121,351,138,4272,718,337,126,264,115
BK33,Carroll Gardens-Columbia Street-Red Hook,2316,567,68,69,0,45,0,45,0,45,0,45,28,47,40,65,0,45,2248,564,142,97,49,66,61,55,97,74,1800,495,41,53,58,63
BK34,Sunset Park East,34938,1774,12870,1280,1254,298,323,118,935,237,1115,278,8074,822,581,181,588,171,22068,1634,1398,304,186,86,1633,325,1272,256,16250,1229,896,225,433,144
BK35,Stuyvesant Heights,1874,547,546,273,102,94,0,51,61,69,22,52,282,145,36,76,43,72,1328,482,64,77,18,53,100,105,76,83,1048,360,11,53,11,52
BK37,Park Slope-Gowanus,4652,634,353,151,6,57,0,58,6,57,6,57,315,140,11,58,9,58,4299,615,172,110,28,64,61,65,80,76,3759,560,155,152,44,73
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2962,475,507,279,24,52,23,51,23,51,9,43,379,193,20,41,29,51,2455,382,57,51,18,43,141,77,80,77,2005,325,68,63,86,57
BK40,Windsor Terrace,2208,511,639,346,23,47,0,32,56,82,64,76,350,223,61,81,85,74,1569,403,79,58,45,54,0,32,70,71,1183,339,132,77,60,64
BK41,Kensington-Ocean Parkway,8790,1194,2991,722,333,139,20,47,373,153,410,181,1774,396,73,69,8,39,5799,1040,586,286,130,80,303,136,506,239,4036,706,133,81,105,83
BK42,Flatbush,8821,1076,2901,785,231,118,87,102,543,252,339,155,1574,443,116,110,11,68,5920,918,368,157,82,84,260,115,612,224,4227,634,300,130,71,79
BK43,Midwood,5149,801,1929,521,210,137,19,56,276,119,160,96,992,319,220,112,52,60,3220,692,187,113,46,61,348,183,181,93,2270,489,137,74,51,57
BK44,Madison,8472,942,1107,366,52,66,0,46,55,56,145,112,796,263,24,54,35,49,7365,900,319,129,125,80,555,190,561,156,4911,598,421,124,473,162
