area_id,area_name,b99151001,b99151001_moe,b99151002,b99151002_moe,b99151003,b99151003_moe
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,56248,-1,1644,-1,54604,-1
MN14,Lincoln Square,47993,-1,1298,-1,46695,-1
MN15,Clinton,35364,-1,1765,-1,33599,-1
MN17,Midtown-Midtown South,22526,-1,837,-1,21689,-1
MN19,Turtle Bay-East Midtown,40594,-1,1567,-1,39027,-1
MN20,Murray Hill-Kips Bay,37558,-1,1389,-1,36169,-1
MN21,Gramercy,20982,-1,761,-1,20221,-1
MN22,East Village,32043,-1,1396,-1,30647,-1
MN23,West Village,53425,-1,1394,-1,52031,-1
MN24,SoHo-TriBeCa-Civic Center-Little Italy,30008,-1,1043,-1,28965,-1
MN25,Battery Park City-Lower Manhattan,27828,-1,901,-1,26927,-1
MN27,Chinatown,34996,-1,4032,-1,30964,-1
MN28,Lower East Side,54940,-1,4490,-1,50450,-1
MN31,Lenox Hill-Roosevelt Island,65763,-1,3781,-1,61982,-1
MN32,Yorkville,63190,-1,1927,-1,61263,-1
MN33,East Harlem South,40385,-1,4675,-1,35710,-1
MN34,East Harlem North,37064,-1,3154,-1,33910,-1
MN35,Washington Heights North,48733,-1,4973,-1,43760,-1
MN36,Washington Heights South,62105,-1,7008,-1,55097,-1
MN40,Upper East Side-Carnegie Hill,45455,-1,1480,-1,43975,-1
MN50,Stuyvesant Town-Cooper Village,16612,-1,379,-1,16233,-1
MN99,park-cemetery-etc-Manhattan,1423,-1,568,-1,855,-1
QN01,South Jamaica,22828,-1,2927,-1,19901,-1
QN02,Springfield Gardens North,18336,-1,1924,-1,16412,-1
QN03,Springfield Gardens South-Brookville,12606,-1,1432,-1,11174,-1
QN05,Rosedale,17555,-1,2465,-1,15090,-1
QN06,Jamaica Estates-Holliswood,18440,-1,944,-1,17496,-1
QN07,Hollis,14430,-1,1501,-1,12929,-1
QN08,St. Albans,34170,-1,3265,-1,30905,-1
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,21324,-1,1565,-1,19759,-1
QN12,Hammels-Arverne-Edgemere,21427,-1,3525,-1,17902,-1
QN15,Far Rockaway-Bayswater,30210,-1,5014,-1,25196,-1
QN17,Forest Hills,65663,-1,3871,-1,61792,-1
QN18,Rego Park,21272,-1,1519,-1,19753,-1
QN19,Glendale,21807,-1,778,-1,21029,-1
QN20,Ridgewood,45815,-1,2732,-1,43083,-1
QN21,Middle Village,29125,-1,1731,-1,27394,-1
QN22,Flushing,52182,-1,7225,-1,44957,-1
QN23,College Point,16809,-1,1423,-1,15386,-1
QN25,Corona,35077,-1,5618,-1,29459,-1
QN26,North Corona,31701,-1,7542,-1,24159,-1
QN27,East Elmhurst,15084,-1,2602,-1,12482,-1
QN28,Jackson Heights,73742,-1,7374,-1,66368,-1
QN29,Elmhurst,59360,-1,7097,-1,52263,-1
QN30,Maspeth,19823,-1,2163,-1,17660,-1
QN31,Hunters Point-Sunnyside-West Maspeth,46088,-1,4698,-1,41390,-1
QN33,Cambria Heights,14536,-1,1370,-1,13166,-1
QN34,Queens Village,39000,-1,4132,-1,34868,-1
QN35,Briarwood-Jamaica Hills,27709,-1,2092,-1,25617,-1
QN37,Kew Gardens Hills,24106,-1,1750,-1,22356,-1
QN38,Pomonok-Flushing Heights-Hillcrest,21744,-1,1181,-1,20563,-1
QN41,Fresh Meadows-Utopia,12557,-1,394,-1,12163,-1
QN42,Oakland Gardens,20624,-1,817,-1,19807,-1
QN43,Bellerose,17989,-1,702,-1,17287,-1
QN44,Glen Oaks-Floral Park-New Hyde Park,17376,-1,488,-1,16888,-1
QN45,Douglas Manor-Douglaston-Little Neck,18952,-1,547,-1,18405,-1
QN46,Bayside-Bayside Hills,33296,-1,1665,-1,31631,-1
QN47,Ft. Totten-Bay Terrace-Clearview,17587,-1,562,-1,17025,-1
QN48,Auburndale,14999,-1,938,-1,14061,-1
QN49,Whitestone,23113,-1,1096,-1,22017,-1
QN50,Elmhurst-Maspeth,18695,-1,2156,-1,16539,-1
QN51,Murray Hill,38638,-1,3405,-1,35233,-1
QN52,East Flushing,20623,-1,2070,-1,18553,-1
QN53,Woodhaven,37628,-1,6025,-1,31603,-1
QN54,Richmond Hill,41963,-1,5294,-1,36669,-1
QN55,South Ozone Park,52757,-1,7084,-1,45673,-1
QN56,Ozone Park,14481,-1,1941,-1,12540,-1
QN57,Lindenwood-Howard Beach,21471,-1,3230,-1,18241,-1
QN60,Kew Gardens,17087,-1,955,-1,16132,-1
QN61,Jamaica,34111,-1,3778,-1,30333,-1
QN62,Queensboro Hill,14540,-1,1770,-1,12770,-1
QN63,Woodside,32839,-1,4395,-1,28444,-1
QN66,Laurelton,17394,-1,1535,-1,15859,-1
QN68,Queensbridge-Ravenswood-Long Island City,11629,-1,1492,-1,10137,-1
QN70,Astoria,57271,-1,5504,-1,51767,-1
QN71,Old Astoria,18796,-1,1270,-1,17526,-1
QN72,Steinway,37293,-1,2738,-1,34555,-1
QN76,Baisley Park,21697,-1,2519,-1,19178,-1
QN98,Airport,0,-1,0,-1,0,-1
QN99,park-cemetery-etc-Queens,323,-1,44,-1,279,-1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,19716,-1,921,-1,18795,-1
SI05,New Springville-Bloomfield-Travis,27819,-1,1107,-1,26712,-1
SI07,Westerleigh,17081,-1,884,-1,16197,-1
SI08,Grymes Hill-Clifton-Fox Hills,13649,-1,1024,-1,12625,-1
SI11,Charleston-Richmond Valley-Tottenville,15882,-1,632,-1,15250,-1
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,18472,-1,959,-1,17513,-1
SI14,Grasmere-Arrochar-Ft. Wadsworth,10350,-1,551,-1,9799,-1
SI22,West New Brighton-New Brighton-St. George,19571,-1,1043,-1,18528,-1
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,22638,-1,1584,-1,21054,-1
SI25,Oakwood-Oakwood Beach,15986,-1,963,-1,15023,-1
SI28,Port Richmond,12288,-1,867,-1,11421,-1
SI32,Rossville-Woodrow,13725,-1,656,-1,13069,-1
SI35,New Brighton-Silver Lake,12130,-1,640,-1,11490,-1
SI36,Old Town-Dongan Hills-South Beach,17605,-1,1106,-1,16499,-1
SI37,Stapleton-Rosebank,17137,-1,1238,-1,15899,-1
SI45,New Dorp-Midland Beach,14603,-1,954,-1,13649,-1
SI48,Arden Heights,17133,-1,735,-1,16398,-1
SI54,Great Kills,30076,-1,1008,-1,29068,-1
SI99,park-cemetery-etc-Staten Island,0,-1,0,-1,0,-1
