area_id,area_name,b08302001,b08302001_moe,b08302002,b08302002_moe,b08302003,b08302003_moe,b08302004,b08302004_moe,b08302005,b08302005_moe,b08302006,b08302006_moe,b08302007,b08302007_moe,b08302008,b08302008_moe,b08302009,b08302009_moe,b08302010,b08302010_moe,b08302011,b08302011_moe,b08302012,b08302012_moe,b08302013,b08302013_moe,b08302014,b08302014_moe,b08302015,b08302015_moe
MN19,Turtle Bay-East Midtown,29643,1289,191,148,240,121,313,135,647,192,1696,412,2660,444,3053,419,7141,710,6038,665,5067,619,1099,266,294,125,632,223,572,253
MN20,Murray Hill-Kips Bay,29484,1523,163,116,111,98,423,233,832,282,1135,262,2509,455,3412,579,6298,798,6765,695,5066,723,1044,299,388,223,699,205,639,315
MN21,Gramercy,15219,927,0,34,0,34,112,64,346,183,512,177,1169,306,1284,289,3267,477,3674,542,3383,485,523,185,215,129,445,181,289,112
MN22,East Village,25198,1273,269,171,194,103,206,120,759,241,655,200,1872,448,1971,355,4197,557,4571,562,5801,715,1699,373,499,195,1587,424,918,256
MN23,West Village,38444,1268,126,107,288,121,95,97,989,242,1416,329,2663,443,3264,468,6547,651,7672,702,10201,807,2236,384,863,235,1041,252,1043,268
MN24,SoHo-TriBeCa-Civic Center-Little Italy,21816,1067,211,107,112,86,50,55,621,188,849,201,2029,378,1919,372,4263,534,3808,462,5024,602,1245,284,579,305,656,213,450,206
MN25,Battery Park City-Lower Manhattan,23248,1048,74,83,235,166,174,94,874,278,783,201,1727,339,3305,529,5116,583,4440,556,4103,512,1054,357,410,154,510,199,443,187
MN27,Chinatown,20317,1215,157,98,105,89,125,102,561,195,427,159,1627,354,1556,332,3025,438,2360,396,4744,666,2435,438,828,272,1392,309,975,277
MN28,Lower East Side,28947,1328,451,156,433,188,336,202,1292,303,1047,259,3273,474,3436,482,5725,595,3159,446,4597,537,1941,380,690,221,1507,337,1060,247
MN31,Lenox Hill-Roosevelt Island,44719,1713,232,143,435,292,493,200,1215,299,2389,467,4459,592,6219,738,10394,957,7770,811,6433,716,1891,411,516,209,1570,416,703,225
MN32,Yorkville,44360,1644,364,243,156,114,672,244,1080,253,2092,475,4736,665,6280,730,11954,973,7943,829,5722,721,1280,296,288,144,910,254,883,275
MN33,East Harlem South,24326,1301,403,139,584,213,590,253,1539,354,1158,274,2901,463,2396,398,4303,578,2482,408,2990,465,1326,339,433,177,1771,363,1450,373
MN34,East Harlem North,20364,1176,786,220,526,200,273,137,1288,323,1061,274,2651,418,1917,338,3792,601,1399,310,1862,365,1169,374,440,208,1994,412,1206,327
MN35,Washington Heights North,30695,1334,842,275,974,292,553,197,1682,373,1825,358,4410,537,3264,506,4756,543,2761,474,3587,523,1127,270,842,249,2517,468,1555,335
MN36,Washington Heights South,36798,1876,1672,425,874,300,1398,355,2783,511,2269,442,4812,671,3191,477,5038,613,3137,553,3083,554,1585,332,798,276,3480,534,2678,504
MN40,Upper East Side-Carnegie Hill,26628,1051,137,80,64,64,219,105,466,135,1249,283,2431,323,4126,476,6499,620,4183,482,4367,470,1615,292,377,150,492,149,403,171
MN50,Stuyvesant Town-Cooper Village,11122,854,14,26,88,83,139,98,377,194,310,125,1154,300,1970,464,2156,386,1921,494,1624,438,446,226,188,164,471,183,264,146
