area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
BK09,Brooklyn Heights-Cobble Hill,22622,1151,2645,593,178,115,178,115,0,29,2035,503,1693,484,342,147,432,135,424,135,8,31,715,227,63,60,35,42,28,51,491,170,363,137,128,105,161,108,161,108,0,29,2747,539,222,125,222,125,0,29,1736,380,1475,343,261,134,789,246,789,246,0,29,16515,1053,2522,396,2522,396,0,29,12494,765,12091,744,403,167,1499,265,1499,265,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61232,1613,14133,1244,3260,612,3125,598,135,164,7235,759,5921,667,1314,338,3638,449,3565,444,73,63,6714,859,1215,273,1168,264,47,87,3977,634,3541,580,436,196,1522,260,1522,260,0,55,16154,1412,3239,530,3131,531,108,93,9850,996,9045,947,805,225,3065,387,3002,381,63,88,24231,1497,3514,492,3455,490,59,69,17730,1164,17105,1121,625,197,2987,352,2919,344,68,92
BK19,Brighton Beach,31417,1314,11170,1171,1961,443,1743,427,218,154,5200,737,3465,602,1735,410,4009,376,3941,370,68,70,3919,845,790,365,790,365,0,38,2477,608,1918,513,559,312,652,207,652,207,0,38,7211,904,1020,299,964,292,56,77,4933,639,4063,591,870,236,1258,267,1246,266,12,41,9117,963,1370,325,1370,325,0,38,6898,723,6439,705,459,153,849,202,849,202,0,38
BK21,Seagate-Coney Island,29381,1272,12369,1227,3197,606,3065,600,132,95,6067,825,5233,777,834,225,3105,350,3105,350,0,38,4736,814,1117,360,1117,360,0,38,2644,530,2165,479,479,198,975,295,975,295,0,38,7743,1076,1535,408,1509,407,26,49,5039,765,4270,724,769,273,1169,334,1155,333,14,42,4533,821,606,256,589,255,17,37,3519,647,3101,575,418,200,408,125,396,125,12,40
BK23,West Brighton,15410,683,3066,411,156,90,156,90,0,27,888,223,722,208,166,90,2022,313,2022,313,0,27,1677,434,192,99,184,98,8,27,598,235,556,223,42,55,887,241,887,241,0,27,5119,737,340,169,340,169,0,27,2657,509,2300,501,357,150,2122,410,2122,410,0,27,5548,840,599,233,588,232,11,29,4014,682,3629,597,385,259,935,235,935,235,0,27
BK25,Homecrest,41755,1455,10117,1150,3062,606,3047,605,15,49,5078,666,3936,559,1142,311,1977,257,1943,255,34,52,5635,930,1757,467,1680,447,77,78,2906,524,2290,455,616,240,972,230,972,230,0,48,14277,1265,3186,581,3118,578,68,78,8300,795,6987,712,1313,328,2791,424,2738,417,53,100,11726,1049,2048,427,2022,425,26,54,8450,776,7821,746,629,209,1228,212,1178,202,50,66
BK26,Gravesend,27710,1254,8728,1064,2294,553,1803,506,491,320,4574,600,3246,504,1328,345,1860,288,1860,288,0,36,3178,753,714,336,714,336,0,36,1571,412,1315,376,256,152,893,311,893,311,0,36,8685,1059,1341,371,1243,357,98,105,4770,766,3836,635,934,289,2574,439,2574,439,0,36,7119,812,805,222,805,222,0,36,5400,657,4815,610,585,207,914,225,914,225,0,36
BK27,Bath Beach,29100,1245,7200,923,1776,402,1635,394,141,107,3981,564,2741,458,1240,342,1443,228,1443,228,0,40,3095,685,588,256,490,239,98,89,1705,459,1215,380,490,241,802,197,802,197,0,40,9305,1153,2002,465,1984,465,18,45,5672,811,4615,676,1057,370,1631,296,1631,296,0,40,9500,939,1324,255,1282,253,42,53,7000,759,6585,736,415,134,1176,253,1163,251,13,43
BK28,Bensonhurst West,86379,2161,23692,1746,6537,787,6091,763,446,211,12943,1073,9244,868,3699,567,4212,503,4090,493,122,121,14165,1483,3574,589,3326,573,248,136,8571,988,6048,792,2523,565,2020,363,1890,340,130,133,27665,1882,5018,633,4872,625,146,110,18278,1369,15059,1219,3219,517,4369,480,4298,477,71,75,20857,1433,2966,405,2909,407,57,76,15390,1114,13349,1013,2041,402,2501,324,2397,315,104,108
BK29,Bensonhurst East,60961,1647,16335,1425,3936,595,3657,572,279,166,9075,874,6582,736,2493,479,3324,380,3299,379,25,55,8931,1209,2210,499,1898,464,312,199,5235,771,3749,623,1486,396,1486,310,1486,310,0,51,19104,1497,3007,472,2871,458,136,136,12573,1091,9935,951,2638,495,3524,474,3515,472,9,52,16591,1319,2367,370,2333,366,34,58,12361,1030,11509,973,852,232,1863,292,1840,289,23,58
BK30,Dyker Heights,44872,1501,11002,1311,3053,588,2859,564,194,182,6266,778,5257,717,1009,273,1683,276,1652,274,31,57,5978,977,1242,339,1191,333,51,77,3843,682,3000,584,843,265,893,230,893,230,0,51,13225,1294,2818,489,2650,479,168,105,8022,900,6441,797,1581,340,2385,338,2377,339,8,51,14667,1081,2118,314,2104,311,14,53,10481,840,9829,792,652,196,2068,282,2048,280,20,59
BK31,Bay Ridge,83400,1975,18514,1605,4865,759,4777,759,88,82,10589,972,7786,858,2803,460,3060,348,2964,339,96,83,8046,1181,2150,583,2108,580,42,84,4595,697,3167,514,1428,414,1301,222,1291,222,10,65,22521,1640,4548,647,4314,624,234,177,14435,1115,11675,1029,2760,448,3538,402,3469,397,69,91,34319,1616,5416,575,5340,575,76,82,25068,1150,23387,1100,1681,296,3835,373,3780,369,55,71
BK32,Sunset Park West,52399,1674,20720,1632,6685,790,6349,780,336,174,12076,1017,7213,756,4863,678,1959,334,1959,334,0,49,8175,1101,1860,424,1801,421,59,71,5478,748,2683,473,2795,542,837,212,788,206,49,66,13163,1402,2751,464,2471,434,280,178,9528,1041,6242,786,3286,653,884,221,884,221,0,49,10341,1067,1443,336,1344,311,99,93,8273,838,6922,723,1351,401,625,160,625,160,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,38918,1304,7342,890,1852,467,1753,456,99,100,4279,560,3417,482,862,230,1211,254,1203,254,8,42,2970,686,748,275,681,262,67,72,1833,455,1254,311,579,286,389,156,389,156,0,45,8062,1026,1391,374,1240,312,151,212,5837,736,4647,600,1190,388,834,209,818,207,16,50,20544,1163,3671,449,3623,443,48,65,15528,846,14423,819,1105,276,1345,298,1345,298,0,45
