area_id,area_name,b11001a001,b11001a001_moe,b11001a002,b11001a002_moe,b11001a003,b11001a003_moe,b11001a004,b11001a004_moe,b11001a005,b11001a005_moe,b11001a006,b11001a006_moe,b11001a007,b11001a007_moe,b11001a008,b11001a008_moe,b11001a009,b11001a009_moe
BK09,Brooklyn Heights-Cobble Hill,9525,404,4082,349,3736,336,346,125,204,107,142,65,5443,403,4407,381,1036,207
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20171,468,12888,506,9873,500,3015,359,703,187,2312,325,7283,443,6706,439,577,142
BK19,Brighton Beach,11970,386,6360,417,4719,382,1641,262,392,147,1249,238,5610,400,5156,388,454,139
BK21,Seagate-Coney Island,5471,368,3164,307,2302,296,862,211,96,72,766,201,2307,278,2195,268,112,72
BK23,West Brighton,7830,238,4581,299,3485,314,1096,216,177,83,919,211,3249,307,3097,308,152,83
BK25,Homecrest,13544,369,9026,402,7388,385,1638,243,526,155,1112,202,4518,348,4058,332,460,132
BK26,Gravesend,7724,339,4751,362,3573,352,1178,216,288,117,890,182,2973,358,2893,353,80,62
BK27,Bath Beach,7470,350,4692,345,3646,306,1046,206,376,126,670,155,2778,291,2502,271,276,117
BK28,Bensonhurst West,19542,516,12619,543,9640,515,2979,342,772,187,2207,291,6923,445,6055,417,868,199
BK29,Bensonhurst East,14230,441,9250,443,6933,416,2317,297,822,191,1495,236,4980,391,4439,369,541,155
BK30,Dyker Heights,10266,349,6841,343,5298,322,1543,232,542,153,1001,184,3425,310,2745,278,680,175
BK31,Bay Ridge,28149,541,14806,587,11282,536,3524,372,863,193,2661,321,13343,556,11306,525,2037,277
BK32,Sunset Park West,8318,433,5042,401,3268,338,1774,271,434,131,1340,241,3276,305,2078,254,1198,198
BK33,Carroll Gardens-Columbia Street-Red Hook,12642,454,6011,406,4792,379,1219,224,287,121,932,196,6631,448,4557,402,2074,293
BK34,Sunset Park East,7824,420,4984,389,2922,325,2062,270,771,180,1291,215,2840,316,2274,287,566,158
BK35,Stuyvesant Heights,2950,353,1646,279,867,211,779,205,180,109,599,177,1304,229,879,203,425,122
BK37,Park Slope-Gowanus,23765,607,12111,585,9934,540,2177,300,558,147,1619,261,11654,570,6739,474,4915,458
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8442,368,3730,297,3041,276,689,158,118,66,571,144,4712,338,2789,283,1923,259
BK40,Windsor Terrace,7323,309,4232,311,3305,280,927,200,272,117,655,171,3091,301,2244,267,847,172
BK41,Kensington-Ocean Parkway,7403,365,4554,345,3644,318,910,188,284,109,626,164,2849,305,2226,272,623,156
