Monthly Housing Costs
---------------------
Universe: Occupied Housing Units

B25104001 Total:
B25104002  Less than $100
B25104003  $100 to $199
B25104004  $200 to $299
B25104005  $300 to $399
B25104006  $400 to $499
B25104007  $500 to $599
B25104008  $600 to $699
B25104009  $700 to $799
B25104010  $800 to $899
B25104011  $900 to $999
B25104012  $1,000 to $1,499
B25104013  $1,500 to $1,999
B25104014  $2,000 or more
B25104015  No cash rent
