area_id,area_name,b05003h001,b05003h001_moe,b05003h002,b05003h002_moe,b05003h003,b05003h003_moe,b05003h004,b05003h004_moe,b05003h005,b05003h005_moe,b05003h006,b05003h006_moe,b05003h007,b05003h007_moe,b05003h008,b05003h008_moe,b05003h009,b05003h009_moe,b05003h010,b05003h010_moe,b05003h011,b05003h011_moe,b05003h012,b05003h012_moe,b05003h013,b05003h013_moe,b05003h014,b05003h014_moe,b05003h015,b05003h015_moe,b05003h016,b05003h016_moe,b05003h017,b05003h017_moe,b05003h018,b05003h018_moe,b05003h019,b05003h019_moe,b05003h020,b05003h020_moe,b05003h021,b05003h021_moe,b05003h022,b05003h022_moe,b05003h023,b05003h023_moe
BK09,Brooklyn Heights-Cobble Hill,17981,973,9396,642,1221,269,1221,269,0,29,0,29,0,29,8175,555,7022,518,1153,259,575,204,578,164,8585,552,1087,217,1056,210,31,55,0,29,31,55,7498,467,6318,455,1180,225,586,162,594,167
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,42081,1461,19764,932,3321,493,3006,421,315,172,232,165,83,74,16443,699,7941,563,8502,561,7105,539,1397,283,22317,894,3100,417,2881,394,219,119,56,73,163,110,19217,725,9359,604,9858,621,8092,572,1766,340
BK19,Brighton Beach,22066,1114,9739,674,1466,324,1251,307,215,112,37,44,178,109,8273,525,1723,284,6550,500,4811,412,1739,335,12327,670,1376,312,1280,304,96,83,12,41,84,81,10951,564,2069,314,8882,535,6594,455,2288,400
BK21,Seagate-Coney Island,9493,905,4461,522,779,255,733,248,46,54,16,43,30,49,3682,406,1452,277,2230,319,1579,263,651,181,5032,484,561,221,501,205,60,60,25,52,35,47,4471,381,1508,250,2963,319,2253,277,710,199
BK23,West Brighton,14963,745,6368,453,587,162,491,154,96,74,83,73,13,31,5781,399,2093,326,3688,390,3376,396,312,160,8595,513,609,187,575,182,34,38,21,32,13,32,7986,447,2858,354,5128,478,4554,432,574,244
BK25,Homecrest,33486,1410,16442,856,4185,510,4091,506,94,70,60,70,34,48,12257,573,6432,483,5825,446,4360,382,1465,286,17044,765,3896,475,3605,452,291,120,94,77,197,103,13148,521,6613,474,6535,441,4547,367,1988,293
BK26,Gravesend,14610,863,6533,500,607,149,514,134,93,64,35,46,58,56,5926,455,2747,349,3179,380,2429,351,750,220,8077,507,989,225,884,215,105,90,28,44,77,86,7088,413,3642,367,3446,355,2744,318,702,183
BK27,Bath Beach,15697,1008,7511,571,1067,219,959,205,108,72,51,63,57,54,6444,474,4090,409,2354,288,1612,243,742,197,8186,570,960,200,899,194,61,56,57,57,4,39,7226,492,4581,436,2645,313,1917,251,728,181
BK28,Bensonhurst West,40618,1589,18615,909,3187,431,2707,397,480,186,95,83,385,176,15428,705,7899,568,7529,521,4825,420,2704,366,22003,955,3482,475,3025,447,457,169,231,149,226,102,18521,745,9616,609,8905,557,5589,452,3316,385
BK29,Bensonhurst East,28799,1285,13355,750,1655,303,1377,265,278,113,95,71,183,97,11700,623,5463,470,6237,497,3989,380,2248,379,15444,791,2078,314,1640,275,438,161,109,75,329,148,13366,645,6164,472,7202,537,4714,412,2488,366
