area_id,area_name,b19313d001,b19313d001_moe
BK09,Brooklyn Heights-Cobble Hill,97336000,26889156
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,208327000,30659526
BK19,Brighton Beach,92964600,22714022
BK21,Seagate-Coney Island,47291500,11989313
BK23,West Brighton,2774400,3028751
BK25,Homecrest,71353800,16028287
BK26,Gravesend,113179500,17564938
BK27,Bath Beach,181321300,28491401
BK28,Bensonhurst West,541408600,41320384
BK29,Bensonhurst East,468372500,51024604
BK30,Dyker Heights,250081600,25721794
BK31,Bay Ridge,330085300,41124414
BK32,Sunset Park West,138824700,28915804
BK33,Carroll Gardens-Columbia Street-Red Hook,129120900,36996063
BK34,Sunset Park East,414903000,34613071
BK35,Stuyvesant Heights,42174900,13904667
BK37,Park Slope-Gowanus,275965500,45310568
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,146503400,27430667
BK40,Windsor Terrace,73315600,19930972
BK41,Kensington-Ocean Parkway,121565900,22663102
BK42,Flatbush,129542500,20156992
BK43,Midwood,76362800,14013309
BK44,Madison,173382000,22924083
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,62492200,16191431
BK46,Ocean Parkway South,12596500,6110349
BK50,Canarsie,43409600,12429894
BK58,Flatlands,33018500,8339765
BK60,Prospect Lefferts Gardens-Wingate,38190400,15218820
BK61,Crown Heights North,46041900,12823076
BK63,Crown Heights South,16263200,11924727
BK64,Prospect Heights,70135700,23199450
BK68,Fort Greene,116846300,30246000
BK69,Clinton Hill,68862600,17690135
BK73,North Side-South Side,114865900,23586477
BK75,Bedford,45751500,14223525
BK76,Greenpoint,55828800,13881885
BK77,Bushwick North,65889200,14602736
BK78,Bushwick South,27085400,8604919
BK79,Ocean Hill,3808100,2243978
BK81,Brownsville,10533800,5727661
BK82,East New York,24172100,8461081
BK83,Cypress Hills-City Line,60959500,19157565
BK85,East New York (Pennsylvania Ave),1753800,1159827
BK88,Borough Park,180675300,22246216
BK90,East Williamsburg,74431500,12603943
BK91,East Flatbush-Farragut,12112900,5620628
BK93,Starrett City,1660900,1534144
BK95,Erasmus,8898400,4731857
BK96,Rugby-Remsen Village,30797500,18644069
BX03,Eastchester-Edenwald-Baychester,3336500,3951018
BX05,Bedford Park-Fordham North,51561400,18271325
BX06,Belmont,6238200,3386651
BX07,Bronxdale,24359900,8745787
BX08,West Farms-Bronx River,13150500,5360636
BX09,Soundview-Castle Hill-Clason Point-Harding Park,20005200,9842006
BX10,Pelham Bay-Country Club-City Island,21887400,10627294
BX13,Co-op City,8885300,4761844
BX14,East Concourse-Concourse Village,10733300,5798945
BX17,East Tremont,6642200,6577406
BX22,North Riverdale-Fieldston-Riverdale,64870800,21098213
BX26,Highbridge,1887900,2035707
BX27,Hunts Point,2193300,2920637
BX28,Van Cortlandt Village,39215900,13554780
BX29,Spuyten Duyvil-Kingsbridge,92275000,26059691
BX30,Kingsbridge Heights,33062700,12636484
BX31,Allerton-Pelham Gardens,87382700,25341605
BX33,Longwood,3571400,3134941
BX34,Melrose South-Mott Haven North,5268300,3376401
BX35,Morrisania-Melrose,1962300,2131783
BX36,University Heights-Morris Heights,2204400,2238928
BX37,Van Nest-Morris Park-Westchester Square,52981500,12536768
BX39,Mott Haven-Port Morris,7207300,5742872
BX40,Fordham South,5303400,7599550
BX41,Mount Hope,27966900,9515452
BX43,Norwood,49973000,12651672
BX44,Williamsbridge-Olinville,20347800,8779064
BX46,Parkchester,45090900,10489828
BX49,Pelham Parkway,100447600,20088064
BX52,Schuylerville-Throgs Neck-Edgewater Park,25796600,9225686
BX55,Soundview-Bruckner,40629000,16951066
BX59,Westchester-Unionport,77926200,17170093
BX62,Woodlawn-Wakefield,37571100,12610704
BX63,West Concourse,10822200,5235680
BX75,Crotona Park East,32000,44966
BX98,Rikers Island,997300,727168
BX99,park-cemetery-etc-Bronx,2389500,1962973
MN01,Marble Hill-Inwood,33219400,17505666
MN03,Central Harlem North-Polo Grounds,48235300,14918060
MN04,Hamilton Heights,33565600,11855572
MN06,Manhattanville,24820200,13858506
MN09,Morningside Heights,230179200,42313109
MN11,Central Harlem South,81840100,23389582
MN12,Upper West Side,637038000,105079253
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,708963800,122244831
MN14,Lincoln Square,537310000,99080382
MN15,Clinton,450193900,76433955
MN17,Midtown-Midtown South,543677500,123028472
MN19,Turtle Bay-East Midtown,676146200,118017864
MN20,Murray Hill-Kips Bay,461738400,79706816
MN21,Gramercy,191590900,37361676
MN22,East Village,275992400,48681320
MN23,West Village,512138700,137034929
MN24,SoHo-TriBeCa-Civic Center-Little Italy,505407100,97580115
MN25,Battery Park City-Lower Manhattan,566244500,99705211
MN27,Chinatown,522916900,44865755
MN28,Lower East Side,360481700,40951757
MN31,Lenox Hill-Roosevelt Island,586135900,92979997
MN32,Yorkville,514851500,85475050
MN33,East Harlem South,237957000,80940951
MN34,East Harlem North,45715200,14234623
MN35,Washington Heights North,69055800,18513791
MN36,Washington Heights South,69355800,17864319
MN40,Upper East Side-Carnegie Hill,292980000,81311754
MN50,Stuyvesant Town-Cooper Village,164367000,57992479
QN01,South Jamaica,39741200,15647531
QN02,Springfield Gardens North,11892000,10054326
QN03,Springfield Gardens South-Brookville,7897200,5934448
QN05,Rosedale,25824900,10639832
QN06,Jamaica Estates-Holliswood,234714100,36401102
QN07,Hollis,58824100,14533036
QN08,St. Albans,11819400,7109648
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,16483400,11292201
QN12,Hammels-Arverne-Edgemere,21749700,9739249
QN15,Far Rockaway-Bayswater,18693700,14108188
QN17,Forest Hills,806062200,66717646
QN18,Rego Park,321995900,56727544
QN19,Glendale,18866200,8741739
QN20,Ridgewood,101120500,18687261
QN21,Middle Village,77752700,20016714
QN22,Flushing,973933200,80667709
QN23,College Point,156910800,24951566
QN25,Corona,121701500,20044524
