area_id,area_name,b19013f001,b19013f001_moe
BK09,Brooklyn Heights-Cobble Hill,343870,313153
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,69827,96435
BK19,Brighton Beach,66219,174321
BK21,Seagate-Coney Island,182618,112672
BK25,Homecrest,129024,70629
BK26,Gravesend,94860,125885
BK27,Bath Beach,483397,303057
BK28,Bensonhurst West,476772,154167
BK29,Bensonhurst East,636898,299035
BK30,Dyker Heights,231387,97404
BK31,Bay Ridge,958073,302111
BK32,Sunset Park West,538964,58244
BK33,Carroll Gardens-Columbia Street-Red Hook,635976,330778
BK34,Sunset Park East,560436,112775
BK35,Stuyvesant Heights,390194,203950
BK37,Park Slope-Gowanus,719119,405734
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,331643,249564
BK40,Windsor Terrace,163932,40092
BK41,Kensington-Ocean Parkway,439416,203123
BK42,Flatbush,1119290,353655
BK43,Midwood,351254,286778
BK44,Madison,171511,229392
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,445263,101260
BK46,Ocean Parkway South,353080,395678
BK50,Canarsie,712006,289347
BK58,Flatlands,529452,207311
BK60,Prospect Lefferts Gardens-Wingate,558838,221039
BK61,Crown Heights North,494057,265594
BK63,Crown Heights South,331719,146690
BK64,Prospect Heights,232571,281101
BK68,Fort Greene,535752,348374
BK69,Clinton Hill,332325,315465
BK72,Williamsburg,169920,56444
BK73,North Side-South Side,391286,178325
BK75,Bedford,536699,252609
BK76,Greenpoint,387589,156574
BK77,Bushwick North,427087,68919
BK78,Bushwick South,871617,204097
BK79,Ocean Hill,540065,459880
BK81,Brownsville,242907,69953
BK82,East New York,752412,259431
BK83,Cypress Hills-City Line,564388,216098
BK85,East New York (Pennsylvania Ave),224362,94025
BK88,Borough Park,632186,253793
BK90,East Williamsburg,346084,332186
BK91,East Flatbush-Farragut,484905,253374
BK93,Starrett City,63500,73241
BK95,Erasmus,102750,62502
BK96,Rugby-Remsen Village,220345,194891
BX01,Claremont-Bathgate,197964,61032
BX03,Eastchester-Edenwald-Baychester,419187,139688
BX05,Bedford Park-Fordham North,307923,48323
BX06,Belmont,132741,18775
BX07,Bronxdale,262349,45497
BX08,West Farms-Bronx River,193743,50328
BX09,Soundview-Castle Hill-Clason Point-Harding Park,540842,69460
BX10,Pelham Bay-Country Club-City Island,361128,223210
BX13,Co-op City,133283,62528
BX14,East Concourse-Concourse Village,404025,61447
BX17,East Tremont,211597,35362
BX22,North Riverdale-Fieldston-Riverdale,426814,172001
BX26,Highbridge,176217,23271
BX27,Hunts Point,137327,29368
BX28,Van Cortlandt Village,403865,158774
