area_id,area_name,b12002d001,b12002d001_moe,b12002d002,b12002d002_moe,b12002d003,b12002d003_moe,b12002d004,b12002d004_moe,b12002d005,b12002d005_moe,b12002d006,b12002d006_moe,b12002d007,b12002d007_moe,b12002d008,b12002d008_moe,b12002d009,b12002d009_moe,b12002d010,b12002d010_moe,b12002d011,b12002d011_moe,b12002d012,b12002d012_moe,b12002d013,b12002d013_moe
BK09,Brooklyn Heights-Cobble Hill,1621,364,574,173,221,110,342,135,0,29,0,29,11,33,1047,253,398,153,485,157,25,38,29,43,110,102
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,8169,887,3875,464,1311,298,2419,315,51,63,25,57,69,65,4294,499,1210,287,2415,298,56,71,392,133,221,121
BK19,Brighton Beach,3319,573,1702,315,590,174,973,203,49,52,20,43,70,67,1617,330,576,193,894,181,22,42,88,75,37,44
BK21,Seagate-Coney Island,2640,520,1514,377,661,319,773,147,0,38,40,54,40,43,1126,224,258,104,767,138,0,38,78,74,23,38
BK23,West Brighton,97,87,57,58,24,36,33,38,0,27,0,27,0,27,40,40,0,27,40,40,0,27,0,27,0,27
BK25,Homecrest,3558,625,1816,351,552,182,1232,258,17,53,9,48,6,47,1742,308,405,127,1193,231,0,48,113,61,31,48
BK26,Gravesend,5305,721,2601,377,736,197,1755,271,23,41,17,36,70,62,2704,396,628,189,1814,273,34,56,167,93,61,49
BK27,Bath Beach,7187,817,3468,438,1110,243,2306,285,23,47,15,45,14,44,3719,450,1056,220,2268,277,7,39,211,102,177,92
BK28,Bensonhurst West,26305,1518,12980,804,4178,495,8121,529,177,99,136,100,368,123,13325,858,3956,455,7947,538,170,91,668,154,584,166
BK29,Bensonhurst East,19176,1258,9410,667,2938,374,6021,460,78,71,148,87,225,99,9766,697,2630,364,6075,461,109,74,666,160,286,108
BK30,Dyker Heights,13196,1062,6478,583,2210,337,4025,383,56,64,74,70,113,78,6718,597,1797,303,4193,401,37,51,492,151,199,102
BK31,Bay Ridge,10025,950,4817,538,1817,324,2782,319,11,67,58,76,149,98,5208,509,1501,287,2968,321,40,69,446,152,253,106
BK32,Sunset Park West,7043,830,3261,476,1005,225,2055,336,18,55,17,52,166,99,3782,465,1154,266,1949,276,115,87,281,113,283,132
BK33,Carroll Gardens-Columbia Street-Red Hook,2056,524,836,301,339,234,489,162,0,45,8,46,0,45,1220,314,395,199,786,198,4,44,22,45,13,48
BK34,Sunset Park East,28020,1440,14054,813,4275,435,9116,583,79,68,190,94,394,136,13966,774,3745,450,8861,542,128,84,732,183,500,150
BK35,Stuyvesant Heights,1459,412,682,218,295,149,335,124,24,62,11,52,17,52,777,251,316,174,312,121,20,58,17,53,112,86
BK37,Park Slope-Gowanus,4340,598,1793,360,1027,278,732,178,0,58,0,58,34,72,2547,370,1078,228,1211,256,0,58,123,120,135,91
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2651,395,1332,265,692,193,545,148,23,50,40,54,32,47,1319,218,546,157,646,149,11,43,77,56,39,45
BK40,Windsor Terrace,1923,445,941,288,443,203,401,129,0,32,6,31,91,83,982,259,294,179,538,140,0,32,120,97,30,39
BK41,Kensington-Ocean Parkway,6613,879,3187,476,999,253,2054,309,10,40,18,44,106,88,3426,480,957,257,1929,292,67,56,355,165,118,88
BK42,Flatbush,6853,807,3182,420,1233,260,1858,273,24,71,1,67,66,80,3671,475,1171,261,2065,307,66,70,191,106,178,109
BK43,Midwood,3924,596,1968,341,740,204,1123,196,48,59,23,52,34,57,1956,307,430,132,1194,206,5,51,160,94,167,104
