area_id,area_name,b16005f001,b16005f001_moe,b16005f002,b16005f002_moe,b16005f003,b16005f003_moe,b16005f004,b16005f004_moe,b16005f005,b16005f005_moe,b16005f006,b16005f006_moe,b16005f007,b16005f007_moe,b16005f008,b16005f008_moe,b16005f009,b16005f009_moe,b16005f010,b16005f010_moe,b16005f011,b16005f011_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,487,216,155,106,332,163,330,163,2,27,195,115,0,29,195,115,174,114,21,31
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,900,404,664,322,191,141,473,265,189,116,284,239,236,161,27,69,209,156,68,73,141,136
BK19,Brighton Beach,650,395,130,101,21,43,109,91,72,75,37,51,520,376,0,38,520,376,24,58,496,369
BK21,Seagate-Coney Island,2467,640,1713,528,629,333,1084,334,651,249,433,198,754,277,16,40,738,277,139,92,599,258
BK23,West Brighton,1,24,0,27,0,27,0,27,0,27,0,27,1,24,0,27,1,24,1,24,0,27
BK25,Homecrest,952,400,276,154,109,90,167,114,100,84,67,91,676,344,22,51,654,343,140,144,514,307
BK26,Gravesend,1530,532,1151,507,399,303,752,295,377,186,375,173,379,252,12,36,367,247,66,70,301,227
BK27,Bath Beach,1551,589,1003,459,555,353,448,237,165,123,283,190,548,269,10,41,538,269,61,55,477,260
BK28,Bensonhurst West,3701,949,1287,388,107,100,1180,358,738,302,442,174,2414,709,0,64,2414,709,341,186,2073,631
BK29,Bensonhurst East,2015,572,909,325,185,119,724,257,517,208,207,142,1106,396,39,74,1067,396,135,120,932,369
BK30,Dyker Heights,923,398,492,246,123,110,369,223,269,206,100,99,431,243,25,56,406,242,63,74,343,226
BK31,Bay Ridge,4226,798,2690,579,984,340,1706,454,1416,358,290,281,1536,422,63,85,1473,418,511,195,962,322
BK32,Sunset Park West,15103,1372,7478,853,1190,299,6288,768,4440,637,1848,379,7625,923,147,95,7478,918,1145,293,6333,816
BK33,Carroll Gardens-Columbia Street-Red Hook,4680,866,3513,680,647,243,2866,610,2132,556,734,263,1167,543,45,61,1122,541,308,167,814,440
BK34,Sunset Park East,9342,1198,3970,629,507,203,3463,578,2657,511,806,252,5372,907,63,70,5309,901,921,243,4388,824
BK35,Stuyvesant Heights,4693,804,2772,551,566,227,2206,493,1476,391,730,234,1921,547,234,130,1687,530,444,227,1243,467
BK37,Park Slope-Gowanus,6316,1039,3826,810,966,317,2860,687,2314,610,546,204,2490,574,100,124,2390,561,693,274,1697,416
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3824,673,3152,643,546,192,2606,599,1910,551,696,202,672,212,29,49,643,210,206,127,437,170
BK40,Windsor Terrace,1210,411,710,283,101,96,609,263,551,261,58,52,500,189,79,62,421,181,207,120,214,139
BK41,Kensington-Ocean Parkway,2965,894,1264,443,145,93,1119,420,1027,415,92,76,1701,570,51,60,1650,569,224,143,1426,539
BK42,Flatbush,10245,1551,4251,822,1095,402,3156,668,2351,541,805,281,5994,1149,445,223,5549,1123,1276,423,4273,1005
BK43,Midwood,1677,599,704,299,130,102,574,294,458,265,116,96,973,484,34,62,939,482,167,166,772,441
BK44,Madison,614,310,447,271,260,204,187,105,171,102,16,51,167,128,0,46,167,128,84,94,83,98
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1199,510,669,406,336,350,333,159,257,139,76,73,530,263,91,104,439,211,243,140,196,126
BK46,Ocean Parkway South,828,381,418,247,0,36,418,247,257,161,161,154,410,236,0,36,410,236,48,57,362,221
BK50,Canarsie,3498,779,2229,570,530,254,1699,444,1415,426,284,128,1269,391,135,98,1134,382,198,147,936,318
BK58,Flatlands,1806,517,1139,367,316,177,823,309,348,154,475,246,667,278,156,105,511,263,118,94,393,243
BK60,Prospect Lefferts Gardens-Wingate,3339,760,1850,562,412,293,1438,476,1103,446,335,148,1489,457,58,80,1431,453,499,236,932,342
BK61,Crown Heights North,5836,1020,3193,666,655,261,2538,560,1706,415,832,356,2643,657,175,130,2468,641,1169,382,1299,434
BK63,Crown Heights South,1703,509,818,299,287,167,531,239,340,208,191,135,885,355,122,90,763,333,137,96,626,315
BK64,Prospect Heights,1187,402,576,243,251,134,325,160,301,155,24,41,611,292,67,53,544,277,398,246,146,99
BK68,Fort Greene,2313,503,1615,382,354,173,1261,325,794,258,467,156,698,301,50,71,648,295,181,98,467,271
BK69,Clinton Hill,2407,533,1495,365,466,207,1029,302,946,298,83,58,912,313,31,45,881,312,243,189,638,276
BK72,Williamsburg,1136,433,697,285,64,60,633,272,419,218,214,189,439,209,0,36,439,209,0,36,439,209
BK73,North Side-South Side,3523,758,1935,460,216,120,1719,433,1354,397,365,155,1588,474,69,65,1519,469,384,206,1135,389
BK75,Bedford,5829,879,3682,657,531,236,3151,602,2460,497,691,216,2147,498,91,75,2056,494,357,158,1699,456
BK76,Greenpoint,1671,406,867,268,214,111,653,217,426,206,227,185,804,259,86,78,718,251,209,135,509,196
BK77,Bushwick North,23967,1782,11073,1006,1204,279,9869,939,3041,532,6828,834,12894,1365,357,166,12537,1362,1201,435,11336,1312
BK78,Bushwick South,15579,1644,9291,1213,1438,487,7853,1014,5625,866,2228,458,6288,947,78,76,6210,945,1552,349,4658,808
BK79,Ocean Hill,3564,714,2429,565,624,276,1805,454,1244,319,561,234,1135,400,173,173,962,358,572,261,390,196
BK81,Brownsville,4190,737,2737,548,543,202,2194,478,1872,458,322,135,1453,414,55,61,1398,414,331,129,1067,384
BK82,East New York,6435,974,3834,712,952,359,2882,579,2189,525,693,190,2601,553,391,177,2210,535,570,199,1640,463
BK83,Cypress Hills-City Line,5810,847,2958,521,443,212,2515,469,1922,410,593,188,2852,525,431,175,2421,498,918,261,1503,369
BK85,East New York (Pennsylvania Ave),3560,748,2232,495,399,180,1833,426,1434,389,399,168,1328,407,128,199,1200,336,518,215,682,232
BK88,Borough Park,5541,1038,1998,495,173,118,1825,475,1157,369,668,241,3543,768,187,150,3356,758,255,143,3101,723
BK90,East Williamsburg,4017,666,2759,527,392,162,2367,496,1718,427,649,201,1258,402,51,82,1207,399,192,131,1015,358
BK91,East Flatbush-Farragut,954,366,509,245,258,174,251,147,200,132,51,80,445,192,120,95,325,173,144,101,181,122
BK93,Starrett City,673,427,613,422,83,79,530,413,388,392,142,121,60,80,0,24,60,80,60,80,0,24
BK95,Erasmus,1033,430,370,200,86,73,284,150,245,139,39,57,663,314,50,45,613,307,269,164,344,220
BK96,Rugby-Remsen Village,1088,400,646,313,198,142,448,248,322,198,126,109,442,191,95,93,347,173,140,101,207,135
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,11315,1154,7394,1004,1344,444,6050,901,4774,775,1276,301,3921,631,86,72,3835,628,750,234,3085,518
BX03,Eastchester-Edenwald-Baychester,5459,1025,4334,929,1043,432,3291,713,2605,569,686,260,1125,349,33,61,1092,345,564,239,528,172
BX05,Bedford Park-Fordham North,25877,1808,14429,1300,2755,689,11674,1132,10246,1050,1428,350,11448,1230,326,212,11122,1227,2641,526,8481,1006
BX06,Belmont,9698,1162,5529,726,653,263,4876,688,4027,608,849,250,4169,812,195,132,3974,778,717,260,3257,674
BX07,Bronxdale,10375,1152,5965,668,840,297,5125,653,3970,631,1155,306,4410,979,173,183,4237,948,1164,600,3073,687
BX08,West Farms-Bronx River,13889,1448,7290,930,961,300,6329,856,4949,765,1380,357,6599,1142,589,272,6010,1096,813,313,5197,1039
BX09,Soundview-Castle Hill-Clason Point-Harding Park,20207,1728,15361,1454,3526,691,11835,1258,10058,1194,1777,359,4846,801,170,106,4676,800,2490,567,2186,410
BX10,Pelham Bay-Country Club-City Island,5023,885,3808,772,1000,415,2808,620,2580,590,228,138,1215,398,114,120,1101,384,539,231,562,252
BX13,Co-op City,5306,1053,4181,902,696,338,3485,855,2944,795,541,212,1125,439,27,41,1098,432,425,233,673,325
BX14,East Concourse-Concourse Village,23120,1973,11530,1306,1598,474,9932,1144,7597,975,2335,509,11590,1535,181,115,11409,1544,2187,524,9222,1294
BX17,East Tremont,17870,1500,11352,1085,1861,408,9491,992,7353,911,2138,403,6518,1041,326,153,6192,1016,1192,288,5000,932
BX22,North Riverdale-Fieldston-Riverdale,2223,525,1596,458,196,91,1400,440,1211,422,189,90,627,211,29,47,598,205,216,97,382,169
BX26,Highbridge,14538,1219,7296,860,612,257,6684,829,5265,688,1419,377,7242,863,75,53,7167,861,1244,358,5923,817
BX27,Hunts Point,10066,930,6410,682,1184,308,5226,599,3887,539,1339,246,3656,563,32,38,3624,566,372,145,3252,556
BX28,Van Cortlandt Village,20884,1559,10811,1158,1413,386,9398,1069,8174,1011,1224,324,10073,1144,382,224,9691,1115,3248,544,6443,873
BX29,Spuyten Duyvil-Kingsbridge,5783,746,3588,587,603,232,2985,536,2528,479,457,187,2195,416,68,71,2127,416,759,223,1368,352
BX30,Kingsbridge Heights,15692,1325,7195,809,951,359,6244,686,5493,621,751,226,8497,1125,309,237,8188,1109,2633,598,5555,944
BX31,Allerton-Pelham Gardens,5597,857,4243,756,901,328,3342,652,2879,591,463,164,1354,372,151,105,1203,358,464,175,739,268
BX33,Longwood,10870,1226,6534,818,760,255,5774,755,3993,583,1781,374,4336,848,58,69,4278,838,467,158,3811,792
BX34,Melrose South-Mott Haven North,13698,1492,7364,967,1108,412,6256,825,4506,676,1750,348,6334,1115,103,72,6231,1105,1074,353,5157,977
BX35,Morrisania-Melrose,14663,1364,8993,949,1353,413,7640,857,5854,731,1786,365,5670,884,31,46,5639,883,1069,289,4570,839
BX36,University Heights-Morris Heights,23753,1622,10584,1062,1596,438,8988,937,6942,792,2046,425,13169,1278,220,119,12949,1268,2433,505,10516,1115
BX37,Van Nest-Morris Park-Westchester Square,10947,1130,7619,906,1675,428,5944,767,5143,729,801,234,3328,596,325,225,3003,554,920,239,2083,492
BX39,Mott Haven-Port Morris,13608,1214,8174,939,1164,283,7010,847,4803,674,2207,429,5434,752,18,49,5416,751,576,174,4840,722
BX40,Fordham South,11362,1360,5876,965,1204,462,4672,821,4036,751,636,202,5486,995,187,144,5299,1003,1295,372,4004,816
BX41,Mount Hope,23142,1611,10407,1017,1282,362,9125,936,7350,803,1775,326,12735,1252,350,156,12385,1246,2867,456,9518,1045
BX43,Norwood,14745,1793,8395,1069,1633,460,6762,938,5436,778,1326,395,6350,1272,437,323,5913,1198,1163,301,4750,1131
BX44,Williamsbridge-Olinville,7672,922,5457,698,1197,328,4260,617,3539,543,721,257,2215,478,205,160,2010,441,471,148,1539,387
BX46,Parkchester,5930,788,4517,711,847,347,3670,608,3176,593,494,193,1413,380,103,85,1310,372,717,286,593,222
BX49,Pelham Parkway,6889,911,4190,618,872,361,3318,523,2769,483,549,209,2699,661,325,207,2374,629,788,269,1586,528
BX52,Schuylerville-Throgs Neck-Edgewater Park,9917,1266,7559,1094,2272,624,5287,818,4600,765,687,258,2358,556,173,154,2185,536,822,287,1363,393
BX55,Soundview-Bruckner,12231,1320,6308,818,1118,334,5190,720,3962,601,1228,348,5923,1019,468,262,5455,989,902,274,4553,908
BX59,Westchester-Unionport,11214,1153,7329,891,1798,459,5531,698,4911,643,620,209,3885,836,513,390,3372,738,817,232,2555,645
BX62,Woodlawn-Wakefield,4041,709,2735,557,498,194,2237,510,1901,451,336,190,1306,352,224,148,1082,319,283,146,799,256
BX63,West Concourse,16547,1601,7439,964,706,290,6733,870,5628,824,1105,354,9108,1157,271,187,8837,1141,1268,371,7569,1039
BX75,Crotona Park East,9963,879,5388,707,1070,333,4318,557,3493,466,825,250,4575,651,379,195,4196,618,994,256,3202,549
BX98,Rikers Island,2205,219,1616,187,36,29,1580,187,212,73,1368,196,589,131,11,14,578,131,6,10,572,129
BX99,park-cemetery-etc-Bronx,414,192,231,111,34,38,197,102,170,93,27,53,183,131,7,33,176,130,53,56,123,101
MN01,Marble Hill-Inwood,21648,2091,8201,1092,659,244,7542,1002,6285,876,1257,388,13447,1702,125,84,13322,1699,2738,550,10584,1501
MN03,Central Harlem North-Polo Grounds,6941,1049,3509,694,928,428,2581,556,2044,436,537,282,3432,691,175,109,3257,681,743,222,2514,626
MN04,Hamilton Heights,7315,1325,2859,669,376,279,2483,555,2022,499,461,217,4456,1021,89,111,4367,1005,613,259,3754,924
MN06,Manhattanville,6572,1141,3033,590,316,185,2717,549,2120,517,597,234,3539,832,77,81,3462,803,750,245,2712,717
MN09,Morningside Heights,4812,960,3030,865,807,558,2223,540,1805,520,418,169,1782,445,42,53,1740,446,536,239,1204,365
MN11,Central Harlem South,4223,755,2603,592,514,186,2089,531,1562,433,527,223,1620,414,132,97,1488,395,459,152,1029,341
MN12,Upper West Side,3979,853,2259,587,718,320,1541,459,1192,417,349,186,1720,500,174,114,1546,487,709,267,837,374
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2472,708,1403,453,277,161,1126,414,956,379,170,172,1069,366,100,88,969,356,331,214,638,289
MN14,Lincoln Square,860,503,596,431,157,163,439,395,287,307,152,152,264,155,0,48,264,155,192,126,72,99
MN15,Clinton,2526,708,1318,461,454,300,864,341,540,259,324,174,1208,460,219,140,989,438,314,210,675,374
MN17,Midtown-Midtown South,519,229,290,202,60,101,230,129,188,122,42,65,229,118,36,75,193,103,72,87,121,75
MN19,Turtle Bay-East Midtown,344,146,170,105,76,81,94,79,62,70,32,59,174,101,98,91,76,62,54,59,22,49
MN20,Murray Hill-Kips Bay,1926,773,1061,386,338,176,723,356,574,314,149,132,865,519,126,167,739,459,583,442,156,131
MN21,Gramercy,549,243,332,195,132,147,200,132,152,111,48,65,217,122,93,80,124,94,81,80,43,57
MN22,East Village,1397,404,1002,318,230,136,772,290,551,204,221,150,395,227,71,70,324,215,141,115,183,143
MN23,West Village,1104,465,761,334,342,174,419,263,419,263,0,56,343,202,100,88,243,184,117,94,126,139
MN24,SoHo-TriBeCa-Civic Center-Little Italy,795,351,469,236,147,108,322,204,261,191,61,87,326,178,10,43,316,178,28,50,288,168
MN25,Battery Park City-Lower Manhattan,1262,855,538,312,182,159,356,269,337,265,19,49,724,778,35,67,689,776,315,283,374,510
MN27,Chinatown,3219,707,1972,511,519,240,1453,445,1100,413,353,149,1247,430,440,311,807,303,56,63,751,301
MN28,Lower East Side,13833,1518,11926,1422,2776,635,9150,1212,6259,1042,2891,563,1907,482,114,100,1793,476,684,330,1109,316
MN31,Lenox Hill-Roosevelt Island,870,373,376,191,115,102,261,170,261,170,0,53,494,279,30,59,464,277,210,174,254,225
MN32,Yorkville,1516,546,792,331,256,151,536,253,407,211,129,120,724,358,29,56,695,349,323,262,372,185
MN33,East Harlem South,10383,1304,7073,980,969,292,6104,925,4687,843,1417,358,3310,744,44,58,3266,736,1070,313,2196,590
MN34,East Harlem North,17048,1642,10344,1083,1427,451,8917,993,6557,881,2360,455,6704,1145,77,73,6627,1142,1371,517,5256,998
MN35,Washington Heights North,26404,2184,9848,1065,632,227,9216,1004,8306,945,910,240,16556,1671,173,92,16383,1672,4252,818,12131,1371
MN36,Washington Heights South,36614,2725,13230,1518,1214,370,12016,1418,10047,1285,1969,458,23384,2031,522,251,22862,2039,4021,614,18841,1832
MN40,Upper East Side-Carnegie Hill,264,178,55,68,53,70,2,50,2,50,0,52,209,172,26,66,183,167,137,161,46,66
MN50,Stuyvesant Town-Cooper Village,529,330,311,212,122,123,189,175,165,171,24,40,218,171,0,22,218,171,183,141,35,58
MN99,park-cemetery-etc-Manhattan,136,122,109,104,7,33,102,100,91,98,11,34,27,41,0,32,27,41,0,32,27,41
QN01,South Jamaica,4881,959,2137,548,850,320,1287,434,904,326,383,260,2744,628,1047,384,1697,521,466,255,1231,450
QN02,Springfield Gardens North,1175,746,702,439,117,142,585,405,526,324,59,97,473,586,0,31,473,586,34,55,439,574
QN03,Springfield Gardens South-Brookville,426,205,252,130,44,47,208,129,113,94,95,68,174,115,8,30,166,115,69,73,97,79
QN05,Rosedale,307,177,235,153,34,49,201,140,171,126,30,43,72,62,9,36,63,60,38,51,25,42
QN06,Jamaica Estates-Holliswood,1660,466,774,303,237,194,537,242,480,223,57,66,886,318,77,104,809,303,326,167,483,203
QN07,Hollis,1895,504,703,241,403,181,300,162,189,126,111,93,1192,359,518,227,674,293,186,124,488,240
QN08,St. Albans,1680,475,691,273,244,165,447,181,377,151,70,83,989,378,325,249,664,252,258,131,406,187
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,717,366,429,276,148,150,281,198,236,190,45,64,288,220,0,36,288,220,111,112,177,146
QN12,Hammels-Arverne-Edgemere,2810,699,1806,560,677,401,1129,343,1083,339,46,61,1004,403,68,64,936,395,244,136,692,343
QN15,Far Rockaway-Bayswater,3636,971,1496,505,283,181,1213,472,995,415,218,190,2140,661,289,189,1851,613,317,209,1534,550
QN17,Forest Hills,3575,713,1783,533,513,204,1270,493,1238,485,32,69,1792,418,275,158,1517,379,791,252,726,231
QN18,Rego Park,928,273,344,151,46,47,298,146,276,133,22,54,584,218,100,77,484,210,225,120,259,143
QN19,Glendale,1390,458,807,324,203,104,604,303,507,274,97,97,583,262,85,77,498,259,156,103,342,182
QN20,Ridgewood,5385,874,2823,535,520,181,2303,500,1729,413,574,188,2562,525,186,114,2376,528,567,184,1809,438
QN21,Middle Village,1190,519,637,275,92,83,545,262,497,255,48,68,553,397,0,51,553,397,221,161,332,267
QN22,Flushing,3638,998,1977,748,538,302,1439,562,1341,556,98,80,1661,515,243,230,1418,459,591,249,827,302
QN23,College Point,4905,920,1970,420,397,176,1573,363,1433,347,140,126,2935,658,0,34,2935,658,1089,349,1846,522
QN25,Corona,10451,1562,3099,674,340,253,2759,623,2300,563,459,238,7352,1195,339,205,7013,1174,1431,349,5582,1042
QN26,North Corona,15916,1748,3407,615,232,144,3175,582,2552,495,623,240,12509,1440,285,174,12224,1428,1799,406,10425,1232
