area_id,area_name,b12002h001,b12002h001_moe,b12002h002,b12002h002_moe,b12002h003,b12002h003_moe,b12002h004,b12002h004_moe,b12002h005,b12002h005_moe,b12002h006,b12002h006_moe,b12002h007,b12002h007_moe,b12002h008,b12002h008_moe,b12002h009,b12002h009_moe,b12002h010,b12002h010_moe,b12002h011,b12002h011_moe,b12002h012,b12002h012_moe,b12002h013,b12002h013_moe
BK09,Brooklyn Heights-Cobble Hill,15960,799,8281,563,3714,440,3917,371,76,55,137,70,437,136,7679,479,3057,342,3737,364,56,47,369,133,460,153
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,36871,1208,17053,739,4719,513,10160,525,232,103,933,203,1009,212,19818,765,4115,451,10079,511,356,123,3414,364,1854,276
BK19,Brighton Beach,19728,858,8590,538,2269,325,4809,385,222,103,515,160,775,218,11138,574,2054,350,4805,386,339,113,2559,316,1381,245
BK21,Seagate-Coney Island,8520,744,3937,433,1140,305,2082,262,60,45,265,92,390,143,4583,405,776,200,2014,262,243,109,1047,206,503,133
BK23,West Brighton,13922,646,5900,418,1341,289,3635,322,164,102,366,117,394,150,8022,451,1210,259,3601,310,470,152,1703,260,1038,245
BK25,Homecrest,26707,1011,12915,623,3778,435,7868,409,203,93,430,115,636,160,13792,562,2971,343,7753,411,280,104,1582,222,1206,219
BK26,Gravesend,13338,741,6032,464,1834,310,3467,339,54,45,283,117,394,148,7306,430,1553,268,3511,331,114,61,1248,221,880,193
BK27,Bath Beach,13909,847,6590,485,2200,318,3610,314,119,66,310,106,351,105,7319,499,1671,318,3628,302,243,159,1377,219,400,109
BK28,Bensonhurst West,35284,1273,15972,732,5208,488,9226,504,156,80,634,153,748,169,19312,779,5180,480,9018,490,269,104,3089,341,1756,268
BK29,Bensonhurst East,25693,1086,11956,644,3902,454,6672,436,163,96,525,138,694,160,13737,686,3229,422,6728,432,370,121,2169,261,1241,232
BK30,Dyker Heights,20576,913,10099,594,3514,453,5431,334,105,66,457,121,592,146,10477,498,2714,332,5361,335,116,72,1762,240,524,122
BK31,Bay Ridge,47571,1387,22469,850,9051,625,11280,556,294,101,738,171,1106,200,25102,869,8456,625,10528,542,602,176,3260,329,2256,261
BK32,Sunset Park West,8640,689,4502,445,2415,368,1725,241,79,60,80,69,203,94,4138,409,1833,282,1498,222,74,63,411,130,322,110
BK33,Carroll Gardens-Columbia Street-Red Hook,19873,840,9494,551,4070,446,4637,368,210,125,144,96,433,174,10379,604,4556,509,4097,347,168,100,739,199,819,176
BK34,Sunset Park East,8139,666,4120,423,1961,297,1896,261,27,63,124,62,112,67,4019,389,1359,254,1702,238,44,64,496,122,418,125
BK35,Stuyvesant Heights,2650,484,1320,285,854,246,358,128,18,53,14,52,76,69,1330,285,751,224,360,125,76,91,72,58,71,63
BK37,Park Slope-Gowanus,41416,1310,19636,813,8415,679,9735,544,186,94,230,97,1070,244,21780,919,10309,767,9118,521,200,86,688,181,1465,234
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,13189,654,6625,457,3169,389,2926,281,95,77,133,79,302,106,6564,389,3019,323,2892,278,80,70,230,96,343,109
BK40,Windsor Terrace,12769,705,6188,414,2286,335,3270,297,105,75,95,53,432,149,6581,436,2368,321,2973,278,111,75,659,129,470,144
BK41,Kensington-Ocean Parkway,14526,932,6996,576,2703,370,3677,368,169,99,190,91,257,102,7530,519,2322,361,3385,304,351,141,898,210,574,136
BK42,Flatbush,18507,1080,9189,698,3966,526,4416,363,139,101,195,112,473,136,9318,608,3274,422,4110,353,241,116,984,171,709,173
BK43,Midwood,31260,1069,14889,665,4847,476,8581,412,216,111,450,130,795,181,16371,638,4172,467,8700,423,370,140,1930,248,1199,221
BK44,Madison,23471,931,11103,590,3450,431,6756,355,60,50,418,121,419,124,12368,561,2716,372,6755,368,268,109,1518,212,1111,188
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,28080,999,13204,613,3886,433,8334,403,103,78,322,113,559,158,14876,613,3419,404,8075,406,377,128,2000,266,1005,195
BK46,Ocean Parkway South,12637,690,6188,406,2179,290,3494,247,33,39,205,79,277,96,6449,403,1793,283,3394,240,121,69,744,143,397,104
BK50,Canarsie,4421,505,2043,305,669,183,1039,184,15,70,145,79,175,97,2378,290,601,147,966,182,42,75,585,133,184,83
BK58,Flatlands,9775,702,4881,429,1803,309,2515,235,26,67,181,85,356,126,4894,390,1185,229,2450,222,56,67,714,140,489,129
BK60,Prospect Lefferts Gardens-Wingate,5377,703,2924,438,1561,359,1207,234,0,58,30,59,126,83,2453,380,1187,278,1017,214,21,65,146,120,82,73
BK61,Crown Heights North,9176,791,4591,496,2887,415,1423,223,51,76,73,91,157,100,4585,473,2888,405,1196,204,73,88,158,85,270,117
