area_id,area_name,b01002c001,b01002c001_moe,b01002c002,b01002c002_moe,b01002c003,b01002c003_moe
BK28,Bensonhurst West,85,20,84,19,67,23
BK30,Dyker Heights,24,1,20,34,24,1
BK31,Bay Ridge,28,4,28,7,28,16
BK32,Sunset Park West,80,40,85,24,132,93
BK34,Sunset Park East,63,31,66,53,43,46
BK37,Park Slope-Gowanus,56,4,59,0,52,3
BK42,Flatbush,54,10,54,1,40,77
BK50,Canarsie,16,15,24,0,16,0
BK61,Crown Heights North,13,13,13,10,26,40
BK73,North Side-South Side,52,0,34,0,53,10
BK75,Bedford,36,12,31,15,47,22
BK76,Greenpoint,56,43,35,41,57,26
BK78,Bushwick South,18,2,18,1,39,93
BK90,East Williamsburg,44,9,46,0,19,8
BX01,Claremont-Bathgate,22,30,21,30,36,22
BX03,Eastchester-Edenwald-Baychester,38,48,8,6,58,31
BX05,Bedford Park-Fordham North,18,35,16,0,46,27
BX07,Bronxdale,30,44,30,46,20,42
BX08,West Farms-Bronx River,8,3,7,2,12,17
BX13,Co-op City,54,34,56,32,30,57
BX14,East Concourse-Concourse Village,75,54,50,13,89,62
BX17,East Tremont,29,2,28,9,29,22
BX26,Highbridge,63,55,48,37,110,90
BX28,Van Cortlandt Village,38,5,38,43,40,78
BX30,Kingsbridge Heights,49,43,12,74,49,24
BX31,Allerton-Pelham Gardens,58,30,63,7,58,30
BX34,Melrose South-Mott Haven North,110,23,74,74,103,28
BX35,Morrisania-Melrose,20,28,17,2,37,11
BX36,University Heights-Morris Heights,14,4,13,0,33,0
BX39,Mott Haven-Port Morris,39,24,3,94,39,23
BX40,Fordham South,62,31,62,28,50,51
BX41,Mount Hope,81,65,36,65,82,74
BX43,Norwood,18,30,18,17,44,1
BX44,Williamsbridge-Olinville,22,0,21,0,47,15
BX46,Parkchester,3,19,3,0,63,66
BX52,Schuylerville-Throgs Neck-Edgewater Park,76,44,97,54,76,33
BX55,Soundview-Bruckner,25,1,25,1,33,22
BX59,Westchester-Unionport,59,16,59,34,60,0
BX63,West Concourse,44,3,46,2,43,9
BX75,Crotona Park East,25,46,45,7,48,39
MN12,Upper West Side,90,47,104,36,98,39
MN27,Chinatown,19,3,16,10,19,14
MN34,East Harlem North,84,50,113,24,76,85
MN36,Washington Heights South,28,56,23,33,62,36
QN01,South Jamaica,20,3,44,41,6,0
QN06,Jamaica Estates-Holliswood,24,3,52,15,13,28
QN07,Hollis,42,25,42,0,41,46
QN12,Hammels-Arverne-Edgemere,53,58,54,53,52,72
QN22,Flushing,44,33,44,49,30,50
QN25,Corona,28,0,27,2,30,0
QN26,North Corona,72,11,66,6,63,6
QN28,Jackson Heights,22,2,2,0,22,26
QN44,Glen Oaks-Floral Park-New Hyde Park,24,14,28,31,23,37
QN50,Elmhurst-Maspeth,24,3,24,0,41,49
QN52,East Flushing,33,43,38,49,56,3
QN53,Woodhaven,101,29,50,14,103,63
QN54,Richmond Hill,22,13,20,1,42,3
QN55,South Ozone Park,140,71,96,83,147,86
QN56,Ozone Park,29,19,25,0,29,29
QN61,Jamaica,44,20,60,25,42,13
QN62,Queensboro Hill,55,15,46,0,81,43
QN63,Woodside,13,3,9,12,13,31
QN68,Queensbridge-Ravenswood-Long Island City,19,8,21,12,19,19
QN71,Old Astoria,52,40,60,32,49,59
QN72,Steinway,20,0,20,0,30,23
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,47,26,47,12,76,66
SI37,Stapleton-Rosebank,16,2,12,9,21,0
