area_id,area_name,b19301d001,b19301d001_moe
QN51,Murray Hill,357438,32558
QN52,East Flushing,252068,16299
QN53,Woodhaven,451446,50613
QN54,Richmond Hill,478329,44032
QN55,South Ozone Park,555672,98298
QN56,Ozone Park,120898,16832
QN57,Lindenwood-Howard Beach,62222,32090
QN60,Kew Gardens,303872,43491
QN61,Jamaica,249181,50609
QN62,Queensboro Hill,95769,9559
QN63,Woodside,274276,24327
QN66,Laurelton,89972,12043
QN68,Queensbridge-Ravenswood-Long Island City,121349,34198
QN70,Astoria,725027,85640
QN71,Old Astoria,202063,34624
QN72,Steinway,579008,130673
QN76,Baisley Park,210910,117510
QN99,park-cemetery-etc-Queens,32849,2698
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,176970,35230
SI05,New Springville-Bloomfield-Travis,235819,29609
SI07,Westerleigh,210142,38512
SI08,Grymes Hill-Clifton-Fox Hills,79828,27733
SI11,Charleston-Richmond Valley-Tottenville,142645,51961
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,154596,28122
SI14,Grasmere-Arrochar-Ft. Wadsworth,93625,14363
SI22,West New Brighton-New Brighton-St. George,244273,54979
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,282220,65201
SI25,Oakwood-Oakwood Beach,142371,189490
SI28,Port Richmond,112298,14806
SI32,Rossville-Woodrow,142827,25163
SI35,New Brighton-Silver Lake,191480,67582
SI36,Old Town-Dongan Hills-South Beach,157575,18575
SI37,Stapleton-Rosebank,156540,32830
SI45,New Dorp-Midland Beach,108930,30675
SI48,Arden Heights,90206,27020
SI54,Great Kills,232697,56079
