area_id,area_name,b11001f001,b11001f001_moe,b11001f002,b11001f002_moe,b11001f003,b11001f003_moe,b11001f004,b11001f004_moe,b11001f005,b11001f005_moe,b11001f006,b11001f006_moe,b11001f007,b11001f007_moe,b11001f008,b11001f008_moe,b11001f009,b11001f009_moe
BK09,Brooklyn Heights-Cobble Hill,190,134,113,109,32,55,81,98,0,29,81,98,77,79,77,79,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,325,159,288,157,146,110,142,124,0,55,142,124,37,61,23,58,14,58
BK19,Brighton Beach,147,94,147,94,101,84,46,56,23,52,23,43,0,38,0,38,0,38
BK21,Seagate-Coney Island,924,229,699,199,307,133,392,158,73,108,319,127,225,113,225,113,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,315,136,244,110,161,96,83,71,0,48,83,71,71,92,12,50,59,90
BK26,Gravesend,543,159,453,149,282,138,171,130,15,40,156,130,90,65,90,65,0,36
BK27,Bath Beach,429,173,400,171,223,109,177,136,22,45,155,133,29,48,0,40,29,48
BK28,Bensonhurst West,1019,236,753,203,606,185,147,98,57,86,90,80,266,140,128,110,138,106
BK29,Bensonhurst East,633,175,513,161,442,152,71,69,17,55,54,65,120,77,91,71,29,58
BK30,Dyker Heights,372,141,253,117,161,97,92,82,9,52,83,81,119,93,47,63,72,85
BK31,Bay Ridge,1626,293,1073,242,493,154,580,200,127,115,453,177,553,173,516,169,37,73
BK32,Sunset Park West,4864,404,3662,369,1878,288,1784,282,624,182,1160,225,1202,234,779,193,423,140
BK33,Carroll Gardens-Columbia Street-Red Hook,1899,327,1291,272,560,198,731,192,127,89,604,177,608,205,518,190,90,81
BK34,Sunset Park East,2900,329,2312,296,1185,225,1127,229,358,143,769,187,588,167,440,146,148,93
BK35,Stuyvesant Heights,1688,282,1130,234,486,155,644,186,107,90,537,176,558,181,539,179,19,59
BK37,Park Slope-Gowanus,2343,355,1407,283,780,199,627,215,194,132,433,178,936,260,718,231,218,139
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1549,231,1034,207,287,142,747,177,35,52,712,178,515,144,473,141,42,50
BK40,Windsor Terrace,422,152,290,123,178,110,112,76,31,51,81,70,132,81,132,81,0,32
BK41,Kensington-Ocean Parkway,970,234,740,214,394,152,346,158,159,113,187,114,230,124,183,114,47,61
BK42,Flatbush,3108,411,2441,364,1362,282,1079,256,408,182,671,200,667,212,535,193,132,107
BK43,Midwood,554,199,383,170,206,136,177,114,48,92,129,85,171,121,123,109,48,73
BK44,Madison,200,100,142,80,69,62,73,68,13,50,60,66,58,73,50,73,8,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,295,129,258,123,101,85,157,102,69,79,88,84,37,68,22,65,15,58
BK46,Ocean Parkway South,286,128,243,122,169,102,74,70,16,42,58,67,43,51,33,50,10,38
BK50,Canarsie,1142,226,1039,222,442,160,597,191,167,130,430,141,103,88,95,88,8,70
BK58,Flatlands,537,161,459,154,286,129,173,104,37,75,136,95,78,74,47,70,31,66
BK60,Prospect Lefferts Gardens-Wingate,1226,267,779,233,385,198,394,173,39,70,355,169,447,157,350,147,97,79
BK61,Crown Heights North,1963,310,1322,250,355,142,967,227,144,105,823,209,641,198,472,176,169,109
BK63,Crown Heights South,653,183,337,143,215,115,122,91,69,76,53,63,316,140,260,125,56,71
BK64,Prospect Heights,458,182,250,140,231,140,19,33,4,30,15,32,208,117,126,97,82,77
BK68,Fort Greene,789,184,414,138,162,88,252,110,29,58,223,101,375,140,279,124,96,74
BK69,Clinton Hill,803,179,505,147,165,97,340,118,85,80,255,111,298,123,259,120,39,46
BK72,Williamsburg,418,133,319,126,147,84,172,99,22,47,150,94,99,72,99,72,0,36
BK73,North Side-South Side,1292,251,761,183,297,119,464,136,126,86,338,117,531,168,474,155,57,77
BK75,Bedford,2161,302,1550,259,507,155,1043,213,168,95,875,196,611,165,542,152,69,83
BK76,Greenpoint,653,160,546,145,250,108,296,106,76,76,220,90,107,75,70,61,37,60
BK77,Bushwick North,7511,496,6170,461,2331,321,3839,409,1248,269,2591,337,1341,260,974,223,367,145
BK78,Bushwick South,5040,445,3797,406,1904,309,1893,317,411,159,1482,281,1243,244,1004,215,239,130
BK79,Ocean Hill,1277,225,1006,210,340,124,666,178,174,101,492,157,271,103,234,95,37,55
BK81,Brownsville,1524,271,1218,258,395,164,823,204,93,80,730,201,306,124,288,121,18,57
BK82,East New York,2328,323,1633,278,638,183,995,213,253,124,742,182,695,189,596,174,99,93
BK83,Cypress Hills-City Line,1974,256,1676,235,789,172,887,171,170,82,717,156,298,109,272,107,26,51
BK85,East New York (Pennsylvania Ave),1149,220,900,202,266,118,634,173,54,60,580,162,249,97,170,80,79,63
BK88,Borough Park,1547,275,1217,240,536,159,681,199,152,101,529,179,330,156,173,117,157,114
BK90,East Williamsburg,1500,240,1005,201,497,164,508,154,101,73,407,140,495,156,416,149,79,62
BK91,East Flatbush-Farragut,376,144,264,124,146,93,118,96,66,88,52,66,112,85,99,83,13,56
BK93,Starrett City,362,211,264,201,0,24,264,201,0,24,264,201,98,82,98,82,0,24
BK95,Erasmus,357,127,250,110,102,87,148,71,55,61,93,61,107,79,107,79,0,36
BK96,Rugby-Remsen Village,351,146,235,126,71,80,164,112,47,72,117,101,116,89,116,89,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,3668,333,2660,297,705,185,1955,280,235,103,1720,269,1008,210,890,206,118,69
BX03,Eastchester-Edenwald-Baychester,1518,262,1308,247,389,150,919,215,199,128,720,197,210,121,210,121,0,40
BX05,Bedford Park-Fordham North,8914,496,6652,463,2125,335,4527,403,848,226,3679,377,2262,357,1833,324,429,160
BX06,Belmont,3384,323,2404,316,606,184,1798,268,388,138,1410,237,980,207,748,180,232,118
BX07,Bronxdale,4266,374,2801,333,913,223,1888,313,373,169,1515,268,1465,305,1257,281,208,128
BX08,West Farms-Bronx River,4554,379,3483,362,1453,282,2030,305,464,162,1566,283,1071,224,829,194,242,129
BX09,Soundview-Castle Hill-Clason Point-Harding Park,7148,473,5378,470,1967,330,3411,401,676,212,2735,360,1770,319,1537,288,233,150
BX10,Pelham Bay-Country Club-City Island,1887,319,1183,294,629,220,554,200,103,83,451,177,704,224,704,224,0,34
BX13,Co-op City,2031,353,1336,298,598,206,738,239,146,128,592,204,695,237,669,235,26,50
BX14,East Concourse-Concourse Village,7766,502,5331,464,1512,287,3819,422,960,266,2859,373,2435,366,1894,332,541,199
BX17,East Tremont,6318,421,4639,390,1000,212,3639,369,637,204,3002,342,1679,291,1450,277,229,102
BX22,North Riverdale-Fieldston-Riverdale,691,178,453,145,189,84,264,122,15,43,249,121,238,118,202,113,36,45
BX26,Highbridge,5065,376,3546,339,997,223,2549,316,389,144,2160,301,1519,275,1186,252,333,137
BX27,Hunts Point,3792,290,2557,270,562,154,1995,251,374,132,1621,222,1235,202,1081,197,154,78
BX28,Van Cortlandt Village,7052,450,5170,430,1974,304,3196,402,588,184,2608,362,1882,314,1444,287,438,162
BX29,Spuyten Duyvil-Kingsbridge,2170,294,1657,266,879,214,778,196,137,91,641,180,513,179,494,179,19,48
BX30,Kingsbridge Heights,5431,355,3842,367,1336,273,2506,321,502,188,2004,301,1589,288,1264,254,325,145
BX31,Allerton-Pelham Gardens,1687,253,1368,231,716,180,652,170,119,80,533,157,319,131,258,119,61,67
BX33,Longwood,3974,343,2764,316,633,172,2131,291,322,133,1809,256,1210,241,1084,229,126,86
BX34,Melrose South-Mott Haven North,4461,410,3131,351,848,208,2283,311,372,148,1911,300,1330,279,1262,275,68,57
BX35,Morrisania-Melrose,4836,367,3798,341,1176,235,2622,312,340,150,2282,295,1038,218,884,208,154,79
BX36,University Heights-Morris Heights,7851,456,5816,421,2043,310,3773,386,868,212,2905,344,2035,301,1827,291,208,109
BX37,Van Nest-Morris Park-Westchester Square,3448,316,2760,295,1266,243,1494,249,276,126,1218,223,688,175,507,150,181,97
BX39,Mott Haven-Port Morris,4809,396,3747,362,1141,217,2606,326,532,172,2074,283,1062,223,906,206,156,92
BX40,Fordham South,3535,355,2724,336,786,224,1938,293,106,66,1832,300,811,215,657,202,154,88
BX41,Mount Hope,7421,412,5725,385,1797,256,3928,353,744,202,3184,317,1696,289,1344,247,352,147
BX43,Norwood,5138,437,3648,422,1375,309,2273,338,495,177,1778,314,1490,302,1187,268,303,143
BX44,Williamsbridge-Olinville,2614,281,2002,251,537,150,1465,234,238,111,1227,216,612,169,541,164,71,65
BX46,Parkchester,2830,349,1716,304,776,231,940,242,247,142,693,201,1114,277,940,261,174,136
