area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
BK32,Sunset Park West,8441,1038,7683,1022,6018,951,5552,892,466,268,619,387,538,338,81,94,1046,476,970,437,76,79,758,283
BK33,Carroll Gardens-Columbia Street-Red Hook,2238,607,1697,521,1522,495,1522,495,0,45,65,89,54,76,11,47,110,163,107,162,3,44,541,317
BK34,Sunset Park East,35470,1812,33261,1872,26818,1869,24675,1677,2143,596,2896,779,2540,708,356,234,3547,759,3100,674,447,212,2209,515
BK35,Stuyvesant Heights,1929,568,1513,522,1099,422,1094,421,5,50,0,51,0,51,0,51,414,321,392,312,22,61,416,249
BK37,Park Slope-Gowanus,4659,764,2936,662,2385,561,2357,554,28,63,236,275,236,275,0,58,315,231,283,219,32,68,1723,404
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2710,482,1821,449,1367,395,1367,395,0,42,292,181,282,178,10,43,162,133,152,124,10,43,889,212
BK40,Windsor Terrace,2217,536,1795,520,1238,430,1238,430,0,32,293,246,274,237,19,36,264,210,234,191,30,59,422,172
BK41,Kensington-Ocean Parkway,9015,1193,8391,1204,6998,1169,6928,1168,70,85,535,268,458,219,77,98,858,439,858,439,0,40,624,267
BK42,Flatbush,8818,1087,7938,1080,6463,1028,6435,1026,28,75,354,206,354,206,0,68,1121,447,1091,436,30,79,880,311
BK43,Midwood,5093,809,4760,810,3650,730,3632,728,18,53,572,453,542,438,30,61,538,261,538,261,0,51,333,160
BK44,Madison,8537,950,7974,940,6432,938,6415,936,17,48,469,238,460,233,9,47,1073,346,1053,340,20,48,563,212
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2355,620,2287,619,2136,613,2136,613,0,55,86,99,86,99,0,55,65,76,65,76,0,55,68,57
BK46,Ocean Parkway South,730,282,658,278,301,166,301,166,0,36,150,128,142,125,8,36,207,187,207,187,0,36,72,77
BK50,Canarsie,2329,571,2133,566,1637,482,1622,480,15,73,171,165,171,165,0,70,325,260,325,260,0,70,196,123
BK58,Flatlands,2062,499,1931,497,1495,460,1474,455,21,68,137,136,135,133,2,62,299,204,269,195,30,70,131,80
BK60,Prospect Lefferts Gardens-Wingate,1522,453,1146,433,850,365,823,355,27,71,0,58,0,58,0,58,296,243,296,243,0,58,376,157
BK61,Crown Heights North,1956,539,1439,507,1043,477,994,464,49,85,255,192,226,176,29,70,141,144,136,142,5,66,517,206
BK63,Crown Heights South,573,361,523,356,523,356,523,356,0,40,0,40,0,40,0,40,0,40,0,40,0,40,50,64
BK64,Prospect Heights,1481,461,743,309,612,299,612,299,0,32,65,82,65,82,0,32,66,89,66,89,0,32,738,343
BK68,Fort Greene,1773,385,1201,342,1067,334,1067,334,0,38,40,69,30,57,10,39,94,92,94,92,0,38,572,198
BK69,Clinton Hill,1568,456,955,365,843,346,843,346,0,40,0,40,0,40,0,40,112,123,90,96,22,51,613,270
BK72,Williamsburg,20,49,20,49,20,49,20,49,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,1766,392,541,238,450,230,450,230,0,48,24,59,16,52,8,48,67,71,62,68,5,47,1225,323
BK75,Bedford,1920,516,1224,462,1035,434,1035,434,0,56,0,56,0,56,0,56,189,168,189,168,0,56,696,233
BK76,Greenpoint,1540,415,1019,366,961,365,961,365,0,42,29,62,29,62,0,42,29,59,20,50,9,42,521,218
BK77,Bushwick North,3610,644,3119,619,2039,477,1953,454,86,91,618,362,558,318,60,66,462,236,414,206,48,84,491,235
BK78,Bushwick South,1530,392,1052,350,733,310,711,301,22,64,184,149,149,131,35,66,135,114,132,113,3,55,478,211
BK79,Ocean Hill,145,99,65,83,65,83,65,83,0,38,0,38,0,38,0,38,0,38,0,38,0,38,80,65
BK81,Brownsville,611,374,570,373,470,356,470,356,0,51,39,64,39,64,0,51,61,102,61,102,0,51,41,63
BK82,East New York,1618,453,1497,441,1322,440,1306,437,16,69,108,171,108,171,0,65,67,102,67,102,0,65,121,120
BK83,Cypress Hills-City Line,3475,713,3322,713,2467,634,2404,628,63,63,438,251,403,238,35,63,417,285,396,264,21,55,153,88
BK85,East New York (Pennsylvania Ave),240,146,222,145,156,118,156,118,0,36,0,36,0,36,0,36,66,92,66,92,0,36,18,39
BK88,Borough Park,13031,1274,12467,1279,9570,1193,9017,1128,553,275,1245,494,1150,467,95,93,1652,617,1510,516,142,196,564,228
BK90,East Williamsburg,3908,468,3190,436,2468,418,2445,415,23,50,215,142,215,142,0,40,507,279,451,234,56,99,718,241
BK91,East Flatbush-Farragut,419,258,391,257,351,253,351,253,0,54,23,64,23,64,0,54,17,59,17,59,0,54,28,56
BK93,Starrett City,294,238,201,201,133,168,133,168,0,24,0,24,0,24,0,24,68,113,68,113,0,24,93,115
BK95,Erasmus,921,715,803,712,534,680,534,680,0,36,176,159,154,139,22,45,93,151,93,151,0,36,118,91
