area_id,area_name,b19013g001,b19013g001_moe
BK09,Brooklyn Heights-Cobble Hill,107045,143842
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,224071,159382
BK19,Brighton Beach,343424,258174
BK21,Seagate-Coney Island,85626,65500
BK23,West Brighton,57500,136973
BK25,Homecrest,65060,472131
BK26,Gravesend,9474,44819
BK27,Bath Beach,248967,182646
BK28,Bensonhurst West,295120,181150
BK29,Bensonhurst East,293010,216024
BK30,Dyker Heights,63523,12391
BK31,Bay Ridge,384263,162922
BK32,Sunset Park West,534748,268885
BK33,Carroll Gardens-Columbia Street-Red Hook,773245,304762
BK34,Sunset Park East,209604,105905
BK35,Stuyvesant Heights,456086,184930
BK37,Park Slope-Gowanus,1563207,505501
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,466634,244504
BK40,Windsor Terrace,12014,1857
BK41,Kensington-Ocean Parkway,361800,229970
BK42,Flatbush,648608,362762
BK43,Midwood,193908,117643
BK44,Madison,35500,84652
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,405270,118119
BK46,Ocean Parkway South,43750,76183
BK50,Canarsie,275633,265195
BK58,Flatlands,401030,131481
BK60,Prospect Lefferts Gardens-Wingate,306147,130200
BK61,Crown Heights North,560611,250342
BK63,Crown Heights South,72022,143845
BK64,Prospect Heights,231347,274787
BK68,Fort Greene,591879,204729
BK69,Clinton Hill,603336,348178
BK72,Williamsburg,91170,128006
BK73,North Side-South Side,761257,274219
BK75,Bedford,544233,253788
BK76,Greenpoint,813352,396420
BK77,Bushwick North,433360,155350
BK78,Bushwick South,473103,241879
BK79,Ocean Hill,416322,333470
BK81,Brownsville,317395,324271
BK82,East New York,380693,97972
BK83,Cypress Hills-City Line,426885,208926
BK85,East New York (Pennsylvania Ave),67538,207284
BK88,Borough Park,101821,77984
BK90,East Williamsburg,242479,164380
BK91,East Flatbush-Farragut,629937,282817
BK93,Starrett City,94628,129524
BK95,Erasmus,304102,228586
BK96,Rugby-Remsen Village,270843,166109
BK99,park-cemetery-etc-Brooklyn,66688,3359
BX01,Claremont-Bathgate,76140,58511
BX03,Eastchester-Edenwald-Baychester,287742,211378
BX05,Bedford Park-Fordham North,371038,258776
BX06,Belmont,127877,86056
BX07,Bronxdale,218778,251849
BX08,West Farms-Bronx River,186413,69431
BX09,Soundview-Castle Hill-Clason Point-Harding Park,401897,464903
BX10,Pelham Bay-Country Club-City Island,125398,129369
BX13,Co-op City,84996,160088
BX14,East Concourse-Concourse Village,323287,157079
BX17,East Tremont,227175,205839
BX22,North Riverdale-Fieldston-Riverdale,318547,214642
BX26,Highbridge,85204,111048
BX27,Hunts Point,205628,103551
BX28,Van Cortlandt Village,448605,140164
BX29,Spuyten Duyvil-Kingsbridge,533676,354461
BX30,Kingsbridge Heights,244886,105604
BX31,Allerton-Pelham Gardens,140573,67586
BX33,Longwood,111913,68526
BX34,Melrose South-Mott Haven North,176785,100388
BX35,Morrisania-Melrose,218619,145033
BX36,University Heights-Morris Heights,437376,288474
BX37,Van Nest-Morris Park-Westchester Square,390447,139826
BX39,Mott Haven-Port Morris,219739,165253
BX40,Fordham South,96080,51238
BX41,Mount Hope,237713,120742
BX43,Norwood,195151,112080
BX44,Williamsbridge-Olinville,387017,213681
BX46,Parkchester,240162,106813
BX49,Pelham Parkway,425067,258402
BX52,Schuylerville-Throgs Neck-Edgewater Park,365343,296498
BX55,Soundview-Bruckner,207450,102144
BX59,Westchester-Unionport,253444,247998
BX62,Woodlawn-Wakefield,296147,140653
BX63,West Concourse,216548,128803
BX75,Crotona Park East,23797,15814
BX99,park-cemetery-etc-Bronx,74750,38236
MN01,Marble Hill-Inwood,341808,86296
MN03,Central Harlem North-Polo Grounds,671444,255372
MN04,Hamilton Heights,175706,54842
MN06,Manhattanville,121395,65896
MN09,Morningside Heights,506438,273140
MN11,Central Harlem South,502658,278148
MN12,Upper West Side,1338933,511017
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,458591,559621
MN14,Lincoln Square,839273,326535
MN15,Clinton,454280,95845
MN17,Midtown-Midtown South,318447,459061
MN19,Turtle Bay-East Midtown,486928,455547
