area_id,area_name,b19001d001,b19001d001_moe,b19001d002,b19001d002_moe,b19001d003,b19001d003_moe,b19001d004,b19001d004_moe,b19001d005,b19001d005_moe,b19001d006,b19001d006_moe,b19001d007,b19001d007_moe,b19001d008,b19001d008_moe,b19001d009,b19001d009_moe,b19001d010,b19001d010_moe,b19001d011,b19001d011_moe,b19001d012,b19001d012_moe,b19001d013,b19001d013_moe,b19001d014,b19001d014_moe,b19001d015,b19001d015_moe,b19001d016,b19001d016_moe,b19001d017,b19001d017_moe
BK09,Brooklyn Heights-Cobble Hill,854,214,41,45,19,35,43,75,41,70,0,29,29,40,11,33,9,30,66,54,114,84,58,52,87,71,64,61,73,71,28,39,171,98
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2686,262,213,99,190,102,110,66,58,70,139,91,46,62,32,59,80,78,57,70,207,99,336,138,446,144,234,101,256,115,158,103,124,90
BK19,Brighton Beach,1145,188,17,44,42,55,43,45,49,48,46,55,28,50,60,67,63,66,60,61,112,71,107,69,157,76,199,97,83,58,57,53,22,42
BK21,Seagate-Coney Island,856,144,141,84,55,44,103,64,54,49,37,67,0,38,15,34,54,58,7,36,47,46,68,50,142,91,80,67,33,47,20,41,0,38
BK23,West Brighton,41,40,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,33,0,27,8,28,11,29,0,27,8,27,0,27
BK25,Homecrest,1194,208,55,71,53,63,133,93,107,66,54,67,48,63,115,74,100,92,102,87,67,72,57,57,127,76,89,74,24,61,45,51,18,49
BK26,Gravesend,1778,230,56,57,65,66,169,92,136,96,129,84,122,85,73,66,83,66,57,68,116,59,155,71,270,103,185,92,99,58,49,47,14,36
BK27,Bath Beach,2483,253,260,120,196,85,96,56,111,58,79,64,132,87,125,82,150,90,109,84,214,91,131,69,302,96,155,74,216,103,126,65,81,50
BK28,Bensonhurst West,8458,437,528,146,507,152,583,150,377,132,586,154,492,145,642,165,655,167,336,117,679,158,851,194,615,146,719,161,348,111,351,123,189,83
BK29,Bensonhurst East,6379,386,368,126,318,115,384,128,312,114,352,129,431,132,541,161,304,123,262,118,468,153,601,155,792,176,433,125,297,115,230,92,286,107
BK30,Dyker Heights,4008,287,214,93,231,104,321,126,273,117,301,117,399,124,156,93,178,85,182,97,322,121,384,138,324,120,300,112,115,70,195,92,113,65
BK31,Bay Ridge,3807,340,236,105,222,112,249,110,153,92,195,102,101,88,132,96,127,93,127,81,362,135,350,125,406,132,406,132,238,105,234,99,269,106
BK32,Sunset Park West,2344,249,358,133,218,89,140,84,194,98,110,73,102,75,71,62,160,94,35,55,219,100,241,110,228,100,80,66,50,61,60,57,78,75
BK33,Carroll Gardens-Columbia Street-Red Hook,870,217,35,52,12,48,0,45,0,45,20,50,7,44,28,51,0,45,0,45,46,57,63,86,78,64,166,105,98,72,169,121,148,95
BK34,Sunset Park East,8598,370,1070,204,880,177,778,172,736,179,825,180,407,127,376,122,369,120,288,115,528,138,825,202,709,155,412,118,96,75,156,89,143,83
BK35,Stuyvesant Heights,590,154,87,78,35,64,0,51,30,59,25,53,49,69,32,66,10,52,24,62,37,60,25,57,63,77,21,54,62,66,66,70,24,55
BK37,Park Slope-Gowanus,2079,324,145,99,35,61,16,59,93,111,20,60,18,59,55,76,30,66,123,103,80,85,294,125,193,113,201,103,298,143,286,112,192,87
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1193,178,106,63,32,48,52,54,46,53,28,45,88,67,22,43,26,51,8,42,32,49,125,62,136,72,79,60,87,58,118,60,208,81
BK40,Windsor Terrace,904,197,200,131,34,43,19,43,5,30,30,39,79,82,10,33,25,38,33,43,35,41,51,49,88,57,109,61,43,60,62,51,81,59
BK41,Kensington-Ocean Parkway,2338,274,192,90,136,78,248,100,314,125,122,67,198,113,117,79,78,88,104,68,72,70,212,109,258,112,69,49,24,43,155,103,39,49
BK42,Flatbush,2489,281,213,114,312,145,229,134,63,77,277,123,178,103,142,97,112,90,5,68,181,100,217,113,198,106,190,99,49,73,75,84,48,75
BK43,Midwood,1358,192,214,95,57,56,84,66,89,70,146,81,77,71,18,56,97,88,30,66,133,79,138,79,134,73,49,63,28,54,15,55,49,57
BK44,Madison,2438,242,183,80,87,68,124,71,176,89,139,80,181,107,40,52,75,59,43,54,231,92,266,103,236,99,322,116,128,58,145,71,62,63
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,636,139,9,56,57,79,20,57,17,57,10,54,41,58,0,55,16,56,28,61,23,54,78,73,36,57,103,67,69,55,82,65,47,61
