area_id,area_name,b05003a001,b05003a001_moe,b05003a002,b05003a002_moe,b05003a003,b05003a003_moe,b05003a004,b05003a004_moe,b05003a005,b05003a005_moe,b05003a006,b05003a006_moe,b05003a007,b05003a007_moe,b05003a008,b05003a008_moe,b05003a009,b05003a009_moe,b05003a010,b05003a010_moe,b05003a011,b05003a011_moe,b05003a012,b05003a012_moe,b05003a013,b05003a013_moe,b05003a014,b05003a014_moe,b05003a015,b05003a015_moe,b05003a016,b05003a016_moe,b05003a017,b05003a017_moe,b05003a018,b05003a018_moe,b05003a019,b05003a019_moe,b05003a020,b05003a020_moe,b05003a021,b05003a021_moe,b05003a022,b05003a022_moe,b05003a023,b05003a023_moe
BK09,Brooklyn Heights-Cobble Hill,18810,996,9824,644,1260,272,1260,272,0,29,0,29,0,29,8564,557,7275,520,1289,275,668,215,621,168,8986,577,1133,215,1102,209,31,55,0,29,31,55,7853,494,6538,479,1315,238,656,173,659,172
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45514,1475,21333,932,3948,515,3633,450,315,172,232,165,83,74,17385,709,8556,588,8829,569,7309,542,1520,293,24181,934,3575,437,3356,417,219,119,56,73,163,110,20606,754,10341,634,10265,633,8359,586,1906,353
BK19,Brighton Beach,25322,1243,11377,743,1966,359,1699,340,267,122,37,44,230,119,9411,580,2076,323,7335,535,4994,421,2341,384,13945,740,1874,361,1708,345,166,101,24,43,142,98,12071,596,2328,338,9743,568,6929,470,2814,431
BK21,Seagate-Coney Island,12724,1095,6013,635,1248,340,1202,335,46,54,16,43,30,49,4765,472,2350,376,2415,321,1682,263,733,195,6711,592,957,285,865,271,92,69,57,62,35,47,5754,450,2476,337,3278,341,2484,285,794,214
BK23,West Brighton,15109,711,6399,442,618,152,491,154,127,88,114,87,13,31,5781,399,2093,326,3688,390,3376,396,312,160,8710,507,609,187,575,182,34,38,21,32,13,32,8101,440,2930,374,5171,472,4597,426,574,244
BK25,Homecrest,35395,1414,17519,868,4434,519,4313,514,121,81,60,70,61,63,13085,593,6762,509,6323,489,4512,398,1811,340,17876,773,4124,492,3833,470,291,120,94,77,197,103,13752,519,6791,476,6961,457,4772,374,2189,311
BK26,Gravesend,16699,988,7574,562,873,192,780,181,93,64,35,46,58,56,6701,490,3258,410,3443,395,2612,361,831,231,9125,570,1265,287,1116,262,149,106,63,70,86,87,7860,444,4175,417,3685,370,2911,330,774,193
BK27,Bath Beach,17345,1079,8478,657,1240,250,1132,237,108,72,51,63,57,54,7238,555,4401,431,2837,406,1787,257,1050,339,8867,604,1126,243,1065,238,61,56,57,57,4,39,7741,500,4965,449,2776,320,1983,255,793,189
BK28,Bensonhurst West,48060,1805,22358,1047,4211,513,3521,468,690,213,95,83,595,204,18147,790,9022,610,9125,627,5234,438,3891,499,25702,1084,4630,562,4073,531,557,201,231,149,326,146,21072,790,10947,679,10125,598,6014,467,4111,442
BK29,Bensonhurst East,33602,1352,15922,810,2244,344,1904,301,340,126,95,71,245,113,13678,662,6208,496,7470,559,4446,401,3024,459,17680,848,2848,376,2297,328,551,174,165,99,386,158,14832,664,6722,495,8110,569,5173,424,2937,406
BK30,Dyker Heights,26407,1163,12923,736,2200,306,1996,293,204,111,52,66,152,100,10723,650,7169,524,3554,463,2053,256,1501,396,13484,681,2345,339,2176,337,169,102,21,59,148,99,11139,517,8124,504,3015,314,1909,243,1106,228
BK31,Bay Ridge,63389,1932,30180,1139,6084,596,5607,570,477,174,176,130,301,129,24096,855,16053,735,8043,647,4973,468,3070,480,33209,1192,5818,663,5345,613,473,219,113,92,360,210,27391,846,18813,799,8578,585,5967,487,2611,349
BK32,Sunset Park West,24381,1601,12809,962,2740,451,2454,414,286,121,44,57,242,116,10069,774,6020,557,4049,570,1139,235,2910,509,11572,886,2692,433,2463,404,229,107,86,66,143,97,8880,621,5498,479,3382,424,1450,258,1932,331
