area_id,area_name,b17010d001,b17010d001_moe,b17010d002,b17010d002_moe,b17010d003,b17010d003_moe,b17010d004,b17010d004_moe,b17010d005,b17010d005_moe,b17010d006,b17010d006_moe,b17010d007,b17010d007_moe,b17010d008,b17010d008_moe,b17010d009,b17010d009_moe,b17010d010,b17010d010_moe,b17010d011,b17010d011_moe,b17010d012,b17010d012_moe,b17010d013,b17010d013_moe,b17010d014,b17010d014_moe,b17010d015,b17010d015_moe,b17010d016,b17010d016_moe,b17010d017,b17010d017_moe,b17010d018,b17010d018_moe,b17010d019,b17010d019_moe,b17010d020,b17010d020_moe,b17010d021,b17010d021_moe,b17010d022,b17010d022_moe,b17010d023,b17010d023_moe,b17010d024,b17010d024_moe,b17010d025,b17010d025_moe,b17010d026,b17010d026_moe,b17010d027,b17010d027_moe,b17010d028,b17010d028_moe,b17010d029,b17010d029_moe,b17010d030,b17010d030_moe,b17010d031,b17010d031_moe,b17010d032,b17010d032_moe,b17010d033,b17010d033_moe,b17010d034,b17010d034_moe,b17010d035,b17010d035_moe,b17010d036,b17010d036_moe,b17010d037,b17010d037_moe,b17010d038,b17010d038_moe,b17010d039,b17010d039_moe,b17010d040,b17010d040_moe,b17010d041,b17010d041_moe
BK09,Brooklyn Heights-Cobble Hill,319,135,17,38,17,38,0,29,0,29,0,29,0,29,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,302,132,291,131,109,72,81,64,0,29,28,41,182,109,11,32,0,29,0,29,0,29,0,29,0,29,0,29,11,32,11,32,11,32,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2263,241,342,120,269,106,148,82,55,75,0,55,93,64,121,86,73,78,46,77,34,76,0,55,0,55,34,76,12,56,27,57,9,56,0,55,0,55,9,56,18,56,1921,228,1463,211,827,178,255,111,136,98,436,131,636,152,458,160,195,116,82,79,7,55,6,54,69,79,113,99,263,114,67,84,0,55,54,83,13,58,196,94
BK19,Brighton Beach,979,181,111,73,94,68,84,68,9,39,18,43,57,63,10,36,17,44,17,44,17,44,0,38,0,38,17,44,0,38,0,38,0,38,0,38,0,38,0,38,0,38,868,175,669,159,386,131,54,50,97,81,235,97,283,104,199,82,116,64,20,40,0,38,9,39,11,39,96,62,83,60,32,48,0,38,0,38,32,48,51,50
BK21,Seagate-Coney Island,735,123,285,86,254,78,140,67,19,42,11,40,110,63,114,76,31,40,24,40,12,39,0,38,0,38,12,39,12,39,7,38,7,38,0,38,0,38,7,38,0,38,450,114,428,111,185,83,0,38,26,43,159,81,243,87,22,41,0,38,0,38,0,38,0,38,0,38,0,38,22,41,5,36,0,38,0,38,5,36,17,39
BK23,West Brighton,41,40,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,41,40,41,40,22,33,8,28,0,27,14,33,19,33,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,1122,206,213,99,170,86,124,75,13,49,0,48,111,74,46,64,43,66,15,48,15,48,0,48,0,48,15,48,0,48,28,64,28,64,0,48,28,64,0,48,0,48,909,192,799,187,296,124,68,77,17,49,211,106,503,152,110,65,58,56,2,48,0,48,0,48,2,48,56,55,52,55,8,49,0,48,0,48,8,49,44,54
BK26,Gravesend,1626,216,347,117,298,114,203,92,36,44,32,46,135,81,95,77,49,61,14,39,0,36,0,36,0,36,0,36,14,39,35,56,29,57,0,36,0,36,29,57,6,35,1279,200,1097,190,584,154,136,78,136,83,312,112,513,141,182,84,62,46,4,36,0,36,0,36,4,36,58,45,120,75,52,60,5,35,13,39,34,57,68,59
BK27,Bath Beach,2153,247,439,132,366,124,304,120,89,85,49,60,166,91,62,58,73,60,5,39,0,40,0,40,0,40,0,40,5,39,68,61,30,41,10,41,0,40,20,40,38,60,1714,242,1505,234,936,195,225,97,163,86,548,155,569,142,209,83,54,51,31,49,14,44,17,45,0,40,23,43,155,73,54,43,0,40,0,40,54,43,101,69
BK28,Bensonhurst West,7621,428,1488,234,1181,210,823,175,83,79,161,102,579,144,358,130,307,119,137,98,67,84,0,64,33,80,34,69,70,80,170,92,120,80,22,66,30,71,68,68,50,73,6133,419,5145,398,2830,312,543,148,430,137,1857,262,2315,284,988,188,449,125,114,81,34,65,13,66,67,76,335,110,539,148,226,103,65,76,0,64,161,95,313,118
BK29,Bensonhurst East,5711,374,1070,200,875,189,428,136,19,53,103,81,306,117,447,139,195,90,94,67,67,63,6,50,0,51,61,63,27,55,101,76,68,67,11,52,13,54,44,63,33,60,4641,359,3725,345,2059,278,400,127,418,149,1241,225,1666,242,916,188,274,97,113,78,21,53,25,61,67,68,161,73,642,164,241,106,39,59,17,51,185,100,401,130
