area_id,area_name,b99083001,b99083001_moe,b99083002,b99083002_moe,b99083003,b99083003_moe,b99083004,b99083004_moe,b99083005,b99083005_moe
BK09,Brooklyn Heights-Cobble Hill,13874,-1,12621,-1,1454,-1,11167,-1,1253,-1
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26453,-1,25487,-1,5576,-1,19911,-1,966,-1
BK19,Brighton Beach,12761,-1,12217,-1,2483,-1,9734,-1,544,-1
BK21,Seagate-Coney Island,9500,-1,9131,-1,2231,-1,6900,-1,369,-1
BK23,West Brighton,6090,-1,6042,-1,1096,-1,4946,-1,48,-1
BK25,Homecrest,16159,-1,15600,-1,4032,-1,11568,-1,559,-1
BK26,Gravesend,10448,-1,10267,-1,1994,-1,8273,-1,181,-1
BK27,Bath Beach,12087,-1,11788,-1,2941,-1,8847,-1,299,-1
BK28,Bensonhurst West,35692,-1,34525,-1,6850,-1,27675,-1,1167,-1
BK29,Bensonhurst East,26066,-1,25447,-1,4408,-1,21039,-1,619,-1
BK30,Dyker Heights,19282,-1,18625,-1,3339,-1,15286,-1,657,-1
BK31,Bay Ridge,38152,-1,37106,-1,6635,-1,30471,-1,1046,-1
BK32,Sunset Park West,24481,-1,23834,-1,3976,-1,19858,-1,647,-1
BK33,Carroll Gardens-Columbia Street-Red Hook,20902,-1,19185,-1,2123,-1,17062,-1,1717,-1
BK34,Sunset Park East,30563,-1,29597,-1,6303,-1,23294,-1,966,-1
BK35,Stuyvesant Heights,24863,-1,23839,-1,4283,-1,19556,-1,1024,-1
BK37,Park Slope-Gowanus,44495,-1,40869,-1,4936,-1,35933,-1,3626,-1
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17780,-1,16196,-1,2424,-1,13772,-1,1584,-1
BK40,Windsor Terrace,12724,-1,12046,-1,2986,-1,9060,-1,678,-1
BK41,Kensington-Ocean Parkway,15029,-1,14595,-1,4431,-1,10164,-1,434,-1
BK42,Flatbush,46652,-1,45188,-1,11430,-1,33758,-1,1464,-1
BK43,Midwood,19836,-1,18917,-1,5288,-1,13629,-1,919,-1
BK44,Madison,17314,-1,16653,-1,5391,-1,11262,-1,661,-1
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,20634,-1,20059,-1,3756,-1,16303,-1,575,-1
BK46,Ocean Parkway South,7274,-1,6938,-1,2190,-1,4748,-1,336,-1
BK50,Canarsie,39874,-1,39293,-1,16724,-1,22569,-1,581,-1
BK58,Flatlands,32795,-1,31862,-1,6721,-1,25141,-1,933,-1
