area_id,area_name,b18101g001,b18101g001_moe,b18101g002,b18101g002_moe,b18101g003,b18101g003_moe,b18101g004,b18101g004_moe,b18101g005,b18101g005_moe,b18101g006,b18101g006_moe,b18101g007,b18101g007_moe,b18101g008,b18101g008_moe,b18101g009,b18101g009_moe,b18101g010,b18101g010_moe
BK09,Brooklyn Heights-Cobble Hill,931,314,430,263,0,29,430,263,501,162,46,58,455,157,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,576,385,211,240,0,55,211,240,348,209,25,58,323,207,17,56,7,55,10,56
BK19,Brighton Beach,800,360,159,105,0,38,159,105,641,326,11,40,630,325,0,38,0,38,0,38
BK21,Seagate-Coney Island,604,350,295,217,22,51,273,201,250,154,58,56,192,148,59,57,38,52,21,44
BK23,West Brighton,75,66,47,55,0,27,47,55,15,35,0,27,15,35,13,32,13,32,0,27
BK25,Homecrest,562,432,176,161,34,61,142,146,357,299,22,51,335,299,29,52,11,50,18,50
BK26,Gravesend,357,168,189,93,13,37,176,91,147,104,11,36,136,100,21,39,21,39,0,36
BK27,Bath Beach,313,149,97,71,1,38,96,70,188,109,13,43,175,108,28,51,22,51,6,39
BK28,Bensonhurst West,707,223,328,161,20,68,308,145,350,134,33,66,317,130,29,64,15,65,14,63
BK29,Bensonhurst East,864,393,379,221,7,51,372,222,455,200,23,54,432,199,30,53,10,50,20,52
BK30,Dyker Heights,426,203,163,96,0,51,163,96,228,148,23,61,205,122,35,60,9,52,26,59
BK31,Bay Ridge,1861,496,1015,319,9,66,1006,318,833,246,65,75,768,230,13,67,9,66,4,65
BK32,Sunset Park West,1362,388,497,222,23,56,474,210,790,261,4,47,786,260,75,66,57,63,18,50
BK33,Carroll Gardens-Columbia Street-Red Hook,1624,452,805,296,26,58,779,288,791,249,65,75,726,226,28,47,0,45,28,47
BK34,Sunset Park East,1087,321,393,164,49,68,344,157,640,219,116,83,524,200,54,69,19,59,35,66
BK35,Stuyvesant Heights,1203,360,465,207,70,99,395,171,687,208,110,73,577,185,51,60,25,55,26,56
