area_id,area_name,b19013i001,b19013i001_moe
BK09,Brooklyn Heights-Cobble Hill,338844,153698
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,693600,271999
BK19,Brighton Beach,264433,167120
BK21,Seagate-Coney Island,240835,100800
BK25,Homecrest,511777,235975
BK26,Gravesend,341483,101027
BK27,Bath Beach,570685,180414
BK28,Bensonhurst West,1201306,245464
BK29,Bensonhurst East,757485,127649
BK30,Dyker Heights,686163,175737
BK31,Bay Ridge,1541311,189117
BK32,Sunset Park West,539964,48823
BK33,Carroll Gardens-Columbia Street-Red Hook,654787,187691
BK34,Sunset Park East,477200,70733
BK35,Stuyvesant Heights,646672,124754
BK37,Park Slope-Gowanus,1233253,330533
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,461982,218697
BK40,Windsor Terrace,410001,110771
BK41,Kensington-Ocean Parkway,438314,113519
BK42,Flatbush,1155946,239981
BK43,Midwood,646822,221774
BK44,Madison,790451,232367
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,991910,277204
BK46,Ocean Parkway South,420577,167733
BK50,Canarsie,1191190,566451
BK58,Flatlands,1485898,440919
BK60,Prospect Lefferts Gardens-Wingate,453531,246136
BK61,Crown Heights North,876125,188436
BK63,Crown Heights South,307743,71969
BK64,Prospect Heights,290626,136506
BK68,Fort Greene,423350,165028
BK69,Clinton Hill,475406,162929
BK72,Williamsburg,196788,67558
BK73,North Side-South Side,462456,110741
BK75,Bedford,736577,193098
BK76,Greenpoint,599964,154826
BK77,Bushwick North,462228,38577
BK78,Bushwick South,781665,144751
BK79,Ocean Hill,395643,135115
BK81,Brownsville,393731,164452
BK82,East New York,943388,150482
BK83,Cypress Hills-City Line,638420,106265
BK85,East New York (Pennsylvania Ave),244215,94235
BK88,Borough Park,1025112,280858
BK90,East Williamsburg,458421,87786
BK91,East Flatbush-Farragut,882266,239922
BK93,Starrett City,59281,28764
BK95,Erasmus,241399,88545
BK96,Rugby-Remsen Village,662137,401977
BX01,Claremont-Bathgate,196232,44034
BX03,Eastchester-Edenwald-Baychester,375908,123650
BX05,Bedford Park-Fordham North,290530,40360
BX06,Belmont,113977,18154
BX07,Bronxdale,223454,36790
BX08,West Farms-Bronx River,201317,34491
BX09,Soundview-Castle Hill-Clason Point-Harding Park,519046,51156
BX10,Pelham Bay-Country Club-City Island,402778,68020
BX13,Co-op City,127157,31269
BX14,East Concourse-Concourse Village,383847,52610
BX17,East Tremont,227994,32094
BX22,North Riverdale-Fieldston-Riverdale,607923,212200
BX26,Highbridge,157921,18153
BX27,Hunts Point,150869,23711
BX28,Van Cortlandt Village,382205,97293
