area_id,area_name,b10060001,b10060001_moe,b10060002,b10060002_moe,b10060003,b10060003_moe,b10060004,b10060004_moe,b10060005,b10060005_moe,b10060006,b10060006_moe,b10060007,b10060007_moe,b10060008,b10060008_moe,b10060009,b10060009_moe,b10060010,b10060010_moe,b10060011,b10060011_moe,b10060012,b10060012_moe,b10060013,b10060013_moe,b10060014,b10060014_moe,b10060015,b10060015_moe,b10060016,b10060016_moe
BK09,Brooklyn Heights-Cobble Hill,124,109,54,90,0,29,0,29,0,29,54,90,70,66,0,29,0,29,0,29,70,66,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1109,277,544,205,117,95,57,84,60,71,427,163,565,198,105,106,40,78,65,84,460,190,0,55,0,55,0,55,0,55,0,55
BK19,Brighton Beach,486,158,53,54,0,38,0,38,0,38,53,54,433,153,163,104,38,59,125,96,270,119,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,920,243,375,175,137,122,15,43,122,119,238,137,545,186,291,143,212,121,79,81,254,122,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,282,141,0,27,0,27,0,27,0,27,0,27,282,141,117,97,62,78,55,62,165,107,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,584,200,371,167,143,105,10,49,133,105,228,136,185,109,25,50,20,50,5,48,160,106,28,65,28,65,28,65,0,48,0,48
BK26,Gravesend,839,229,192,138,17,39,17,39,0,36,175,134,647,182,227,89,157,83,70,69,420,159,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,727,220,127,89,38,52,25,52,13,40,89,81,600,204,143,97,113,91,30,48,457,175,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,2219,354,741,214,174,103,53,73,121,95,567,193,1478,293,311,125,117,88,194,106,1167,262,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,2178,384,687,212,214,134,8,52,206,134,473,172,1419,311,629,227,167,104,462,208,790,219,72,83,35,59,0,51,35,59,37,60
BK30,Dyker Heights,1691,343,490,149,136,78,48,61,88,66,354,129,1201,314,635,255,247,157,388,187,566,173,0,51,0,51,0,51,0,51,0,51
