area_id,area_name,c23002c001,c23002c001_moe,c23002c002,c23002c002_moe,c23002c003,c23002c003_moe,c23002c004,c23002c004_moe,c23002c005,c23002c005_moe,c23002c006,c23002c006_moe,c23002c007,c23002c007_moe,c23002c008,c23002c008_moe,c23002c009,c23002c009_moe,c23002c010,c23002c010_moe,c23002c011,c23002c011_moe,c23002c012,c23002c012_moe,c23002c013,c23002c013_moe,c23002c014,c23002c014_moe,c23002c015,c23002c015_moe,c23002c016,c23002c016_moe,c23002c017,c23002c017_moe,c23002c018,c23002c018_moe,c23002c019,c23002c019_moe,c23002c020,c23002c020_moe,c23002c021,c23002c021_moe,c23002c022,c23002c022_moe,c23002c023,c23002c023_moe,c23002c024,c23002c024_moe,c23002c025,c23002c025_moe,c23002c026,c23002c026_moe,c23002c027,c23002c027_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,26,39,26,39,26,39,0,29,26,39,26,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,54,57,54,57,54,57,0,29,54,57,15,36,39,51,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,9,56,9,56,0,55,9,56,9,56,0,55,0,55,16,60,0,55,0,55,0,55,16,60
BK19,Brighton Beach,74,76,7,38,7,38,7,38,0,38,7,38,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,67,75,54,73,21,50,0,38,21,50,21,50,0,38,33,65,13,42,0,38,0,38,0,38,13,42
BK21,Seagate-Coney Island,126,97,71,84,36,67,36,67,0,38,36,67,36,67,0,38,0,38,35,63,0,38,0,38,0,38,35,63,55,61,55,61,43,61,0,38,43,61,13,42,30,58,12,39,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,20,57,20,57,0,48,0,48,0,48,0,48,0,48,20,57,0,48,0,48,0,48,0,48,0,48,35,54,19,50,19,50,0,48,19,50,19,50,0,48,0,48,16,52,0,48,0,48,0,48,16,52
BK26,Gravesend,107,107,40,55,40,55,0,36,0,36,0,36,0,36,0,36,40,55,0,36,0,36,0,36,0,36,0,36,67,69,67,69,14,40,0,36,14,40,14,40,0,36,53,57,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,40,69,19,43,19,43,19,43,0,40,19,43,5,39,14,44,0,40,0,40,0,40,0,40,0,40,0,40,21,53,21,53,21,53,0,40,21,53,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,511,357,396,265,396,265,393,265,0,64,393,265,393,265,0,64,3,63,0,64,0,64,0,64,0,64,0,64,115,115,115,115,76,88,0,64,76,88,76,88,0,64,39,75,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,58,80,58,80,58,80,32,76,0,51,32,76,32,76,0,51,26,56,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
