area_id,area_name,b19113i001,b19113i001_moe
BK09,Brooklyn Heights-Cobble Hill,298495,151145
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,629600,218387
BK19,Brighton Beach,144117,121480
BK21,Seagate-Coney Island,299407,98460
BK25,Homecrest,362988,154646
BK26,Gravesend,212703,217385
BK27,Bath Beach,579014,179275
BK28,Bensonhurst West,1096667,227363
BK29,Bensonhurst East,716372,207990
BK30,Dyker Heights,751695,280191
BK31,Bay Ridge,1513880,379972
BK32,Sunset Park West,545920,66392
BK33,Carroll Gardens-Columbia Street-Red Hook,753554,250862
BK34,Sunset Park East,477373,54390
BK35,Stuyvesant Heights,748034,190991
BK37,Park Slope-Gowanus,1257437,270332
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,690505,216910
BK40,Windsor Terrace,604395,305495
BK41,Kensington-Ocean Parkway,416800,145976
BK42,Flatbush,1274597,232293
BK43,Midwood,407523,191645
BK44,Madison,778367,227797
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,973600,335430
BK46,Ocean Parkway South,575186,432247
BK50,Canarsie,1142721,480462
BK58,Flatlands,1574349,625321
BK60,Prospect Lefferts Gardens-Wingate,501943,284205
BK61,Crown Heights North,915992,260838
BK63,Crown Heights South,429309,221039
BK64,Prospect Heights,477449,288500
BK68,Fort Greene,824470,465808
BK69,Clinton Hill,434393,174821
BK72,Williamsburg,233504,81728
BK73,North Side-South Side,489744,152703
BK75,Bedford,630440,110354
BK76,Greenpoint,485415,256795
BK77,Bushwick North,433266,35767
BK78,Bushwick South,838695,110693
BK79,Ocean Hill,487281,122953
BK81,Brownsville,434362,151087
BK82,East New York,1006733,168542
BK83,Cypress Hills-City Line,674098,115987
BK85,East New York (Pennsylvania Ave),241215,158933
BK88,Borough Park,884012,259017
BK90,East Williamsburg,356637,221697
BK91,East Flatbush-Farragut,835931,232697
BK93,Starrett City,97689,27605
BK95,Erasmus,184774,76669
BK96,Rugby-Remsen Village,734151,432132
BX01,Claremont-Bathgate,232094,55736
BX03,Eastchester-Edenwald-Baychester,463228,143115
BX05,Bedford Park-Fordham North,316038,42232
BX06,Belmont,115221,15047
BX07,Bronxdale,281209,49479
BX08,West Farms-Bronx River,221042,45784
BX09,Soundview-Castle Hill-Clason Point-Harding Park,564555,80370
BX10,Pelham Bay-Country Club-City Island,429889,130946
BX13,Co-op City,179277,25059
BX14,East Concourse-Concourse Village,402357,94187
BX17,East Tremont,275461,43740
BX22,North Riverdale-Fieldston-Riverdale,634982,312651
BX26,Highbridge,163278,22321
BX27,Hunts Point,185181,33921
BX28,Van Cortlandt Village,440822,123775
BX29,Spuyten Duyvil-Kingsbridge,811377,347147
BX30,Kingsbridge Heights,188665,27789
BX31,Allerton-Pelham Gardens,820730,206434
BX33,Longwood,138700,18604
BX34,Melrose South-Mott Haven North,244573,43437
BX35,Morrisania-Melrose,208886,33035
BX36,University Heights-Morris Heights,370755,38299
BX37,Van Nest-Morris Park-Westchester Square,555023,139949
BX39,Mott Haven-Port Morris,318802,48538
BX40,Fordham South,120984,34451
BX41,Mount Hope,344338,32498
BX43,Norwood,233387,36523
BX44,Williamsbridge-Olinville,681940,165360
BX46,Parkchester,230350,58461
BX49,Pelham Parkway,507318,143015
BX52,Schuylerville-Throgs Neck-Edgewater Park,1063470,229182
BX55,Soundview-Bruckner,303466,68637
BX59,Westchester-Unionport,305444,47586
BX62,Woodlawn-Wakefield,710201,156040
BX63,West Concourse,187801,22098
BX75,Crotona Park East,173791,24513
BX99,park-cemetery-etc-Bronx,42991,13065
MN01,Marble Hill-Inwood,237002,33592
MN03,Central Harlem North-Polo Grounds,465448,383096
MN04,Hamilton Heights,232598,37654
MN06,Manhattanville,98738,19806
MN09,Morningside Heights,501027,124644
MN11,Central Harlem South,368658,104303
MN12,Upper West Side,1192476,387806
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,758248,490340
MN14,Lincoln Square,777214,318726
MN15,Clinton,356127,78614
MN17,Midtown-Midtown South,291928,400693
MN19,Turtle Bay-East Midtown,662808,153997
MN20,Murray Hill-Kips Bay,423423,267181
MN21,Gramercy,275184,112370
MN22,East Village,260589,120594
MN23,West Village,322706,62312
MN24,SoHo-TriBeCa-Civic Center-Little Italy,306906,229267
MN25,Battery Park City-Lower Manhattan,468771,136571
MN27,Chinatown,174818,44786
MN28,Lower East Side,594477,124358
MN31,Lenox Hill-Roosevelt Island,1172436,419892
MN32,Yorkville,1008659,370264
MN33,East Harlem South,409005,126995
MN34,East Harlem North,313968,83906
MN35,Washington Heights North,630859,231101
MN36,Washington Heights South,434549,42364
MN40,Upper East Side-Carnegie Hill,1071351,652505
