area_id,area_name,b07003001,b07003001_moe,b07003002,b07003002_moe,b07003003,b07003003_moe,b07003004,b07003004_moe,b07003005,b07003005_moe,b07003006,b07003006_moe,b07003007,b07003007_moe,b07003008,b07003008_moe,b07003009,b07003009_moe,b07003010,b07003010_moe,b07003011,b07003011_moe,b07003012,b07003012_moe,b07003013,b07003013_moe,b07003014,b07003014_moe,b07003015,b07003015_moe,b07003016,b07003016_moe,b07003017,b07003017_moe,b07003018,b07003018_moe
BK09,Brooklyn Heights-Cobble Hill,23112,1177,11661,791,11451,631,19228,1192,9816,770,9412,613,1352,330,698,191,654,193,1287,321,508,173,779,199,959,248,523,175,436,155,286,168,116,73,170,117
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,60854,1583,28349,1014,32505,1080,57412,1604,26782,1013,30630,1078,2486,480,1099,241,1387,297,462,184,220,120,242,108,171,108,90,69,81,70,323,173,158,113,165,95
BK19,Brighton Beach,31323,1299,14315,811,17008,786,28256,1242,12672,722,15584,792,2053,576,1157,377,896,251,335,238,170,138,165,127,116,92,67,64,49,75,563,294,249,158,314,166
BK21,Seagate-Coney Island,29691,1249,13712,847,15979,784,27297,1272,12476,835,14821,795,2036,598,1053,379,983,268,114,114,47,59,67,81,154,219,73,114,81,113,90,103,63,69,27,55
BK23,West Brighton,15342,681,6528,434,8814,482,14753,696,6301,425,8452,493,356,191,124,93,232,128,121,106,69,84,52,56,24,37,7,24,17,39,88,72,27,36,61,66
BK25,Homecrest,41341,1435,20387,871,20954,804,38462,1448,18901,872,19561,806,2014,462,965,246,1049,261,228,145,156,101,72,68,140,130,110,118,30,54,497,234,255,122,242,141
BK26,Gravesend,27541,1235,12491,713,15050,789,26088,1244,11776,723,14312,781,1073,352,492,172,581,207,112,94,50,55,62,61,99,83,62,57,37,52,169,169,111,127,58,95
BK27,Bath Beach,28930,1235,14140,784,14790,684,26546,1226,12968,782,13578,675,1604,445,762,244,842,240,195,85,104,65,91,58,145,117,84,70,61,65,440,256,222,147,218,139
BK28,Bensonhurst West,85613,2121,41400,1337,44213,1271,80366,2149,38736,1308,41630,1278,3665,673,1787,352,1878,399,238,136,118,91,120,97,390,236,227,145,163,124,954,344,532,280,422,155
BK29,Bensonhurst East,60452,1622,29728,988,30724,1001,55701,1694,27655,1017,28046,1004,3092,636,1383,297,1709,410,355,190,134,80,221,138,192,110,90,71,102,82,1112,394,466,186,646,236
BK30,Dyker Heights,44748,1488,22111,938,22637,877,41834,1483,20547,950,21287,854,1953,450,1062,286,891,222,223,144,110,82,113,88,186,106,124,79,62,71,552,271,268,150,284,173
BK31,Bay Ridge,82623,1952,39318,1247,43305,1198,74196,2044,35482,1264,38714,1208,5000,742,2251,393,2749,436,1240,271,591,180,649,164,1240,308,562,154,678,221,947,373,432,188,515,212
BK32,Sunset Park West,53916,1675,28983,1165,24933,1027,46642,1744,24836,1154,21806,1001,3366,561,1730,307,1636,344,1381,333,985,257,396,132,1068,291,610,182,458,193,1459,427,822,254,637,236
BK33,Carroll Gardens-Columbia Street-Red Hook,38997,1293,18238,968,20759,862,33607,1324,15797,913,17810,833,3050,606,1434,377,1616,343,1256,268,584,154,672,167,781,260,231,96,550,232,303,171,192,153,111,76
BK34,Sunset Park East,70221,2015,36000,1313,34221,1144,60153,2031,31011,1300,29142,1128,6299,932,3265,517,3034,510,1101,296,488,166,613,183,1061,307,527,187,534,188,1607,443,709,245,898,278
BK35,Stuyvesant Heights,63582,2049,28581,1326,35001,1326,55489,1982,24567,1235,30922,1277,5304,905,2621,522,2683,501,1334,480,644,224,690,339,1030,334,534,232,496,174,425,255,215,148,210,143
BK37,Park Slope-Gowanus,71848,1832,34301,1194,37547,1212,59076,1930,28413,1175,30663,1195,5986,743,2877,463,3109,415,3159,460,1436,276,1723,297,2586,458,1062,241,1524,306,1041,368,513,221,528,203
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34868,1264,16909,904,17959,765,29461,1192,14253,809,15208,720,2302,426,1171,245,1131,255,1753,315,778,185,975,222,1033,228,584,176,449,143,319,129,123,78,196,82
BK40,Windsor Terrace,22098,932,10484,611,11614,584,19469,969,9272,591,10197,605,1524,360,713,198,811,216,600,382,304,205,296,195,465,148,163,83,302,110,40,46,32,47,8,32
BK41,Kensington-Ocean Parkway,35636,1466,17312,920,18324,908,32388,1509,15773,915,16615,899,2400,617,1086,315,1314,365,309,157,155,91,154,107,233,120,110,75,123,84,306,146,188,106,118,85
BK42,Flatbush,103692,2556,47552,1562,56140,1657,97210,2635,44538,1574,52672,1677,4041,642,1796,353,2245,385,1018,290,645,207,373,140,507,206,165,96,342,179,916,300,408,211,508,172
BK43,Midwood,50670,1589,25126,1053,25544,949,46885,1690,23155,1088,23730,950,2546,526,1288,331,1258,269,405,209,230,125,175,145,150,101,101,89,49,54,684,270,352,167,332,144
BK44,Madison,39543,1263,19079,843,20464,774,36915,1304,17701,849,19214,765,1783,456,866,265,917,281,258,182,150,105,108,104,224,117,169,108,55,62,363,192,193,97,170,117
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,47688,1462,22927,925,24761,905,45096,1434,21661,870,23435,896,2129,622,1034,361,1095,335,108,92,41,59,67,72,255,110,151,91,104,75,100,87,40,63,60,82
BK46,Ocean Parkway South,19291,1083,9448,618,9843,641,18323,1096,9037,615,9286,645,640,242,245,98,395,159,111,67,76,59,35,40,86,87,35,51,51,59,131,99,55,66,76,66
BK50,Canarsie,85193,2046,38089,1249,47104,1313,80339,2079,35865,1244,44474,1312,3290,600,1399,286,1891,377,554,188,281,118,273,134,464,216,300,150,164,107,546,223,244,111,302,158
BK58,Flatlands,70221,1697,31855,1044,38366,1118,66313,1754,30047,1045,36266,1153,2783,601,1228,309,1555,370,361,233,120,87,241,183,377,172,222,110,155,113,387,179,238,132,149,93
