area_id,area_name,b06004h001,b06004h001_moe,b06004h002,b06004h002_moe,b06004h003,b06004h003_moe,b06004h004,b06004h004_moe,b06004h005,b06004h005_moe
BK09,Brooklyn Heights-Cobble Hill,17981,973,8813,738,6606,565,198,89,2364,392
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,42081,1461,21855,1164,1058,229,274,122,18894,1093
BK19,Brighton Beach,22066,1114,5731,735,376,138,216,121,15743,851
BK21,Seagate-Coney Island,9493,905,3848,650,250,101,96,59,5299,570
BK23,West Brighton,14963,745,5679,609,258,89,80,55,8946,740
BK25,Homecrest,33486,1410,18943,1216,1364,262,434,135,12745,813
BK26,Gravesend,14610,863,7120,641,571,194,96,65,6823,673
BK27,Bath Beach,15697,1008,9777,826,499,149,253,111,5168,582
BK28,Bensonhurst West,40618,1589,21219,1313,1468,278,560,187,17371,1017
BK29,Bensonhurst East,28799,1285,13761,909,717,189,166,80,14155,951
BK30,Dyker Heights,23678,1063,15672,860,1332,262,437,139,6237,648
BK31,Bay Ridge,55886,1875,34301,1409,5362,543,833,244,15390,1133
BK32,Sunset Park West,9709,799,4890,607,2523,324,174,104,2122,415
BK33,Carroll Gardens-Columbia Street-Red Hook,23142,1044,11665,859,8592,593,349,135,2536,368
BK34,Sunset Park East,10086,958,5766,796,1207,264,95,78,3018,417
BK35,Stuyvesant Heights,2990,571,1407,409,1148,347,46,62,389,163
BK37,Park Slope-Gowanus,48292,1647,23708,1325,19102,979,678,207,4804,527
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15280,826,6451,541,6761,555,198,96,1870,275
BK40,Windsor Terrace,14897,880,8212,746,4120,438,224,114,2341,405
BK41,Kensington-Ocean Parkway,18548,1308,8650,1033,2303,395,495,271,7100,796
BK42,Flatbush,22750,1464,11418,1169,3604,473,309,131,7419,737
BK43,Midwood,39924,1561,23439,1363,1909,323,777,276,13799,876
BK44,Madison,28071,1253,14478,1022,872,191,364,163,12357,871
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,35341,1359,26973,1310,983,216,201,95,7184,716
BK46,Ocean Parkway South,16735,1070,10968,983,1217,331,221,156,4329,438
BK50,Canarsie,4753,583,3480,460,229,138,55,78,989,265
BK58,Flatlands,12363,880,9810,816,551,156,121,116,1881,359
BK60,Prospect Lefferts Gardens-Wingate,7121,1039,3646,771,2110,433,181,127,1184,282
BK61,Crown Heights North,10818,1010,4027,635,4574,536,241,137,1976,434
BK63,Crown Heights South,10740,1157,6403,841,1861,346,505,275,1971,427
BK64,Prospect Heights,10219,830,3632,492,5369,525,155,75,1063,249
BK68,Fort Greene,7182,624,2699,462,3344,381,96,54,1043,236
BK69,Clinton Hill,12971,1011,5388,666,6133,649,111,70,1339,267
BK72,Williamsburg,28047,1566,24348,1541,518,206,481,177,2700,350
BK73,North Side-South Side,24367,1275,10811,1061,9377,762,398,129,3781,456
BK75,Bedford,18280,1119,14283,990,2639,387,248,126,1110,235
BK76,Greenpoint,24067,1084,9224,786,6196,558,292,111,8355,733
BK77,Bushwick North,5964,655,1816,329,2950,402,205,99,993,311
BK78,Bushwick South,6580,754,2072,406,3546,493,171,91,791,222
BK79,Ocean Hill,588,291,369,201,95,82,48,83,76,79
BK81,Brownsville,384,177,262,150,27,54,4,49,91,89
BK82,East New York,1536,354,925,253,178,105,78,100,355,149
BK83,Cypress Hills-City Line,2697,557,1864,440,148,84,71,85,614,220
BK85,East New York (Pennsylvania Ave),438,288,156,124,2,34,0,36,280,213
BK88,Borough Park,81194,2840,61782,2743,1777,290,1247,266,16388,982
BK90,East Williamsburg,14984,811,6463,666,5900,550,163,82,2458,423
BK91,East Flatbush-Farragut,1077,345,919,318,44,60,0,54,114,79
BK93,Starrett City,3753,552,1306,428,3,18,17,34,2427,495
BK95,Erasmus,303,140,126,77,99,74,3,34,75,83
BK96,Rugby-Remsen Village,675,293,386,200,120,100,0,54,169,128
BK99,park-cemetery-etc-Brooklyn,240,225,181,220,42,55,0,40,17,46
BX01,Claremont-Bathgate,270,130,181,103,63,55,0,40,26,46
BX03,Eastchester-Edenwald-Baychester,957,362,582,212,70,95,16,41,289,256
BX05,Bedford Park-Fordham North,3981,797,2284,458,348,123,34,53,1315,489
BX06,Belmont,4876,721,2299,423,1599,381,27,43,951,272
BX07,Bronxdale,5023,639,2080,346,255,110,111,95,2577,581
BX08,West Farms-Bronx River,696,270,470,220,50,54,1,36,175,155
BX09,Soundview-Castle Hill-Clason Point-Harding Park,688,194,529,163,109,63,20,49,30,53
BX10,Pelham Bay-Country Club-City Island,16180,1115,12489,1043,1037,307,140,98,2514,536
BX13,Co-op City,3857,530,2733,516,293,173,61,61,770,241
BX14,East Concourse-Concourse Village,1140,438,606,256,109,81,0,51,425,351
BX17,East Tremont,916,443,582,238,98,77,0,45,236,242
BX22,North Riverdale-Fieldston-Riverdale,17965,1031,11947,857,3078,406,289,118,2651,373
BX26,Highbridge,237,112,180,89,38,46,0,42,19,47
BX27,Hunts Point,311,115,214,92,82,52,8,39,7,36
BX28,Van Cortlandt Village,5564,634,3163,473,429,178,38,52,1934,430
BX29,Spuyten Duyvil-Kingsbridge,14519,788,8342,580,2670,369,288,121,3219,506
BX30,Kingsbridge Heights,850,268,603,218,104,64,0,38,143,90
BX31,Allerton-Pelham Gardens,9267,896,5935,655,722,268,359,233,2251,383
BX33,Longwood,401,231,290,224,68,41,0,36,43,45
BX34,Melrose South-Mott Haven North,890,410,623,309,45,52,0,42,222,179
BX35,Morrisania-Melrose,401,134,195,83,117,70,7,40,82,86
BX36,University Heights-Morris Heights,878,328,601,271,164,142,8,50,105,98
BX37,Van Nest-Morris Park-Westchester Square,7659,785,5220,596,422,126,284,160,1733,368
BX39,Mott Haven-Port Morris,900,289,397,170,186,87,39,76,278,186
BX40,Fordham South,403,156,137,89,109,78,14,34,143,98
BX41,Mount Hope,683,228,422,188,90,73,12,53,159,119
BX43,Norwood,5079,786,2481,493,495,164,77,81,2026,537
BX44,Williamsbridge-Olinville,1455,363,982,259,144,81,24,61,305,224
BX46,Parkchester,1118,293,683,220,174,102,0,36,261,146
BX49,Pelham Parkway,11275,948,6578,701,974,261,306,154,3417,629
BX52,Schuylerville-Throgs Neck-Edgewater Park,21610,1336,17187,1210,1544,351,90,68,2789,567
BX55,Soundview-Bruckner,597,187,422,160,32,46,15,40,128,81
BX59,Westchester-Unionport,1542,334,950,252,158,81,30,40,404,158
BX62,Woodlawn-Wakefield,7496,609,5197,543,463,145,39,58,1797,296
BX63,West Concourse,886,459,481,246,108,78,0,42,297,252
BX75,Crotona Park East,247,143,81,63,40,50,0,29,126,123
BX98,Rikers Island,651,138,420,115,80,52,0,17,151,60
BX99,park-cemetery-etc-Bronx,110,57,60,47,12,35,0,32,38,43
MN01,Marble Hill-Inwood,6909,653,2599,386,3171,417,40,49,1099,346
MN03,Central Harlem North-Polo Grounds,5941,689,1931,360,2891,486,61,76,1058,301
MN04,Hamilton Heights,6517,831,1860,458,3402,560,159,113,1096,316
MN06,Manhattanville,2097,526,604,229,1047,408,0,34,446,174
MN09,Morningside Heights,26036,1558,8523,765,12679,1054,426,184,4408,670
MN11,Central Harlem South,8324,756,2697,411,3922,519,220,104,1485,314
MN12,Upper West Side,92083,2599,41808,1844,34222,1666,1535,362,14518,1245
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,44507,1564,17921,1090,19645,1193,407,160,6534,729
MN14,Lincoln Square,43803,1870,20807,1567,15969,1197,485,177,6542,784
MN15,Clinton,24858,1217,9037,882,11663,936,229,110,3929,564
MN17,Midtown-Midtown South,19251,1049,7294,742,7877,730,345,158,3735,545
MN19,Turtle Bay-East Midtown,36720,1663,17584,1118,12561,1079,412,146,6163,885
MN20,Murray Hill-Kips Bay,34525,1691,15394,1219,14230,1263,409,183,4492,595
MN21,Gramercy,20151,1182,9211,799,8430,849,343,210,2167,367
MN22,East Village,28595,1469,8701,791,14477,1153,338,144,5079,670
MN23,West Village,54147,1870,22668,1233,23315,1275,753,232,7411,822
MN24,SoHo-TriBeCa-Civic Center-Little Italy,26345,1290,10596,932,11757,945,238,105,3754,463
MN25,Battery Park City-Lower Manhattan,24524,1379,9280,874,10192,875,279,123,4773,707
MN27,Chinatown,7385,686,2477,405,3370,459,167,105,1371,290
MN28,Lower East Side,17709,1237,8044,1011,6394,615,152,90,3119,500
MN31,Lenox Hill-Roosevelt Island,61401,2325,29079,1639,20451,1375,764,248,11107,1247
MN32,Yorkville,59737,2076,32137,1731,18167,1236,648,210,8785,978
MN33,East Harlem South,11085,1041,4515,656,3927,551,113,78,2530,504
MN34,East Harlem North,5087,789,2239,527,1730,339,31,55,1087,377
MN35,Washington Heights North,18415,1110,6942,721,6865,682,393,169,4215,518
