area_id,area_name,b23024001,b23024001_moe,b23024002,b23024002_moe,b23024003,b23024003_moe,b23024004,b23024004_moe,b23024005,b23024005_moe,b23024006,b23024006_moe,b23024007,b23024007_moe,b23024008,b23024008_moe,b23024009,b23024009_moe,b23024010,b23024010_moe,b23024011,b23024011_moe,b23024012,b23024012_moe,b23024013,b23024013_moe,b23024014,b23024014_moe,b23024015,b23024015_moe,b23024016,b23024016_moe,b23024017,b23024017_moe,b23024018,b23024018_moe,b23024019,b23024019_moe,b23024020,b23024020_moe,b23024021,b23024021_moe,b23024022,b23024022_moe,b23024023,b23024023_moe,b23024024,b23024024_moe,b23024025,b23024025_moe,b23024026,b23024026_moe,b23024027,b23024027_moe,b23024028,b23024028_moe,b23024029,b23024029_moe,b23024030,b23024030_moe,b23024031,b23024031_moe
MN17,Midtown-Midtown South,21292,962,2416,431,327,123,29,55,0,51,29,55,19,54,10,52,298,120,2089,409,1013,253,0,51,1013,253,665,221,348,137,1076,275,18876,925,555,190,455,182,0,51,455,182,368,164,87,94,100,70,18321,925,15901,866,0,51,15901,866,15151,832,750,220,2420,385
MN19,Turtle Bay-East Midtown,35208,1417,1808,434,253,146,102,110,0,48,102,110,29,56,73,106,151,105,1555,391,790,216,0,48,790,216,494,177,296,155,765,309,33400,1381,875,223,540,174,0,48,540,174,510,167,30,67,335,146,32525,1381,29226,1271,21,56,29205,1270,28210,1266,995,281,3299,509
MN20,Murray Hill-Kips Bay,37172,1672,4272,777,538,298,173,238,0,42,173,238,173,238,0,42,365,197,3734,699,1453,458,0,42,1453,458,971,377,482,251,2281,502,32900,1612,1025,351,711,269,0,42,711,269,676,263,35,65,314,215,31875,1556,29215,1525,0,42,29215,1525,28179,1538,1036,253,2660,420
MN21,Gramercy,20112,984,2085,410,202,120,32,43,0,34,32,43,17,39,15,39,170,115,1883,393,1009,311,0,34,1009,311,481,207,528,239,874,271,18027,1000,481,175,262,116,0,34,262,116,228,111,34,47,219,128,17546,995,16398,981,10,35,16388,983,15311,979,1077,271,1148,227
MN22,East Village,32401,1174,4790,666,439,155,66,61,0,40,66,61,40,50,26,48,373,144,4351,646,2311,448,0,40,2311,448,1876,420,435,152,2040,470,27611,1186,921,222,611,193,0,40,611,193,508,185,103,63,310,119,26690,1182,24775,1175,0,40,24775,1175,23837,1182,938,267,1915,358
MN23,West Village,47683,1320,3626,457,273,104,54,69,0,56,54,69,54,69,0,56,219,95,3353,448,1617,313,0,56,1617,313,1186,260,431,156,1736,321,44057,1315,1601,367,1090,312,0,56,1090,312,1064,311,26,65,511,177,42456,1309,38610,1270,38,81,38572,1274,36784,1276,1788,372,3846,488
MN24,SoHo-TriBeCa-Civic Center-Little Italy,28149,1182,2724,531,280,139,112,82,0,42,112,82,69,73,43,51,168,124,2444,513,1374,352,0,42,1374,352,1016,285,358,175,1070,297,25425,1182,835,220,518,164,0,42,518,164,475,157,43,51,317,131,24590,1186,21664,1042,0,42,21664,1042,20664,996,1000,268,2926,457
MN25,Battery Park City-Lower Manhattan,28614,1136,2261,409,155,101,3,35,0,42,3,35,3,35,0,42,152,102,2106,400,1170,277,0,42,1170,277,788,222,382,147,936,288,26353,1129,474,190,346,160,0,42,346,160,334,158,12,43,128,104,25879,1139,23313,1098,0,42,23313,1098,22559,1088,754,244,2566,459
MN27,Chinatown,30512,1422,7464,852,915,241,105,81,0,44,105,81,46,51,59,71,810,219,6549,798,3516,494,0,44,3516,494,2815,420,701,211,3033,562,23048,1429,1075,257,330,124,0,44,330,124,260,107,70,65,745,225,21973,1382,18920,1245,0,44,18920,1245,17864,1202,1056,272,3053,430
MN28,Lower East Side,47456,1499,11360,1066,2596,439,399,188,0,56,399,188,230,167,169,98,2197,374,8764,915,3916,566,0,56,3916,566,2747,461,1169,287,4848,672,36096,1583,3092,425,910,228,0,56,910,228,758,196,152,111,2182,358,33004,1530,27296,1337,89,113,27207,1338,25125,1281,2082,427,5708,715
MN31,Lenox Hill-Roosevelt Island,55888,1953,4578,746,568,243,98,78,0,53,98,78,59,72,39,57,470,233,4010,696,1518,370,0,53,1518,370,977,300,541,222,2492,554,51310,1918,1846,400,1021,282,0,53,1021,282,959,278,62,70,825,273,49464,1884,44301,1712,28,55,44273,1712,42696,1702,1577,348,5163,667
MN32,Yorkville,55981,1692,3422,672,414,132,76,69,0,50,76,69,32,53,44,65,338,117,3008,647,1625,526,0,50,1625,526,1036,321,589,338,1383,352,52559,1693,1674,339,954,264,0,50,954,264,909,261,45,78,720,226,50885,1695,45453,1619,0,50,45453,1619,42990,1654,2463,496,5432,604
MN33,East Harlem South,37475,1416,7681,937,1438,317,208,99,0,50,208,99,67,64,141,88,1230,305,6243,866,3136,483,0,50,3136,483,2109,404,1027,289,3107,621,29794,1395,2447,404,889,211,0,50,889,211,822,200,67,82,1558,338,27347,1381,23128,1267,0,50,23128,1267,21405,1229,1723,349,4219,563
