area_id,area_name,b17020h001,b17020h001_moe,b17020h002,b17020h002_moe,b17020h003,b17020h003_moe,b17020h004,b17020h004_moe,b17020h005,b17020h005_moe,b17020h006,b17020h006_moe,b17020h007,b17020h007_moe,b17020h008,b17020h008_moe,b17020h009,b17020h009_moe,b17020h010,b17020h010_moe,b17020h011,b17020h011_moe,b17020h012,b17020h012_moe,b17020h013,b17020h013_moe,b17020h014,b17020h014_moe,b17020h015,b17020h015_moe,b17020h016,b17020h016_moe,b17020h017,b17020h017_moe
BK09,Brooklyn Heights-Cobble Hill,17421,960,1456,373,51,46,0,29,0,29,41,68,1233,325,85,57,46,48,15965,928,1152,256,33,37,576,163,436,147,11658,702,1209,245,901,217
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,41922,1463,5113,730,180,127,19,59,212,122,281,189,2589,468,683,157,1149,242,36809,1475,1411,305,414,153,1779,313,2118,321,23932,1134,3138,346,4017,400
BK19,Brighton Beach,22026,1110,5649,680,63,64,39,64,121,80,269,143,2294,458,775,177,2088,304,16377,1132,867,303,61,63,788,248,595,183,10861,795,1496,261,1709,288
BK21,Seagate-Coney Island,9108,902,2559,451,15,42,33,59,78,68,63,58,916,295,528,154,926,206,6549,818,206,106,112,82,432,160,399,197,3952,551,863,214,585,164
BK23,West Brighton,14963,745,1794,319,22,42,0,27,13,31,15,31,563,159,543,141,638,196,13169,831,341,160,62,67,336,143,407,144,7417,781,2429,439,2177,329
BK25,Homecrest,33349,1402,4018,687,250,132,102,73,374,171,366,168,1898,358,373,104,655,155,29331,1377,1958,322,383,129,2454,378,2111,304,17352,910,2831,380,2242,313
BK26,Gravesend,14610,863,1935,411,92,105,0,36,56,53,122,85,933,248,191,81,541,147,12675,873,383,154,64,55,441,146,438,140,6982,694,2560,433,1807,331
BK27,Bath Beach,15532,1006,1788,411,68,71,24,54,134,107,81,59,827,227,200,75,454,119,13744,984,622,174,77,58,540,156,481,134,8430,795,1971,294,1623,263
BK28,Bensonhurst West,40496,1595,5963,851,424,134,53,70,410,169,719,234,2745,455,667,164,945,260,34533,1510,1365,282,274,119,1599,295,1808,298,21482,1120,4028,409,3977,415
BK29,Bensonhurst East,28799,1285,4099,646,363,163,29,60,233,120,133,92,2060,410,506,112,775,167,24700,1231,1006,248,167,100,739,178,1063,225,15555,975,3218,392,2952,356
