area_id,area_name,b25014a001,b25014a001_moe,b25014a002,b25014a002_moe,b25014a003,b25014a003_moe
BK09,Brooklyn Heights-Cobble Hill,9525,404,9260,403,265,96
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20171,468,19464,484,707,197
BK19,Brighton Beach,11970,386,10846,396,1124,224
BK21,Seagate-Coney Island,5471,368,5301,360,170,93
BK23,West Brighton,7830,238,7662,256,168,92
BK25,Homecrest,13544,369,12727,393,817,168
BK26,Gravesend,7724,339,7316,354,408,141
BK27,Bath Beach,7470,350,7190,352,280,105
BK28,Bensonhurst West,19542,516,18393,525,1149,212
BK29,Bensonhurst East,14230,441,13266,454,964,209
BK30,Dyker Heights,10266,349,9729,361,537,150
BK31,Bay Ridge,28149,541,26415,567,1734,284
BK32,Sunset Park West,8318,433,7192,411,1126,226
BK33,Carroll Gardens-Columbia Street-Red Hook,12642,454,12352,457,290,121
BK34,Sunset Park East,7824,420,6806,416,1018,210
BK35,Stuyvesant Heights,2950,353,2662,335,288,128
BK37,Park Slope-Gowanus,23765,607,23268,608,497,135
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8442,368,8145,373,297,103
BK40,Windsor Terrace,7323,309,7095,312,228,100
BK41,Kensington-Ocean Parkway,7403,365,6509,368,894,179
BK42,Flatbush,10990,501,9659,482,1331,256
BK43,Midwood,15189,390,14102,409,1087,207
BK44,Madison,12053,325,11397,338,656,177
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,13487,349,13122,353,365,126
BK46,Ocean Parkway South,5951,232,5577,243,374,115
BK50,Canarsie,2753,274,2615,266,138,93
BK58,Flatlands,5231,318,4986,314,245,106
BK60,Prospect Lefferts Gardens-Wingate,2780,327,2485,311,295,135
BK61,Crown Heights North,5320,405,5091,402,229,113
BK63,Crown Heights South,2933,268,2328,263,605,168
BK64,Prospect Heights,5311,349,5236,350,75,49
BK68,Fort Greene,4435,310,4214,311,221,113
BK69,Clinton Hill,5879,392,5518,384,361,130
BK72,Williamsburg,7285,262,4560,301,2725,280
BK73,North Side-South Side,15138,477,12621,521,2517,344
BK75,Bedford,6058,372,4469,373,1589,182
BK76,Greenpoint,13253,424,12722,421,531,162
BK77,Bushwick North,7381,465,6056,429,1325,251
BK78,Bushwick South,9612,548,8152,517,1460,273
BK79,Ocean Hill,495,147,462,144,33,48
BK81,Brownsville,1176,229,1158,228,18,53
BK82,East New York,5185,429,4110,383,1075,256
BK83,Cypress Hills-City Line,6661,402,5027,390,1634,267
BK85,East New York (Pennsylvania Ave),1111,209,929,193,182,99
BK88,Borough Park,23090,502,18355,537,4735,394
BK90,East Williamsburg,10104,377,9398,387,706,182
BK91,East Flatbush-Farragut,549,145,472,129,77,83
BK93,Starrett City,2736,309,2579,288,157,143
BK95,Erasmus,288,108,194,75,94,81
BK96,Rugby-Remsen Village,420,139,329,127,91,85
BK99,park-cemetery-etc-Brooklyn,105,73,105,73,0,40
BX01,Claremont-Bathgate,891,194,794,185,97,59
BX03,Eastchester-Edenwald-Baychester,1051,225,995,213,56,67
BX05,Bedford Park-Fordham North,3720,371,3317,350,403,146
BX06,Belmont,2252,268,2048,257,204,94
BX07,Bronxdale,3606,307,3263,314,343,132
BX08,West Farms-Bronx River,2022,257,1906,252,116,65
BX09,Soundview-Castle Hill-Clason Point-Harding Park,3044,336,2861,327,183,85
BX10,Pelham Bay-Country Club-City Island,8576,406,8528,409,48,44
BX13,Co-op City,3607,395,3587,398,20,41
BX14,East Concourse-Concourse Village,2719,325,2407,317,312,150
BX17,East Tremont,2450,307,2233,292,217,101
BX22,North Riverdale-Fieldston-Riverdale,8515,380,8385,376,130,86
BX26,Highbridge,1801,266,1453,243,348,122
BX27,Hunts Point,2481,253,2123,243,358,116
BX28,Van Cortlandt Village,4874,386,4500,368,374,134
BX29,Spuyten Duyvil-Kingsbridge,8268,375,8007,379,261,116
BX30,Kingsbridge Heights,1437,222,1359,218,78,52
BX31,Allerton-Pelham Gardens,3847,256,3785,258,62,49
BX33,Longwood,1383,212,1173,196,210,89
BX34,Melrose South-Mott Haven North,2785,362,2532,347,253,114
BX35,Morrisania-Melrose,1353,211,1275,204,78,60
BX36,University Heights-Morris Heights,2064,292,1807,268,257,108
BX37,Van Nest-Morris Park-Westchester Square,4217,289,3977,281,240,100
BX39,Mott Haven-Port Morris,5988,419,5243,407,745,180
BX40,Fordham South,1073,219,949,218,124,85
BX41,Mount Hope,2453,270,2063,256,390,113
BX43,Norwood,3809,380,3438,362,371,125
BX44,Williamsbridge-Olinville,1780,239,1610,226,170,96
BX46,Parkchester,1635,244,1527,245,108,69
BX49,Pelham Parkway,5523,341,5125,332,398,133
BX52,Schuylerville-Throgs Neck-Edgewater Park,10607,440,10457,443,150,85
BX55,Soundview-Bruckner,2103,254,1886,237,217,92
BX59,Westchester-Unionport,1820,235,1756,230,64,53
