area_id,area_name,b10051d001,b10051d001_moe,b10051d002,b10051d002_moe,b10051d003,b10051d003_moe,b10051d004,b10051d004_moe,b10051d005,b10051d005_moe,b10051d006,b10051d006_moe,b10051d007,b10051d007_moe
BK09,Brooklyn Heights-Cobble Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,651,239,109,107,41,81,68,89,542,205,48,69,494,194
BK19,Brighton Beach,103,70,48,59,0,38,48,59,55,48,0,38,55,48
BK21,Seagate-Coney Island,135,94,15,43,15,43,0,38,120,97,0,38,120,97
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,54,64,5,48,0,48,5,48,49,61,6,49,43,61
BK26,Gravesend,485,176,150,76,90,70,60,68,335,160,91,74,244,140
BK27,Bath Beach,476,185,65,58,52,58,13,40,411,174,130,99,281,125
BK28,Bensonhurst West,1388,289,302,127,53,71,249,122,1086,257,251,147,835,223
BK29,Bensonhurst East,1622,344,710,245,89,79,621,238,912,237,201,135,711,192
BK30,Dyker Heights,1010,297,560,237,251,158,309,160,450,170,92,84,358,145
BK31,Bay Ridge,351,136,125,90,25,75,100,83,226,120,41,76,185,113
BK32,Sunset Park West,507,184,216,121,76,89,140,95,291,127,86,76,205,102
BK33,Carroll Gardens-Columbia Street-Red Hook,32,56,0,45,0,45,0,45,32,56,22,55,10,46
BK34,Sunset Park East,1797,354,806,237,276,123,530,182,991,239,409,160,582,170
BK35,Stuyvesant Heights,93,88,41,76,5,50,36,76,52,65,33,57,19,53
BK37,Park Slope-Gowanus,36,69,0,58,0,58,0,58,36,69,24,67,12,59
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,54,82,8,42,0,42,8,42,46,82,1,41,45,82
BK40,Windsor Terrace,49,51,36,49,25,47,11,35,13,36,13,36,0,32
BK41,Kensington-Ocean Parkway,307,143,110,93,65,83,45,58,197,110,84,71,113,69
BK42,Flatbush,340,178,29,70,14,69,15,68,311,175,127,110,184,117
BK43,Midwood,155,96,27,57,5,51,22,55,128,94,5,51,123,93
BK44,Madison,530,180,57,69,0,46,57,69,473,167,32,59,441,159
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,114,130,72,124,72,124,0,55,42,67,5,54,37,67
BK46,Ocean Parkway South,21,49,0,36,0,36,0,36,21,49,0,36,21,49
BK50,Canarsie,90,98,17,71,9,71,8,70,73,95,4,72,69,93
BK58,Flatlands,72,73,44,67,16,63,28,66,28,65,0,62,28,65
BK60,Prospect Lefferts Gardens-Wingate,16,63,16,63,0,58,16,63,0,58,0,58,0,58
BK61,Crown Heights North,27,77,0,67,0,67,0,67,27,77,0,67,27,77
BK63,Crown Heights South,22,44,0,40,0,40,0,40,22,44,22,44,0,40
BK64,Prospect Heights,22,50,0,32,0,32,0,32,22,50,0,32,22,50
BK68,Fort Greene,18,40,7,38,0,38,7,38,11,40,0,38,11,40
BK69,Clinton Hill,24,46,0,40,0,40,0,40,24,46,0,40,24,46
BK72,Williamsburg,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK75,Bedford,38,71,0,56,0,56,0,56,38,71,18,59,20,60
BK76,Greenpoint,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BK77,Bushwick North,164,131,51,66,20,53,31,61,113,126,87,98,26,64
BK78,Bushwick South,17,58,0,56,0,56,0,56,17,58,7,56,10,57
BK79,Ocean Hill,13,41,0,38,0,38,0,38,13,41,13,41,0,38
BK81,Brownsville,71,96,0,51,0,51,0,51,71,96,59,95,12,51
BK82,East New York,48,83,0,65,0,65,0,65,48,83,23,67,25,68
BK83,Cypress Hills-City Line,206,109,43,58,17,51,26,52,163,100,42,63,121,92
BK85,East New York (Pennsylvania Ave),26,44,17,43,0,36,17,43,9,37,0,36,9,37
BK88,Borough Park,715,250,320,173,136,137,184,127,395,168,106,112,289,138
BK90,East Williamsburg,53,55,14,43,0,40,14,43,39,60,0,40,39,60
BK91,East Flatbush-Farragut,23,75,0,54,0,54,0,54,23,75,23,75,0,54
BK93,Starrett City,0,24,0,24,0,24,0,24,0,24,0,24,0,24
BK95,Erasmus,80,84,12,39,12,39,0,36,68,83,19,44,49,63
BK96,Rugby-Remsen Village,7,54,7,54,7,54,0,54,0,54,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,20,50,0,40,0,40,0,40,20,50,0,40,20,50
BX05,Bedford Park-Fordham North,15,52,15,52,0,50,15,52,0,50,0,50,0,50
BX06,Belmont,54,86,0,34,0,34,0,34,54,86,0,34,54,86
BX07,Bronxdale,36,49,0,38,0,38,0,38,36,49,17,42,19,46
BX08,West Farms-Bronx River,35,61,0,40,0,40,0,40,35,61,11,43,24,46
BX09,Soundview-Castle Hill-Clason Point-Harding Park,21,57,21,57,0,50,21,57,0,50,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,79,83,40,70,0,34,40,70,39,56,39,56,0,34
BX13,Co-op City,0,33,0,33,0,33,0,33,0,33,0,33,0,33
BX14,East Concourse-Concourse Village,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BX17,East Tremont,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BX22,North Riverdale-Fieldston-Riverdale,35,64,0,38,0,38,0,38,35,64,0,38,35,64
BX26,Highbridge,25,57,0,42,0,42,0,42,25,57,12,43,13,44
BX27,Hunts Point,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BX28,Van Cortlandt Village,36,58,0,43,0,43,0,43,36,58,21,54,15,49
BX29,Spuyten Duyvil-Kingsbridge,43,53,0,38,0,38,0,38,43,53,0,38,43,53
BX30,Kingsbridge Heights,78,78,0,38,0,38,0,38,78,78,19,43,59,76
BX31,Allerton-Pelham Gardens,200,122,25,49,0,42,25,49,175,119,36,59,139,99
BX33,Longwood,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BX34,Melrose South-Mott Haven North,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BX35,Morrisania-Melrose,19,43,19,43,0,40,19,43,0,40,0,40,0,40
BX36,University Heights-Morris Heights,61,87,18,53,0,51,18,53,43,86,21,60,22,61
BX37,Van Nest-Morris Park-Westchester Square,54,54,0,42,0,42,0,42,54,54,13,46,41,50
BX39,Mott Haven-Port Morris,27,54,14,52,14,52,0,50,13,51,13,51,0,50
BX40,Fordham South,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BX41,Mount Hope,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BX43,Norwood,132,108,20,47,20,47,0,41,112,106,25,47,87,104
BX44,Williamsbridge-Olinville,30,62,8,54,0,54,8,54,22,62,0,54,22,62
BX46,Parkchester,119,134,0,36,0,36,0,36,119,134,0,36,119,134
BX49,Pelham Parkway,382,178,124,119,62,103,62,75,258,138,107,93,151,106
BX52,Schuylerville-Throgs Neck-Edgewater Park,12,52,8,53,4,51,4,52,4,52,0,52,4,52
BX55,Soundview-Bruckner,116,100,0,40,0,40,0,40,116,100,56,81,60,66
