area_id,area_name,b25032c001,b25032c001_moe,b25032c002,b25032c002_moe,b25032c003,b25032c003_moe,b25032c004,b25032c004_moe,b25032c005,b25032c005_moe,b25032c006,b25032c006_moe,b25032c007,b25032c007_moe,b25032c008,b25032c008_moe,b25032c009,b25032c009_moe,b25032c010,b25032c010_moe,b25032c011,b25032c011_moe
BK09,Brooklyn Heights-Cobble Hill,41,46,0,29,0,29,0,29,0,29,0,29,16,37,0,29,25,38,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,16,60,0,55,0,55,0,55,0,55,0,55,0,55,16,60,0,55,0,55,0,55
BK19,Brighton Beach,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,71,64,0,38,16,42,0,38,0,38,13,42,0,38,0,38,42,58,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,44,55,18,50,0,48,0,48,0,48,0,48,0,48,10,49,16,52,0,48,0,48
BK26,Gravesend,32,47,0,36,20,46,0,36,0,36,0,36,0,36,0,36,12,38,0,36,0,36
BK27,Bath Beach,26,52,0,40,0,40,21,53,0,40,0,40,5,39,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,171,116,72,98,0,64,24,73,0,64,0,64,54,80,10,63,11,65,0,64,0,64
BK29,Bensonhurst East,36,57,14,54,0,51,0,51,0,51,0,51,0,51,10,53,12,53,0,51,0,51
BK30,Dyker Heights,38,65,0,51,0,51,21,59,0,51,0,51,0,51,17,57,0,51,0,51,0,51
BK31,Bay Ridge,132,100,48,80,21,73,0,66,0,66,51,83,0,66,0,66,12,67,0,66,0,66
BK32,Sunset Park West,304,140,0,49,10,51,56,70,96,83,35,59,24,54,18,56,65,95,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,256,122,40,72,43,78,19,63,63,77,73,78,18,65,0,59,0,59,0,59,0,59
BK35,Stuyvesant Heights,54,65,8,51,0,51,0,51,0,51,10,52,0,51,17,56,19,58,0,51,0,51
BK37,Park Slope-Gowanus,119,116,0,58,13,60,0,58,95,112,0,58,11,59,0,58,0,58,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21,45,7,43,0,42,0,42,0,42,0,42,0,42,0,42,5,41,9,43,0,42
BK40,Windsor Terrace,71,54,37,49,9,32,0,32,0,32,0,32,0,32,0,32,25,38,0,32,0,32
BK41,Kensington-Ocean Parkway,8,39,0,40,0,40,0,40,0,40,0,40,0,40,8,39,0,40,0,40,0,40
BK42,Flatbush,126,112,82,107,0,68,0,68,19,74,0,68,0,68,25,70,0,68,0,68,0,68
BK43,Midwood,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK44,Madison,19,55,19,55,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,54,0,55,0,55,3,54,0,55,0,55,0,55,0,55,0,55,0,55,0,55
BK46,Ocean Parkway South,25,38,0,36,0,36,0,36,0,36,9,37,0,36,0,36,12,38,4,35,0,36
BK50,Canarsie,20,72,7,70,0,70,13,72,0,70,0,70,0,70,0,70,0,70,0,70,0,70
BK58,Flatlands,43,71,24,69,0,62,0,62,0,62,8,63,0,62,11,64,0,62,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,97,90,20,62,0,58,17,62,0,58,0,58,33,77,5,57,22,66,0,58,0,58
BK61,Crown Heights North,77,83,0,67,0,67,0,67,8,67,9,67,0,67,16,71,44,78,0,67,0,67
BK63,Crown Heights South,28,49,20,49,0,40,0,40,0,40,8,40,0,40,0,40,0,40,0,40,0,40
BK64,Prospect Heights,12,34,0,32,0,32,0,32,0,32,0,32,0,32,0,32,12,34,0,32,0,32
BK68,Fort Greene,32,50,0,38,0,38,0,38,0,38,9,39,0,38,0,38,23,50,0,38,0,38
BK69,Clinton Hill,9,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,9,40,0,40,0,40
BK72,Williamsburg,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,42,59,16,52,13,51,0,48,0,48,0,48,0,48,13,50,0,48,0,48,0,48
BK75,Bedford,69,73,0,56,0,56,0,56,0,56,19,59,13,59,13,59,24,66,0,56,0,56
BK76,Greenpoint,104,83,0,42,0,42,0,42,17,48,32,48,38,74,17,44,0,42,0,42,0,42
BK77,Bushwick North,50,57,0,54,0,54,0,54,11,54,23,53,0,54,0,54,16,58,0,54,0,54
BK78,Bushwick South,188,95,18,61,5,56,57,77,39,68,14,59,8,57,10,58,12,58,25,60,0,56
BK79,Ocean Hill,52,61,0,38,0,38,0,38,0,38,0,38,0,38,10,39,0,38,42,60,0,38
BK81,Brownsville,79,74,0,51,0,51,0,51,0,51,65,74,10,52,0,51,4,50,0,51,0,51
BK82,East New York,96,80,16,66,12,67,4,64,0,65,11,66,0,65,0,65,38,75,15,67,0,65
BK83,Cypress Hills-City Line,67,73,5,49,10,50,16,57,32,67,0,49,0,49,4,48,0,49,0,49,0,49
BK85,East New York (Pennsylvania Ave),27,52,0,36,0,36,0,36,0,36,0,36,0,36,0,36,27,52,0,36,0,36
BK88,Borough Park,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68
BK90,East Williamsburg,80,85,0,40,0,40,4,40,0,40,29,60,0,40,38,72,9,40,0,40,0,40
BK91,East Flatbush-Farragut,29,59,18,58,0,54,11,56,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK93,Starrett City,43,53,0,24,0,24,0,24,0,24,0,24,21,38,0,24,22,40,0,24,0,24
BK95,Erasmus,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK96,Rugby-Remsen Village,36,58,0,54,24,56,0,54,0,54,12,56,0,54,0,54,0,54,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,72,61,26,46,0,40,0,40,0,40,0,40,10,39,0,40,36,52,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,69,69,7,41,0,40,0,40,26,54,0,40,25,56,11,42,0,40,0,40,0,40
BX05,Bedford Park-Fordham North,76,59,0,50,0,50,0,50,0,50,0,50,26,53,0,50,50,53,0,50,0,50
BX06,Belmont,50,60,0,34,0,34,0,34,0,34,0,34,0,34,50,60,0,34,0,34,0,34
BX07,Bronxdale,83,120,9,39,0,38,0,38,71,120,0,38,0,38,3,37,0,38,0,38,0,38
BX08,West Farms-Bronx River,45,51,0,40,18,48,0,40,12,41,0,40,0,40,15,43,0,40,0,40,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,88,71,27,57,16,54,10,51,0,50,10,51,0,50,0,50,25,57,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
BX13,Co-op City,70,58,0,33,0,33,0,33,0,33,0,33,0,33,15,34,55,53,0,33,0,33
BX14,East Concourse-Concourse Village,80,75,0,51,0,51,19,61,15,53,0,51,0,51,12,55,34,63,0,51,0,51
BX17,East Tremont,50,49,0,45,0,45,7,44,0,45,0,45,0,45,11,45,32,50,0,45,0,45
BX22,North Riverdale-Fieldston-Riverdale,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BX26,Highbridge,94,79,0,42,0,42,27,59,0,42,0,42,8,41,0,42,59,66,0,42,0,42
BX27,Hunts Point,26,36,0,38,0,38,0,38,0,38,0,38,0,38,6,37,20,37,0,38,0,38
BX28,Van Cortlandt Village,80,62,31,56,0,43,0,43,0,43,0,43,8,44,0,43,41,50,0,43,0,43
BX29,Spuyten Duyvil-Kingsbridge,91,98,0,38,0,38,0,38,0,38,0,38,0,38,0,38,91,98,0,38,0,38
BX30,Kingsbridge Heights,57,57,41,52,0,38,0,38,0,38,0,38,0,38,16,42,0,38,0,38,0,38
BX31,Allerton-Pelham Gardens,35,55,14,47,21,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
