area_id,area_name,b08130001,b08130001_moe,b08130002,b08130002_moe,b08130003,b08130003_moe,b08130004,b08130004_moe,b08130005,b08130005_moe,b08130006,b08130006_moe,b08130007,b08130007_moe,b08130008,b08130008_moe,b08130009,b08130009_moe,b08130010,b08130010_moe,b08130011,b08130011_moe,b08130012,b08130012_moe,b08130013,b08130013_moe,b08130014,b08130014_moe,b08130015,b08130015_moe,b08130016,b08130016_moe,b08130017,b08130017_moe,b08130018,b08130018_moe,b08130019,b08130019_moe,b08130020,b08130020_moe,b08130021,b08130021_moe,b08130022,b08130022_moe,b08130023,b08130023_moe,b08130024,b08130024_moe,b08130025,b08130025_moe,b08130026,b08130026_moe,b08130027,b08130027_moe,b08130028,b08130028_moe,b08130029,b08130029_moe,b08130030,b08130030_moe,b08130031,b08130031_moe
BK09,Brooklyn Heights-Cobble Hill,13874,749,13473,765,4235,485,9238,643,401,122,693,182,565,167,226,103,339,130,128,74,337,146,286,138,116,110,170,88,51,47,9363,657,9185,659,794,205,8391,620,178,79,1775,334,1755,334,1651,331,104,66,20,35,453,177,429,176,195,120,234,130,24,38,1253,281
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26453,977,25801,975,14853,868,10948,768,652,166,8204,589,7962,584,5368,478,2594,354,242,97,2371,467,2209,460,1610,399,599,180,162,96,12516,766,12326,761,4716,536,7610,661,190,92,1984,333,1974,333,1910,326,64,64,10,55,412,154,364,144,283,120,81,92,48,81,966,252
BK19,Brighton Beach,12761,756,12225,715,7563,662,4662,474,536,178,2461,393,2168,358,1497,314,671,192,293,143,702,195,585,182,292,133,293,128,117,78,6898,574,6772,563,3205,420,3567,427,126,81,1904,327,1904,327,1834,325,70,62,0,38,252,109,252,109,191,89,61,71,0,38,544,202
BK21,Seagate-Coney Island,9500,713,9390,710,6571,626,2819,374,110,82,1929,337,1903,338,1420,280,483,150,26,44,628,200,557,181,418,160,139,91,71,77,5470,565,5457,566,3274,480,2183,333,13,35,930,222,930,222,916,221,14,42,0,38,174,91,174,91,174,91,0,38,0,38,369,175
BK23,West Brighton,6090,648,5953,645,3380,453,2573,392,137,76,1480,316,1393,310,895,249,498,195,87,62,242,133,207,128,135,93,72,63,35,40,3575,474,3564,474,1754,309,1810,342,11,30,527,190,527,190,481,183,46,55,0,27,218,153,214,152,67,68,147,139,4,28,48,44
BK25,Homecrest,16159,803,15638,805,9606,691,6032,511,521,136,4248,419,4014,414,2923,378,1091,202,234,99,1324,257,1205,249,913,217,292,123,119,70,8102,599,7992,595,3448,416,4544,460,110,68,1678,298,1667,298,1595,289,72,75,11,50,248,94,201,91,168,87,33,54,47,55,559,183
BK26,Gravesend,10448,693,10125,679,5877,573,4248,436,323,125,2230,312,2121,301,1504,260,617,156,109,69,737,227,654,212,464,198,190,87,83,80,6111,525,5980,519,2670,389,3310,368,131,75,957,235,957,235,853,221,104,73,0,36,232,118,232,118,205,115,27,45,0,36,181,88
BK27,Bath Beach,12087,821,11639,810,6699,623,4940,539,448,150,3021,377,2726,365,2047,321,679,152,295,123,1064,302,1008,298,617,208,391,214,56,57,6975,647,6888,643,3089,472,3799,483,87,71,618,170,608,170,544,151,64,57,10,41,110,52,110,52,103,53,7,38,0,40,299,142
BK28,Bensonhurst West,35692,1257,34483,1227,19163,995,15320,833,1209,222,6862,526,6523,520,4637,448,1886,263,339,112,2654,419,2494,413,1729,331,765,220,160,79,21406,1045,20889,1036,8392,738,12497,768,517,149,3029,408,2934,394,2785,388,149,99,95,106,574,209,476,178,453,177,23,65,98,104,1167,273
BK29,Bensonhurst East,26066,1044,25218,1020,14447,837,10771,666,848,191,5434,494,5062,473,3730,422,1332,220,372,137,1612,334,1466,324,957,276,509,148,146,105,16244,865,15952,852,7126,657,8826,622,292,106,1819,295,1819,295,1762,291,57,62,0,51,338,129,300,125,253,123,47,53,38,59,619,200
BK30,Dyker Heights,19282,889,18450,845,10268,702,8182,574,832,212,5350,464,4996,447,3290,372,1706,254,354,128,2067,400,1911,379,1352,313,559,179,156,95,9431,707,9198,688,3446,461,5752,497,233,107,1432,268,1417,267,1369,267,48,63,15,52,345,133,271,105,154,78,117,81,74,98,657,191
BK31,Bay Ridge,38152,1038,36957,1020,17785,862,19172,835,1195,220,9571,620,9024,610,5994,515,3030,366,547,147,2502,355,2433,348,1671,303,762,197,69,80,21267,891,20769,876,5598,508,15171,771,498,149,3285,425,3252,425,3147,421,105,88,33,77,481,148,433,137,329,118,104,85,48,79,1046,205
BK32,Sunset Park West,24481,1068,23579,1034,12683,847,10896,718,902,250,3014,420,2700,375,1937,312,763,184,314,135,1141,264,811,208,641,193,170,88,330,185,15892,930,15707,930,5917,627,9790,692,185,89,3149,442,3130,440,3066,437,64,67,19,52,638,205,584,190,475,174,109,90,54,69,647,175
BK33,Carroll Gardens-Columbia Street-Red Hook,20902,852,20410,853,8297,659,12113,653,492,127,2017,339,1834,323,1009,252,825,190,183,78,455,164,436,162,163,88,273,143,19,47,13201,735,12994,736,2502,409,10492,616,207,83,2640,350,2607,345,2494,339,113,72,33,52,872,198,822,194,412,159,410,132,50,66,1717,321
BK34,Sunset Park East,30563,1195,27889,1152,16184,941,11705,798,2674,426,3788,430,3441,417,2226,342,1215,240,347,128,2372,391,1729,340,1137,269,592,186,643,195,17658,1013,16124,963,6519,653,9605,734,1534,334,5136,554,5090,547,4897,537,193,94,46,60,643,198,539,174,439,157,100,90,104,108,966,246
BK35,Stuyvesant Heights,24863,1124,24484,1109,12055,785,12429,807,379,157,4438,505,4363,501,2626,371,1737,336,75,73,694,225,632,200,448,176,184,100,62,87,17108,931,16919,926,6547,581,10372,748,189,109,1297,285,1288,285,1241,283,47,65,9,52,302,124,258,108,169,92,89,75,44,77,1024,266
BK37,Park Slope-Gowanus,44495,1267,43358,1270,15179,877,28179,1106,1137,232,3904,444,3525,430,1788,296,1737,311,379,137,840,228,758,222,475,196,283,116,82,70,31168,1123,30568,1117,5001,501,25567,1058,600,164,3548,448,3525,448,3478,445,47,64,23,61,1409,265,1356,261,811,211,545,153,53,66,3626,413
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17780,739,17250,746,6019,558,11231,628,530,135,1330,236,1176,226,587,146,589,157,154,66,277,123,272,123,67,72,205,111,5,41,12296,628,12026,624,1953,311,10073,588,270,99,1719,277,1677,278,1541,265,136,80,42,50,574,171,515,168,287,144,228,88,59,54,1584,305
BK40,Windsor Terrace,12724,622,12397,617,4938,475,7459,567,327,126,1810,291,1684,288,1118,248,566,161,126,68,456,144,440,143,379,143,61,53,16,31,8573,569,8434,570,1815,305,6619,556,139,88,713,211,676,203,602,192,74,69,37,65,494,148,485,148,346,131,139,64,9,31,678,176
BK41,Kensington-Ocean Parkway,15029,757,14771,754,7631,581,7140,609,258,116,2605,391,2508,388,1736,301,772,216,97,68,843,243,795,209,580,188,215,97,48,83,9262,693,9160,694,3145,402,6015,601,102,65,1441,275,1430,274,1369,272,61,53,11,42,444,152,444,152,367,144,77,73,0,40,434,157
BK42,Flatbush,46652,1474,45839,1465,25425,1197,20414,1064,813,183,8123,661,7899,652,5883,563,2016,312,224,104,1373,266,1280,257,857,209,423,135,93,83,31764,1291,31353,1288,13833,876,17520,1029,411,136,2826,442,2810,441,2578,419,232,143,16,68,1102,377,1033,356,810,336,223,113,69,99,1464,263
BK43,Midwood,19836,826,19280,835,11674,659,7606,602,556,167,5888,491,5598,484,4102,412,1496,270,290,116,1160,242,1073,234,756,199,317,122,87,72,9640,657,9474,659,3766,398,5708,540,166,112,1968,293,1955,292,1880,288,75,67,13,55,261,115,261,115,251,114,10,51,0,51,919,189
BK44,Madison,17314,691,16844,693,9831,619,7013,531,470,134,4691,405,4509,402,3248,339,1261,208,182,85,1314,253,1226,247,988,218,238,117,88,67,9365,585,9197,585,3804,425,5393,471,168,93,1098,203,1077,202,989,193,88,70,21,53,185,85,174,84,141,80,33,50,11,48,661,202
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,20634,784,20226,777,13134,718,7092,542,408,124,10904,624,10690,616,7930,564,2760,360,214,101,1943,353,1839,349,1353,312,486,148,104,75,6078,505,6016,500,2245,342,3771,386,62,68,955,220,927,217,875,215,52,59,28,65,179,93,179,93,156,92,23,58,0,55,575,166
BK46,Ocean Parkway South,7274,510,7064,503,4300,434,2764,313,210,85,1965,266,1881,264,1383,230,498,150,84,56,556,204,535,202,351,136,184,152,21,39,3479,342,3382,335,1371,253,2011,250,97,70,843,195,843,195,801,193,42,49,0,36,95,49,87,47,58,44,29,37,8,37,336,121
