area_id,area_name,b19025c001,b19025c001_moe
BK32,Sunset Park West,6460900,4183236
BK34,Sunset Park East,2725100,2674946
BK76,Greenpoint,2808900,2849571
BX34,Melrose South-Mott Haven North,1226600,1726668
BX39,Mott Haven-Port Morris,228300,335652
BX43,Norwood,2797700,2356054
BX55,Soundview-Bruckner,4819400,5791055
BX63,West Concourse,2439000,1964503
MN03,Central Harlem North-Polo Grounds,353400,510922
MN12,Upper West Side,3468000,4060885
MN27,Chinatown,1491000,1260135
MN36,Washington Heights South,2427700,1666455
QN61,Jamaica,3796400,5130863
QN71,Old Astoria,1302600,1263542
QN76,Baisley Park,3748900,3062644
