area_id,area_name,b06004i001,b06004i001_moe,b06004i002,b06004i002_moe,b06004i003,b06004i003_moe,b06004i004,b06004i004_moe,b06004i005,b06004i005_moe
BK09,Brooklyn Heights-Cobble Hill,1747,390,827,263,222,115,110,73,588,190
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4812,786,2910,590,316,165,588,214,998,271
BK19,Brighton Beach,4135,795,1347,358,99,99,288,146,2401,569
BK21,Seagate-Coney Island,7069,1005,3979,749,242,142,1410,341,1438,355
BK23,West Brighton,169,143,59,93,11,30,24,35,75,103
BK25,Homecrest,2881,670,1013,304,48,68,258,151,1562,462
BK26,Gravesend,4263,886,2656,687,75,79,510,219,1022,362
BK27,Bath Beach,3553,829,1907,524,135,113,246,146,1265,433
BK28,Bensonhurst West,12500,1511,5538,783,139,114,705,209,6118,1031
BK29,Bensonhurst East,7363,1082,3249,571,220,123,326,179,3568,684
BK30,Dyker Heights,4210,806,2370,511,149,91,381,161,1310,437
BK31,Bay Ridge,13474,1305,7630,875,686,221,1214,287,3944,635
BK32,Sunset Park West,34060,1818,14376,1075,760,261,4239,545,14685,1186
BK33,Carroll Gardens-Columbia Street-Red Hook,8503,935,4386,633,397,158,1767,372,1953,568
BK34,Sunset Park East,23746,1504,10086,933,423,159,2461,365,10776,1137
BK35,Stuyvesant Heights,13632,1298,6735,889,613,281,2131,377,4153,726
BK37,Park Slope-Gowanus,12688,1282,6073,899,835,202,1593,320,4187,663
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8406,875,4406,687,427,146,2145,369,1428,291
BK40,Windsor Terrace,3530,674,2066,538,231,116,238,116,995,232
BK41,Kensington-Ocean Parkway,5035,1038,2149,560,133,76,433,172,2320,615
BK42,Flatbush,20103,1878,8578,1200,429,180,1188,260,9908,1300
BK43,Midwood,3273,710,1438,390,79,99,219,106,1537,513
BK44,Madison,2697,646,1289,343,126,96,218,136,1064,360
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4154,787,2734,620,113,89,305,126,1002,272
BK46,Ocean Parkway South,1679,587,562,228,50,47,320,209,747,344
BK50,Canarsie,7428,956,4001,669,252,136,1113,275,2062,416
BK58,Flatlands,5578,851,2823,538,54,68,663,189,2038,454
BK60,Prospect Lefferts Gardens-Wingate,7020,1033,3211,759,214,113,563,191,3032,596
BK61,Crown Heights North,11610,1284,5392,768,814,264,1157,284,4247,815
BK63,Crown Heights South,3154,591,1092,340,187,98,354,171,1521,371
BK64,Prospect Heights,2524,497,930,305,325,141,358,180,911,304
BK68,Fort Greene,5101,688,2474,446,400,156,1018,270,1209,361
BK69,Clinton Hill,5943,777,3080,518,599,200,393,115,1871,427
BK72,Williamsburg,3779,616,1973,442,73,66,737,212,996,304
BK73,North Side-South Side,17189,1243,7824,856,587,173,2828,389,5950,737
BK75,Bedford,13102,1291,6358,826,633,196,2022,395,4089,744
BK76,Greenpoint,4725,675,1874,354,560,182,501,160,1790,409
BK77,Bushwick North,46357,2057,18589,1165,734,222,4612,541,22422,1580
BK78,Bushwick South,42733,2119,19684,1392,1086,255,6555,674,15408,1398
BK79,Ocean Hill,6143,887,3971,686,55,48,564,188,1553,413
BK81,Brownsville,10378,1274,5978,949,164,94,1395,372,2841,541
BK82,East New York,25812,1772,13917,1276,830,260,3124,476,7941,867
BK83,Cypress Hills-City Line,29024,1767,13928,1188,452,191,2592,425,12052,1150
BK85,East New York (Pennsylvania Ave),8720,1024,4472,644,260,115,1136,410,2852,510
BK88,Borough Park,11039,1379,4496,772,128,94,901,244,5514,882
BK90,East Williamsburg,10927,1003,5131,701,642,187,2110,362,3044,558
BK91,East Flatbush-Farragut,3283,631,1664,420,20,55,273,131,1326,333
BK93,Starrett City,2696,823,1964,741,30,52,366,172,336,204
BK95,Erasmus,2970,819,1231,437,138,106,175,94,1426,422
BK96,Rugby-Remsen Village,2617,634,1413,442,72,81,235,123,897,286
BK99,park-cemetery-etc-Brooklyn,86,74,55,52,20,49,11,40,0,40
BX01,Claremont-Bathgate,17094,1237,8708,968,364,183,2934,506,5088,664
BX03,Eastchester-Edenwald-Baychester,9050,1119,5399,884,169,98,1686,361,1796,393
BX05,Bedford Park-Fordham North,35907,1877,17838,1268,440,162,3947,542,13682,1251
BX06,Belmont,15391,1387,7440,862,388,148,1942,432,5621,856
BX07,Bronxdale,16914,1296,8716,867,361,155,2505,406,5332,1010
BX08,West Farms-Bronx River,23944,1626,10979,1005,373,151,3611,566,8981,1207
BX09,Soundview-Castle Hill-Clason Point-Harding Park,33128,1825,19126,1508,488,174,6748,728,6766,867
BX10,Pelham Bay-Country Club-City Island,8201,1087,5488,890,154,105,1102,283,1457,429
BX13,Co-op City,12529,1442,7874,1374,318,182,2666,520,1671,505
BX14,East Concourse-Concourse Village,36303,2093,16025,1440,587,222,4072,598,15619,1522
BX17,East Tremont,29037,1675,14494,1163,466,199,5006,737,9071,1115
BX22,North Riverdale-Fieldston-Riverdale,4941,685,2945,568,265,98,597,159,1134,250
BX26,Highbridge,23380,1448,9974,968,568,268,2616,482,10222,922
BX27,Hunts Point,20729,1186,10654,958,483,232,3233,411,6359,718
BX28,Van Cortlandt Village,31698,1711,15503,1293,469,235,3002,492,12724,1161
BX29,Spuyten Duyvil-Kingsbridge,10811,791,5620,620,236,132,1276,337,3679,483
BX30,Kingsbridge Heights,20962,1321,7828,769,244,132,2873,497,10017,1130
BX31,Allerton-Pelham Gardens,9570,1078,6011,829,228,139,1497,313,1834,440
BX33,Longwood,18343,1343,8841,852,420,224,2838,490,6244,916
BX34,Melrose South-Mott Haven North,26936,1633,12235,1086,562,283,4343,565,9796,1224
BX35,Morrisania-Melrose,23023,1492,10898,982,543,229,3842,618,7740,956
BX36,University Heights-Morris Heights,35847,1743,14521,1139,1001,326,3668,592,16657,1367
BX37,Van Nest-Morris Park-Westchester Square,16390,1219,10040,1014,406,159,1744,297,4200,599
BX39,Mott Haven-Port Morris,37563,1619,18296,1163,560,205,6441,611,12266,1083
BX40,Fordham South,18064,1368,8377,1079,580,216,1835,399,7272,1046
BX41,Mount Hope,35935,1733,14170,997,1159,305,3550,521,17056,1299
