area_id,area_name,b05009001,b05009001_moe,b05009002,b05009002_moe,b05009003,b05009003_moe,b05009004,b05009004_moe,b05009005,b05009005_moe,b05009006,b05009006_moe,b05009007,b05009007_moe,b05009008,b05009008_moe,b05009009,b05009009_moe,b05009010,b05009010_moe,b05009011,b05009011_moe,b05009012,b05009012_moe,b05009013,b05009013_moe,b05009014,b05009014_moe,b05009015,b05009015_moe,b05009016,b05009016_moe,b05009017,b05009017_moe,b05009018,b05009018_moe,b05009019,b05009019_moe,b05009020,b05009020_moe,b05009021,b05009021_moe,b05009022,b05009022_moe,b05009023,b05009023_moe,b05009024,b05009024_moe,b05009025,b05009025_moe,b05009026,b05009026_moe,b05009027,b05009027_moe,b05009028,b05009028_moe,b05009029,b05009029_moe,b05009030,b05009030_moe,b05009031,b05009031_moe,b05009032,b05009032_moe,b05009033,b05009033_moe,b05009034,b05009034_moe,b05009035,b05009035_moe,b05009036,b05009036_moe,b05009037,b05009037_moe
BK09,Brooklyn Heights-Cobble Hill,2971,420,1613,265,1513,257,1502,256,11,32,829,219,287,122,276,120,11,32,397,173,397,173,0,29,100,64,100,64,0,29,67,51,33,47,33,47,0,29,1358,342,1198,330,1158,328,40,46,774,210,70,58,50,51,20,41,354,254,354,254,0,29,160,95,160,95,0,29,144,94,16,31,16,31,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11071,845,3838,520,2800,449,2731,449,69,83,572,188,1939,380,1870,379,69,83,289,196,289,196,0,55,1038,338,1000,335,38,79,638,280,400,201,362,192,38,79,7233,654,4852,553,4462,535,390,189,1454,357,3033,456,2643,425,390,189,365,199,365,199,0,55,2381,442,2144,430,237,149,1159,295,1222,336,985,308,237,149
BK19,Brighton Beach,4963,629,1788,381,1622,370,1570,365,52,70,187,192,1239,312,1187,306,52,70,196,109,196,109,0,38,166,92,166,92,0,38,26,47,140,88,140,88,0,38,3175,446,2445,407,2011,384,434,186,138,131,2062,352,1628,327,434,186,245,166,245,166,0,38,730,247,542,216,188,114,158,131,572,209,395,175,177,112
BK21,Seagate-Coney Island,6186,755,1783,361,776,254,764,253,12,40,369,214,354,152,342,151,12,40,53,54,53,54,0,38,1007,282,988,282,19,43,799,262,208,107,189,106,19,43,4403,600,2070,459,1787,431,283,162,935,382,1043,301,760,217,283,162,92,77,92,77,0,38,2333,444,2289,441,44,48,1960,431,373,168,329,166,44,48
BK23,West Brighton,1266,246,441,192,341,178,341,178,0,27,27,41,195,143,195,143,0,27,119,128,119,128,0,27,100,86,100,86,0,27,32,55,68,71,68,71,0,27,825,210,547,188,466,177,81,71,42,63,488,178,407,167,81,71,17,30,17,30,0,27,278,127,198,109,80,67,93,77,185,105,105,81,80,67
BK25,Homecrest,9808,877,3135,434,2733,413,2655,406,78,68,1261,310,1038,228,960,213,78,68,434,199,434,199,0,48,402,154,402,154,0,48,195,118,207,108,207,108,0,48,6673,663,5757,635,5203,605,554,184,2065,407,2950,466,2444,433,506,168,742,280,694,260,48,89,916,286,755,271,161,102,306,155,610,240,457,222,153,101
BK26,Gravesend,5020,695,1687,366,1231,306,1189,283,42,60,228,110,820,267,778,239,42,60,183,137,183,137,0,36,456,233,442,231,14,40,363,215,93,96,79,90,14,40,3333,548,2430,455,2150,420,280,145,864,322,1407,351,1127,301,280,145,159,145,159,145,0,36,903,339,897,339,6,36,698,311,205,171,199,170,6,36
BK27,Bath Beach,5600,627,2094,353,1904,343,1701,328,203,109,467,184,1202,275,999,256,203,109,235,125,235,125,0,40,190,91,172,87,18,45,84,63,106,67,88,63,18,45,3506,484,2860,435,2457,418,403,154,834,300,1801,323,1398,295,403,154,225,123,225,123,0,40,646,197,573,180,73,75,308,146,338,144,265,120,73,75
BK28,Bensonhurst West,17857,1057,6202,587,5186,550,4802,535,384,158,1169,312,3217,438,2861,415,356,155,800,235,772,232,28,71,1016,252,982,249,34,73,443,157,573,199,539,195,34,73,11655,861,9632,803,7570,709,2062,417,2027,408,6666,666,4756,547,1910,397,939,289,812,254,127,134,2023,406,1601,383,422,167,562,195,1461,361,1042,335,419,168
BK29,Bensonhurst East,11383,805,4064,488,3517,469,3045,421,472,198,390,150,2785,425,2313,371,472,198,342,157,342,157,0,51,547,188,518,186,29,54,131,98,416,165,387,164,29,54,7319,626,6062,592,4794,533,1268,278,656,201,4901,556,3642,482,1259,278,505,207,496,207,9,52,1257,286,1030,263,227,113,388,180,869,232,642,202,227,113
BK30,Dyker Heights,8866,782,3023,419,2324,342,2185,319,139,96,738,161,1383,291,1244,264,139,96,203,97,203,97,0,51,699,254,641,243,58,90,313,174,386,179,328,164,58,90,5843,620,4768,545,3813,475,955,284,1179,255,3129,479,2208,387,921,282,460,162,426,149,34,64,1075,331,856,238,219,160,501,185,574,278,363,157,211,160
