area_id,area_name,c24010h001,c24010h001_moe,c24010h002,c24010h002_moe,c24010h003,c24010h003_moe,c24010h004,c24010h004_moe,c24010h005,c24010h005_moe,c24010h006,c24010h006_moe,c24010h007,c24010h007_moe,c24010h008,c24010h008_moe,c24010h009,c24010h009_moe,c24010h010,c24010h010_moe,c24010h011,c24010h011_moe,c24010h012,c24010h012_moe,c24010h013,c24010h013_moe
BK09,Brooklyn Heights-Cobble Hill,11164,663,5797,470,4422,399,255,123,875,217,144,104,101,79,5367,386,3933,355,325,120,1051,222,10,31,48,41
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,19123,900,9865,542,4258,416,1077,244,1669,283,1428,258,1433,274,9258,597,4845,448,1634,309,2487,338,34,57,258,113
BK19,Brighton Beach,9129,673,4362,426,1856,274,430,158,786,209,661,190,629,169,4767,434,2013,302,1447,278,1189,224,33,48,85,78
BK21,Seagate-Coney Island,3090,472,1562,298,410,140,290,129,358,142,200,102,304,146,1528,276,435,143,525,170,496,175,12,42,60,78
BK23,West Brighton,6156,675,2605,386,1136,273,274,133,387,146,386,149,422,167,3551,425,1355,271,1072,272,1009,242,14,32,101,78
BK25,Homecrest,12803,696,7453,457,3124,320,725,187,1895,260,869,202,840,171,5350,416,2017,259,1144,207,2064,300,0,48,125,83
BK26,Gravesend,5413,550,2573,345,713,182,291,117,565,168,578,172,426,138,2840,321,1144,233,841,190,791,184,14,41,50,63
BK27,Bath Beach,6482,664,3508,385,1342,244,524,158,733,164,400,126,509,147,2974,386,1340,307,482,169,1045,212,16,40,91,108
BK28,Bensonhurst West,16338,861,8673,559,2497,327,1301,236,1729,280,1557,259,1589,261,7665,538,2776,337,1998,304,2646,320,27,65,218,98
BK29,Bensonhurst East,12079,806,6374,510,1726,257,946,210,940,203,1652,317,1110,240,5705,497,2022,280,1650,336,1752,279,31,68,250,114
BK30,Dyker Heights,10018,649,5621,434,1881,250,857,186,1037,202,1367,243,479,145,4397,379,2016,261,637,176,1559,231,40,61,145,88
BK31,Bay Ridge,25565,921,13972,653,6174,438,1781,271,2710,334,1464,291,1843,311,11593,594,6730,455,1522,251,3129,329,9,66,203,106
BK32,Sunset Park West,5442,511,3028,349,1532,258,353,132,551,150,289,126,303,121,2414,296,1300,219,582,170,402,121,6,49,124,86
BK33,Carroll Gardens-Columbia Street-Red Hook,14612,705,7328,487,5257,438,483,136,1051,208,262,115,275,123,7284,529,5115,439,575,189,1447,237,6,44,141,104
BK34,Sunset Park East,4596,456,2587,308,921,185,460,141,564,155,257,115,385,121,2009,294,853,182,441,160,572,163,25,61,118,90
BK35,Stuyvesant Heights,1959,436,1036,252,512,169,154,96,189,119,85,82,96,81,923,244,450,163,195,112,203,92,54,64,21,56
BK37,Park Slope-Gowanus,32202,1154,15934,758,12125,656,1067,248,1991,319,301,128,450,172,16268,808,12468,694,1073,231,2501,341,7,58,219,126
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,10205,552,5283,396,4056,351,208,98,802,188,144,80,73,51,4922,333,3755,304,224,98,906,182,0,42,37,48
BK40,Windsor Terrace,9286,590,4661,339,2771,286,557,172,675,167,382,148,276,120,4625,386,3331,329,340,127,861,177,0,32,93,75
BK41,Kensington-Ocean Parkway,7918,610,3896,417,1715,259,428,134,791,191,495,173,467,150,4022,394,1947,289,988,214,980,218,0,40,107,99
BK42,Flatbush,10430,745,5716,522,2902,356,992,251,981,214,508,196,333,129,4714,435,2570,321,973,207,1046,205,4,68,121,99
BK43,Midwood,15688,781,8105,477,3865,359,780,182,1906,276,724,185,830,182,7583,491,3923,396,1200,233,2328,285,5,50,127,69
BK44,Madison,12217,649,6729,444,2814,310,859,210,1497,240,868,191,691,166,5488,413,2679,308,1099,204,1647,256,17,53,46,50
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,15148,736,8095,470,3227,342,1140,205,1520,258,1198,242,1010,207,7053,471,3572,353,745,179,2668,337,9,56,59,67
BK46,Ocean Parkway South,6109,460,3485,325,1502,213,253,91,1092,195,291,117,347,118,2624,280,1276,201,505,150,805,167,0,36,38,42
BK50,Canarsie,1415,267,778,194,224,124,159,98,143,100,154,90,98,92,637,151,284,114,58,74,282,110,5,69,8,68
BK58,Flatlands,4872,460,2676,294,1253,184,227,114,576,140,285,107,335,140,2196,261,1227,186,263,96,661,149,0,62,45,76
BK60,Prospect Lefferts Gardens-Wingate,3503,469,1959,321,1076,245,217,131,349,144,188,114,129,97,1544,274,864,202,280,114,331,127,0,58,69,78
BK61,Crown Heights North,6634,618,3408,421,2021,322,480,174,676,172,94,84,137,92,3226,373,2026,288,278,113,817,210,19,71,86,85
BK63,Crown Heights South,3672,427,2094,266,1145,198,208,95,625,171,35,49,81,69,1578,259,921,189,245,108,367,123,12,42,33,50
BK64,Prospect Heights,7636,648,3607,366,2950,328,191,103,280,121,132,75,54,46,4029,491,3155,443,165,88,679,187,21,37,9,33
BK68,Fort Greene,5340,483,2457,317,1828,274,247,123,255,121,62,64,65,61,2883,324,2294,301,255,115,322,102,0,38,12,42
BK69,Clinton Hill,8133,731,4017,481,2747,353,277,125,654,178,175,88,164,99,4116,434,2853,350,454,146,740,190,0,40,69,55
BK72,Williamsburg,6463,392,4139,302,1682,216,247,110,1662,224,171,84,377,117,2324,269,730,158,235,97,1269,214,0,36,90,70
BK73,North Side-South Side,15675,858,8764,622,5585,520,952,258,1542,257,422,150,263,107,6911,594,4120,419,637,178,1970,334,27,53,157,119
BK75,Bedford,6219,532,3662,331,1598,250,299,126,1257,208,194,98,314,130,2557,372,1252,259,374,143,880,182,27,70,24,59
BK76,Greenpoint,15535,790,8237,575,3983,438,819,201,1368,228,1430,298,637,150,7298,514,3426,369,1540,268,2161,317,18,45,153,92
BK77,Bushwick North,4125,493,2403,363,1292,233,373,148,299,121,158,78,281,128,1722,269,849,159,355,127,480,157,14,56,24,56
BK78,Bushwick South,5135,630,2945,482,1585,329,662,223,366,130,158,121,174,100,2190,353,1096,250,402,146,677,226,9,57,6,56
