area_id,area_name,b25003h001,b25003h001_moe,b25003h002,b25003h002_moe,b25003h003,b25003h003_moe
BK09,Brooklyn Heights-Cobble Hill,9144,391,3986,335,5158,375
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18887,473,10181,456,8706,487
BK19,Brighton Beach,10943,367,3262,280,7681,380
BK21,Seagate-Coney Island,4195,319,759,144,3436,313
BK23,West Brighton,7774,236,2904,312,4870,331
BK25,Homecrest,12875,369,5480,342,7395,382
BK26,Gravesend,7063,326,2590,279,4473,360
BK27,Bath Beach,6932,352,2795,259,4137,321
BK28,Bensonhurst West,17149,493,5716,375,11433,472
BK29,Bensonhurst East,12634,439,4249,330,8385,423
BK30,Dyker Heights,9380,346,5049,289,4331,327
BK31,Bay Ridge,25268,550,9600,449,15668,585
BK32,Sunset Park West,4017,292,1404,207,2613,265
BK33,Carroll Gardens-Columbia Street-Red Hook,11355,427,3744,335,7611,452
BK34,Sunset Park East,4068,307,1365,176,2703,276
BK35,Stuyvesant Heights,1214,203,246,99,968,185
BK37,Park Slope-Gowanus,21836,607,9348,504,12488,610
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7248,345,2611,237,4637,337
BK40,Windsor Terrace,6764,317,3200,283,3564,319
BK41,Kensington-Ocean Parkway,6799,362,1881,250,4918,357
BK42,Flatbush,9164,454,3103,276,6061,417
BK43,Midwood,14677,393,5687,322,8990,417
BK44,Madison,11419,339,5302,306,6117,331
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,12757,362,9870,379,2887,326
BK46,Ocean Parkway South,5696,235,2678,226,3018,251
BK50,Canarsie,2111,229,1316,181,795,157
BK58,Flatlands,4450,290,3024,235,1426,222
BK60,Prospect Lefferts Gardens-Wingate,2425,308,685,174,1740,276
BK61,Crown Heights North,4533,369,654,162,3879,344
BK63,Crown Heights South,2757,256,966,164,1791,237
BK64,Prospect Heights,4832,344,1772,196,3060,313
BK68,Fort Greene,3680,279,911,175,2769,265
BK69,Clinton Hill,5038,370,1488,222,3550,327
BK72,Williamsburg,6364,251,1055,171,5309,275
BK73,North Side-South Side,10496,454,1843,252,8653,463
BK75,Bedford,4600,320,837,173,3763,315
BK76,Greenpoint,12094,423,2428,280,9666,440
BK77,Bushwick North,2766,269,280,99,2486,261
BK78,Bushwick South,2816,299,217,132,2599,290
BK79,Ocean Hill,162,83,35,49,127,75
BK81,Brownsville,149,78,0,51,149,78
BK82,East New York,535,162,73,73,462,156
BK83,Cypress Hills-City Line,1075,178,504,124,571,143
BK85,East New York (Pennsylvania Ave),144,86,4,35,140,85
BK88,Borough Park,21521,497,7560,414,13961,534
BK90,East Williamsburg,7465,341,1589,195,5876,352
BK91,East Flatbush-Farragut,363,117,120,79,243,98
BK93,Starrett City,2153,299,0,24,2153,299
BK95,Erasmus,49,43,22,40,27,39
BK96,Rugby-Remsen Village,226,108,55,56,171,104
BK99,park-cemetery-etc-Brooklyn,94,73,27,58,67,59
BX01,Claremont-Bathgate,68,48,0,40,68,48
BX03,Eastchester-Edenwald-Baychester,358,115,190,70,168,99
BX05,Bedford Park-Fordham North,1816,275,215,98,1601,271
BX06,Belmont,1252,206,102,64,1150,200
BX07,Bronxdale,2146,241,311,98,1835,222
BX08,West Farms-Bronx River,244,84,66,48,178,77
BX09,Soundview-Castle Hill-Clason Point-Harding Park,225,80,123,69,102,61
BX10,Pelham Bay-Country Club-City Island,7588,386,3800,362,3788,425
BX13,Co-op City,1851,264,580,160,1271,256
BX14,East Concourse-Concourse Village,357,131,95,86,262,108
BX17,East Tremont,293,120,55,62,238,112
BX22,North Riverdale-Fieldston-Riverdale,7817,376,4105,328,3712,322
BX26,Highbridge,66,53,0,42,66,53
BX27,Hunts Point,96,60,5,37,91,59
BX28,Van Cortlandt Village,2911,289,1084,190,1827,243
BX29,Spuyten Duyvil-Kingsbridge,7271,339,3305,256,3966,312
BX30,Kingsbridge Heights,447,126,116,65,331,112
BX31,Allerton-Pelham Gardens,3172,230,2291,222,881,173
BX33,Longwood,138,64,15,32,123,62
BX34,Melrose South-Mott Haven North,163,84,0,42,163,84
BX35,Morrisania-Melrose,92,55,8,40,84,54
BX36,University Heights-Morris Heights,176,90,9,49,167,84
BX37,Van Nest-Morris Park-Westchester Square,3141,254,1376,177,1765,223
