area_id,area_name,c23002f001,c23002f001_moe,c23002f002,c23002f002_moe,c23002f003,c23002f003_moe,c23002f004,c23002f004_moe,c23002f005,c23002f005_moe,c23002f006,c23002f006_moe,c23002f007,c23002f007_moe,c23002f008,c23002f008_moe,c23002f009,c23002f009_moe,c23002f010,c23002f010_moe,c23002f011,c23002f011_moe,c23002f012,c23002f012_moe,c23002f013,c23002f013_moe,c23002f014,c23002f014_moe,c23002f015,c23002f015_moe,c23002f016,c23002f016_moe,c23002f017,c23002f017_moe,c23002f018,c23002f018_moe,c23002f019,c23002f019_moe,c23002f020,c23002f020_moe,c23002f021,c23002f021_moe,c23002f022,c23002f022_moe,c23002f023,c23002f023_moe,c23002f024,c23002f024_moe,c23002f025,c23002f025_moe,c23002f026,c23002f026_moe,c23002f027,c23002f027_moe
BK09,Brooklyn Heights-Cobble Hill,654,253,305,149,305,149,151,112,0,29,151,112,121,99,30,51,154,100,0,29,0,29,0,29,0,29,0,29,349,163,283,142,150,112,0,29,150,112,118,101,32,55,133,86,66,77,6,28,0,29,6,28,60,77
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,639,252,253,130,192,118,170,115,0,55,170,115,103,93,67,88,22,56,61,65,0,55,0,55,0,55,61,65,386,179,359,176,195,134,0,55,195,134,166,115,29,66,164,119,27,59,0,55,0,55,0,55,27,59
BK19,Brighton Beach,559,342,319,223,311,219,249,213,0,38,249,213,249,213,0,38,62,59,8,40,0,38,0,38,0,38,8,40,240,148,232,146,123,89,0,38,123,89,80,75,43,65,109,88,8,39,0,38,0,38,0,38,8,39
BK21,Seagate-Coney Island,2122,568,941,377,802,365,560,259,0,38,560,259,374,149,186,215,242,132,139,97,0,38,0,38,0,38,139,97,1181,310,972,297,595,218,0,38,595,218,512,189,83,70,377,154,209,106,12,39,12,39,0,38,197,107
BK23,West Brighton,1,24,1,24,1,24,0,27,0,27,0,27,0,27,0,27,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,799,344,419,233,388,230,365,228,0,48,365,228,365,228,0,48,23,53,31,69,0,48,0,48,0,48,31,69,380,152,344,151,227,114,0,48,227,114,173,97,54,72,117,105,36,65,0,48,0,48,0,48,36,65
BK26,Gravesend,1116,344,444,158,444,158,369,150,0,36,369,150,357,150,12,39,75,76,0,36,0,36,0,36,0,36,0,36,672,290,586,240,186,134,0,36,186,134,81,79,105,111,400,158,86,92,0,36,0,36,0,36,86,92
BK27,Bath Beach,1225,471,563,235,537,232,499,228,0,40,499,228,444,202,55,71,38,43,26,44,15,43,15,43,0,40,11,40,662,289,621,275,282,165,0,40,282,165,267,163,15,41,339,168,41,60,28,60,28,60,0,40,13,39
BK28,Bensonhurst West,3075,776,1822,529,1757,512,1447,435,0,64,1447,435,1362,399,85,112,310,163,65,91,40,84,40,84,0,64,25,73,1253,328,1193,319,525,206,0,64,525,206,476,201,49,76,668,214,60,84,0,64,0,64,0,64,60,84
BK29,Bensonhurst East,1654,475,893,291,830,285,752,266,0,51,752,266,698,247,54,78,78,72,63,70,25,61,25,61,0,51,38,63,761,214,705,209,316,137,0,51,316,137,287,132,29,56,389,159,56,65,9,51,9,51,0,51,47,65
BK30,Dyker Heights,793,348,457,253,425,250,295,201,0,51,295,201,291,202,4,50,130,146,32,63,0,51,0,51,0,51,32,63,336,150,321,149,258,121,0,51,258,121,219,113,39,66,63,68,15,52,0,51,0,51,0,51,15,52
BK31,Bay Ridge,3217,577,1315,301,1292,300,1047,272,0,66,1047,272,998,269,49,78,245,132,23,68,0,66,0,66,0,66,23,68,1902,378,1797,362,1094,261,0,66,1094,261,1052,256,42,83,703,242,105,99,0,66,0,66,0,66,105,99
