area_id,area_name,b10051a001,b10051a001_moe,b10051a002,b10051a002_moe,b10051a003,b10051a003_moe,b10051a004,b10051a004_moe,b10051a005,b10051a005_moe,b10051a006,b10051a006_moe,b10051a007,b10051a007_moe
BK09,Brooklyn Heights-Cobble Hill,70,66,0,29,0,29,0,29,70,66,0,29,70,66
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,319,119,60,62,16,59,44,58,259,116,81,86,178,95
BK19,Brighton Beach,359,145,115,94,38,59,77,85,244,117,102,76,142,94
BK21,Seagate-Coney Island,312,144,139,104,62,80,77,75,173,104,58,68,115,79
BK23,West Brighton,282,141,117,97,62,78,55,62,165,107,64,78,101,76
BK25,Homecrest,448,178,144,101,48,66,96,87,304,151,73,67,231,133
BK26,Gravesend,186,91,48,53,38,52,10,37,138,81,53,52,85,71
BK27,Bath Beach,226,112,91,85,61,81,30,48,135,78,49,58,86,58
BK28,Bensonhurst West,752,199,160,94,94,84,66,74,592,179,158,128,434,137
BK29,Bensonhurst East,532,167,144,90,80,86,64,71,388,149,81,88,307,122
BK30,Dyker Heights,573,153,147,96,44,63,103,88,426,122,56,57,370,115
BK31,Bay Ridge,559,165,107,89,81,84,26,70,452,152,160,107,292,123
BK32,Sunset Park West,532,197,182,117,157,104,25,55,350,164,264,155,86,69
BK33,Carroll Gardens-Columbia Street-Red Hook,156,94,73,70,63,70,10,46,83,73,43,64,40,54
BK34,Sunset Park East,614,199,254,125,212,121,42,67,360,148,94,78,266,131
BK35,Stuyvesant Heights,272,126,140,99,88,87,52,68,132,100,128,100,4,50
BK37,Park Slope-Gowanus,407,137,183,87,61,63,122,81,224,118,40,72,184,106
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,65,58,55,57,14,41,41,50,10,43,10,43,0,42
BK40,Windsor Terrace,189,104,43,55,21,46,22,43,146,93,34,41,112,88
BK41,Kensington-Ocean Parkway,175,92,73,60,42,48,31,53,102,62,61,57,41,46
BK42,Flatbush,315,171,175,163,151,159,24,77,140,89,17,69,123,86
BK43,Midwood,124,81,36,55,10,52,26,53,88,77,36,68,52,63
BK44,Madison,356,147,53,58,32,53,21,51,303,143,101,92,202,117
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,552,160,173,90,83,79,90,70,379,136,80,77,299,127
BK46,Ocean Parkway South,150,91,17,44,17,44,0,36,133,88,33,63,100,70
BK50,Canarsie,84,85,40,77,17,76,23,71,44,79,9,71,35,74
BK58,Flatlands,115,82,69,78,65,78,4,62,46,63,31,63,15,62
BK60,Prospect Lefferts Gardens-Wingate,84,84,38,70,0,58,38,70,46,75,9,58,37,74
BK61,Crown Heights North,98,101,9,68,0,67,9,68,89,101,17,74,72,96
BK63,Crown Heights South,49,60,5,39,5,39,0,40,44,58,19,49,25,49
BK64,Prospect Heights,7,33,7,33,7,33,0,32,0,32,0,32,0,32
BK68,Fort Greene,69,64,29,46,14,43,15,41,40,59,24,43,16,43
BK69,Clinton Hill,64,73,36,69,36,69,0,40,28,46,0,40,28,46
BK72,Williamsburg,304,147,167,125,75,63,92,114,137,87,23,38,114,81
BK73,North Side-South Side,634,222,215,117,50,59,165,111,419,181,165,120,254,137
BK75,Bedford,141,143,46,69,21,65,25,60,95,137,38,80,57,85
BK76,Greenpoint,152,78,47,57,20,50,27,50,105,66,37,56,68,53
BK77,Bushwick North,571,193,187,128,124,109,63,81,384,144,301,132,83,78
BK78,Bushwick South,872,269,332,168,254,151,78,75,540,211,354,164,186,111
BK79,Ocean Hill,7,38,7,38,0,38,7,38,0,38,0,38,0,38
BK81,Brownsville,201,196,157,192,3,50,154,192,44,63,11,53,33,60
BK82,East New York,661,230,234,153,143,119,91,110,427,181,150,100,277,149
BK83,Cypress Hills-City Line,1015,257,158,77,63,53,95,74,857,249,453,171,404,176
BK85,East New York (Pennsylvania Ave),152,99,0,36,0,36,0,36,152,99,96,90,56,53
BK88,Borough Park,480,181,189,125,132,106,57,82,291,124,138,101,153,94
BK90,East Williamsburg,184,153,55,74,55,74,0,40,129,104,76,82,53,75
BK91,East Flatbush-Farragut,23,60,0,54,0,54,0,54,23,60,23,60,0,54
BK93,Starrett City,71,59,34,43,34,43,0,24,37,46,0,24,37,46
BK95,Erasmus,14,39,0,36,0,36,0,36,14,39,14,39,0,36
BK96,Rugby-Remsen Village,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,11,40,11,40,0,40,11,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,65,55,23,42,14,43,9,39,42,51,7,42,35,50
BX03,Eastchester-Edenwald-Baychester,52,76,38,71,38,71,0,40,14,49,0,40,14,49
BX05,Bedford Park-Fordham North,357,201,176,118,101,96,75,74,181,172,32,60,149,168
BX06,Belmont,101,72,30,58,30,58,0,34,71,64,36,50,35,48
BX07,Bronxdale,241,165,63,55,31,44,32,51,178,153,9,38,169,153
BX08,West Farms-Bronx River,152,94,17,40,11,40,6,40,135,89,67,57,68,70
BX09,Soundview-Castle Hill-Clason Point-Harding Park,326,128,166,93,123,88,43,56,160,96,30,60,130,89
BX10,Pelham Bay-Country Club-City Island,320,148,78,67,48,57,30,46,242,122,41,49,201,109
BX13,Co-op City,99,78,21,44,0,33,21,44,78,70,13,40,65,66
BX14,East Concourse-Concourse Village,309,167,82,75,52,69,30,59,227,141,86,80,141,108
BX17,East Tremont,304,151,124,81,86,74,38,54,180,136,100,87,80,80
