area_id,area_name,b17020f001,b17020f001_moe,b17020f002,b17020f002_moe,b17020f003,b17020f003_moe,b17020f004,b17020f004_moe,b17020f005,b17020f005_moe,b17020f006,b17020f006_moe,b17020f007,b17020f007_moe,b17020f008,b17020f008_moe,b17020f009,b17020f009_moe,b17020f010,b17020f010_moe,b17020f011,b17020f011_moe,b17020f012,b17020f012_moe,b17020f013,b17020f013_moe,b17020f014,b17020f014_moe,b17020f015,b17020f015_moe,b17020f016,b17020f016_moe,b17020f017,b17020f017_moe
BK09,Brooklyn Heights-Cobble Hill,599,263,202,106,0,29,0,29,0,29,0,29,196,105,6,28,0,29,397,242,0,29,0,29,0,29,44,56,293,204,0,29,60,77
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,936,439,452,326,0,55,0,55,105,104,102,176,231,159,0,55,14,57,484,303,58,84,0,55,54,80,23,65,287,175,35,65,27,69
BK19,Brighton Beach,689,421,270,254,0,38,8,39,8,39,57,93,181,162,16,41,0,38,419,339,41,57,0,38,18,47,0,38,360,299,0,38,0,38
BK21,Seagate-Coney Island,2573,668,878,413,76,83,0,38,57,54,95,99,557,337,34,46,59,62,1695,527,69,61,0,38,103,81,223,173,1068,384,176,160,56,84
BK23,West Brighton,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,1,24,0,27,0,27,0,27,0,27,1,24,0,27,0,27
BK25,Homecrest,1064,443,295,259,71,93,0,48,21,56,49,89,154,138,0,48,0,48,769,341,44,60,0,48,90,79,19,56,549,271,58,106,9,48
BK26,Gravesend,1641,567,1032,506,90,101,41,71,169,160,176,172,470,227,70,89,16,41,609,323,36,58,0,36,87,115,51,86,435,197,0,36,0,36
BK27,Bath Beach,1687,652,292,237,23,44,0,40,66,98,32,45,171,134,0,40,0,40,1395,609,135,106,18,48,164,116,121,112,908,410,49,62,0,40
BK28,Bensonhurst West,4115,1058,1174,552,130,114,40,75,139,130,132,144,696,284,16,67,21,72,2941,846,285,165,47,75,262,172,85,85,2174,622,88,98,0,64
BK29,Bensonhurst East,2174,634,473,267,61,88,21,54,55,84,72,81,248,133,8,51,8,51,1701,543,147,110,48,73,81,74,117,135,1205,391,103,104,0,51
BK30,Dyker Heights,995,420,300,262,24,62,0,51,0,51,10,52,241,238,25,62,0,51,695,299,67,75,27,64,71,75,32,69,489,212,0,51,9,52
BK31,Bay Ridge,4605,887,856,366,65,86,55,94,111,96,93,97,482,203,14,65,36,84,3749,774,316,148,63,92,333,155,506,200,2453,477,42,73,36,84
BK32,Sunset Park West,16236,1543,4803,961,748,260,205,126,649,214,449,158,2439,494,210,95,103,76,11433,1306,787,236,110,87,858,217,751,225,8276,952,455,157,196,105
BK33,Carroll Gardens-Columbia Street-Red Hook,4800,896,1290,445,112,90,0,45,141,128,149,122,659,224,151,121,78,91,3510,813,87,82,66,70,215,156,246,143,2516,585,222,175,158,127
BK34,Sunset Park East,10128,1306,3030,720,395,190,65,83,341,156,417,175,1741,420,19,55,52,71,7098,1097,462,217,44,69,383,146,645,204,5247,861,163,109,154,95
BK35,Stuyvesant Heights,4997,885,1687,526,199,129,25,56,219,143,160,169,938,283,138,136,8,51,3310,770,132,119,22,62,259,183,268,123,2248,534,291,160,90,80
