area_id,area_name,b06007001,b06007001_moe,b06007002,b06007002_moe,b06007003,b06007003_moe,b06007004,b06007004_moe,b06007005,b06007005_moe,b06007006,b06007006_moe,b06007007,b06007007_moe,b06007008,b06007008_moe,b06007009,b06007009_moe,b06007010,b06007010_moe,b06007011,b06007011_moe,b06007012,b06007012_moe,b06007013,b06007013_moe,b06007014,b06007014_moe,b06007015,b06007015_moe,b06007016,b06007016_moe,b06007017,b06007017_moe,b06007018,b06007018_moe,b06007019,b06007019_moe,b06007020,b06007020_moe,b06007021,b06007021_moe,b06007022,b06007022_moe,b06007023,b06007023_moe,b06007024,b06007024_moe,b06007025,b06007025_moe,b06007026,b06007026_moe,b06007027,b06007027_moe,b06007028,b06007028_moe,b06007029,b06007029_moe,b06007030,b06007030_moe,b06007031,b06007031_moe,b06007032,b06007032_moe,b06007033,b06007033_moe,b06007034,b06007034_moe,b06007035,b06007035_moe,b06007036,b06007036_moe,b06007037,b06007037_moe,b06007038,b06007038_moe,b06007039,b06007039_moe,b06007040,b06007040_moe
BK09,Brooklyn Heights-Cobble Hill,21960,1113,16813,1012,1580,369,1304,332,276,122,3567,545,3022,480,545,196,9373,796,8014,744,598,203,573,201,25,40,761,219,739,217,22,37,7669,673,6976,596,350,201,271,182,79,61,343,135,343,135,0,29,419,136,311,129,79,53,55,50,24,33,29,32,29,32,0,29,4499,548,1512,331,553,186,405,154,148,99,2434,433,1911,358,523,192
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,58445,1485,25207,1383,3159,593,1932,447,1227,377,30079,1426,11939,934,18140,1127,28062,1342,21311,1300,1474,379,1163,362,311,171,5277,570,4241,509,1036,262,1982,367,1562,297,130,106,64,83,66,84,290,193,96,73,194,189,950,244,221,114,549,211,254,120,295,180,180,98,116,79,64,72,27451,1217,2113,440,1006,288,451,184,555,206,24332,1195,7486,710,16846,1044
BK19,Brighton Beach,30018,1191,4508,633,3644,712,972,308,2672,613,21866,1126,6396,689,15470,892,7163,728,3465,543,1050,291,587,214,463,212,2648,453,2147,417,501,172,578,183,361,134,37,50,0,38,37,50,180,105,44,49,136,90,512,181,142,89,226,130,128,99,98,90,144,100,96,93,48,47,21765,1018,540,158,2331,557,257,136,2074,521,18894,952,4109,522,14785,867
BK21,Seagate-Coney Island,28669,1184,14136,1107,4755,759,2035,526,2720,505,9778,885,2356,453,7422,698,14388,1095,11078,1055,1775,447,1185,374,590,257,1535,333,1023,260,512,184,2406,411,2042,382,181,112,170,109,11,40,183,113,121,73,62,62,1553,346,117,62,1326,334,385,176,941,239,110,70,60,58,50,52,10322,791,899,237,1473,363,295,129,1178,336,7950,723,1152,275,6798,665
BK23,West Brighton,15101,661,4711,563,91,104,28,32,63,103,10299,816,3551,584,6748,629,5463,589,4013,535,6,26,6,26,0,27,1444,379,835,251,609,316,332,122,253,111,10,26,10,26,0,27,69,50,37,37,32,44,129,68,33,38,0,27,0,27,0,27,96,59,85,56,11,30,9177,714,412,159,75,103,12,28,63,103,8690,747,2594,473,6096,599
BK25,Homecrest,39301,1320,16001,1162,2486,611,741,243,1745,542,20814,1201,8804,783,12010,900,18943,1108,12815,1022,604,247,276,113,328,224,5524,723,3650,517,1874,495,1580,318,1316,295,79,71,62,69,17,50,185,96,138,85,47,61,736,201,105,69,243,149,94,84,149,133,388,129,310,119,78,63,18042,1041,1765,288,1560,456,309,140,1251,417,14717,964,4706,536,10011,777
BK26,Gravesend,26323,1155,9494,961,2652,582,1151,329,1501,453,14177,1064,3843,546,10334,884,11869,1001,7860,917,1171,355,707,232,464,236,2838,427,1382,285,1456,369,943,251,820,235,20,40,17,43,3,33,103,74,51,58,52,58,674,231,104,76,464,215,145,98,319,185,106,75,88,69,18,45,12837,955,710,215,997,357,282,146,715,323,11130,935,2322,414,8808,805
BK27,Bath Beach,27504,1138,10297,820,2393,627,852,257,1541,539,14814,1067,5353,674,9461,764,13480,889,8985,788,806,270,508,175,298,205,3689,506,2636,432,1053,280,792,205,572,177,80,72,53,60,27,56,140,81,89,67,51,60,578,203,144,89,265,174,61,76,204,141,169,74,113,59,56,49,12654,919,596,177,1242,434,230,115,1012,417,10816,851,2515,418,8301,693
BK28,Bensonhurst West,81501,2019,21932,1318,9718,1309,3396,588,6322,1025,49851,1940,15813,1033,34038,1570,31828,1473,18047,1211,2913,494,1994,412,919,251,10868,881,7690,747,3178,489,1762,290,1128,239,141,113,131,113,10,63,493,133,363,118,130,88,1572,308,361,144,606,195,355,159,251,130,605,194,289,121,316,137,46339,1745,2396,394,6058,1029,916,267,5142,921,37885,1600,7471,623,30414,1424
BK29,Bensonhurst East,57739,1535,13980,963,5758,914,1986,435,3772,718,38001,1618,12050,942,25951,1307,21171,1062,11809,889,1851,379,1184,284,667,249,7511,717,5171,602,2340,406,1151,249,726,185,149,101,80,80,69,80,276,128,155,82,121,92,571,181,98,74,282,151,146,107,136,118,191,88,99,70,92,71,34846,1382,1347,267,3476,669,576,222,2900,594,30023,1340,6625,640,23398,1221
