area_id,area_name,b19025g001,b19025g001_moe
BK09,Brooklyn Heights-Cobble Hill,20652400,13456856
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4226600,4213176
BK19,Brighton Beach,4537300,4635038
BK25,Homecrest,1777200,1494307
BK27,Bath Beach,2175200,2156511
BK29,Bensonhurst East,1413400,1515516
BK30,Dyker Heights,1392900,1380950
BK31,Bay Ridge,14030300,5966060
BK32,Sunset Park West,17178000,9781254
BK33,Carroll Gardens-Columbia Street-Red Hook,25876000,10939600
BK34,Sunset Park East,8667000,4650386
BK35,Stuyvesant Heights,13935300,6676227
BK37,Park Slope-Gowanus,58671200,17429953
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,36739500,21720111
BK41,Kensington-Ocean Parkway,16450100,8600569
BK42,Flatbush,22621400,12367384
BK43,Midwood,5606700,2966298
BK44,Madison,4055800,3009187
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1113900,1265046
BK46,Ocean Parkway South,1084000,1324951
BK50,Canarsie,2339200,1693503
BK58,Flatlands,13748200,6355148
BK60,Prospect Lefferts Gardens-Wingate,19717800,10443222
BK61,Crown Heights North,29384800,9837207
BK63,Crown Heights South,2620700,2893614
BK64,Prospect Heights,8566900,4405401
BK68,Fort Greene,39777300,14811206
BK69,Clinton Hill,53873100,23234513
BK72,Williamsburg,2062100,2488394
BK73,North Side-South Side,22301200,8271795
BK75,Bedford,11209800,5241659
BK76,Greenpoint,1830200,2161157
BK77,Bushwick North,32261600,25349925
BK78,Bushwick South,16847600,7653230
BK81,Brownsville,3803700,2599124
BK82,East New York,10804800,4596090
BK83,Cypress Hills-City Line,3435700,1845510
BK88,Borough Park,2807100,3311421
BK90,East Williamsburg,18593100,16890978
BK91,East Flatbush-Farragut,17612200,8667130
BK93,Starrett City,621000,598267
BK95,Erasmus,3881500,3268103
BK96,Rugby-Remsen Village,3697400,3989074
BX01,Claremont-Bathgate,6259300,3078205
BX03,Eastchester-Edenwald-Baychester,6213800,5021573
BX05,Bedford Park-Fordham North,14059500,9595861
BX06,Belmont,5746600,3352505
BX07,Bronxdale,13657700,5108138
BX08,West Farms-Bronx River,37796400,13505000
BX09,Soundview-Castle Hill-Clason Point-Harding Park,13123900,6698208
BX10,Pelham Bay-Country Club-City Island,8940900,8648007
BX13,Co-op City,26663400,20284960
BX14,East Concourse-Concourse Village,14837600,6036276
BX17,East Tremont,18607900,8285338
BX22,North Riverdale-Fieldston-Riverdale,3238200,2716480
BX26,Highbridge,6918500,3839183
BX27,Hunts Point,11563300,7463517
BX28,Van Cortlandt Village,28468600,9055489
BX29,Spuyten Duyvil-Kingsbridge,25241400,16056588
BX30,Kingsbridge Heights,15406000,6497000
BX31,Allerton-Pelham Gardens,4656900,2416623
BX33,Longwood,5557100,3068092
BX34,Melrose South-Mott Haven North,5854700,3551091
BX35,Morrisania-Melrose,18280800,6564129
BX36,University Heights-Morris Heights,16093300,6206847
BX37,Van Nest-Morris Park-Westchester Square,16225600,7476173
BX39,Mott Haven-Port Morris,7892300,3384122
BX40,Fordham South,1420800,1639500
BX41,Mount Hope,13689500,5294362
BX43,Norwood,24167600,8638326
BX44,Williamsbridge-Olinville,9699600,5815733
BX46,Parkchester,43120700,17112062
BX49,Pelham Parkway,2914800,3858871
BX52,Schuylerville-Throgs Neck-Edgewater Park,7863200,4445157
BX55,Soundview-Bruckner,26803800,8939058
BX59,Westchester-Unionport,21818500,8283942
BX62,Woodlawn-Wakefield,5231700,3861166
BX63,West Concourse,13518200,5770702
BX75,Crotona Park East,1693400,1302262
MN01,Marble Hill-Inwood,49420900,14153132
MN03,Central Harlem North-Polo Grounds,92262100,25613471
MN04,Hamilton Heights,124757800,39343204
MN06,Manhattanville,39737700,13619702
MN09,Morningside Heights,48772600,16587684
MN11,Central Harlem South,35492200,15460075
MN12,Upper West Side,127666100,37053170
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,98239400,43110322
MN14,Lincoln Square,21620100,12944199
MN15,Clinton,61382700,23541801
MN17,Midtown-Midtown South,28581700,17165393
MN19,Turtle Bay-East Midtown,36747500,24587150
MN20,Murray Hill-Kips Bay,32398600,16120551
MN21,Gramercy,16486500,9938974
MN22,East Village,36594800,17627895
MN23,West Village,169870500,78182921
MN24,SoHo-TriBeCa-Civic Center-Little Italy,46257800,37444292
MN25,Battery Park City-Lower Manhattan,44324000,26639872
MN27,Chinatown,29675800,21089867
MN28,Lower East Side,70658700,19614450
MN31,Lenox Hill-Roosevelt Island,41500500,17010415
MN32,Yorkville,31055300,14261510
MN33,East Harlem South,36627400,20339059
MN34,East Harlem North,35470300,17109004
MN35,Washington Heights North,51791400,15779412
MN36,Washington Heights South,90899300,26718086
MN40,Upper East Side-Carnegie Hill,15273500,18748804
MN50,Stuyvesant Town-Cooper Village,7094400,5473189
QN01,South Jamaica,12636500,4613721
QN03,Springfield Gardens South-Brookville,9790000,9041273
QN05,Rosedale,13547500,9455187
QN06,Jamaica Estates-Holliswood,28332600,12368561
QN07,Hollis,17474900,7567684
QN08,St. Albans,8136300,5451040
QN12,Hammels-Arverne-Edgemere,10999600,5856741
QN15,Far Rockaway-Bayswater,29067400,13529418
QN17,Forest Hills,47215900,14814094
QN18,Rego Park,23340200,16517236
QN19,Glendale,5109200,5259976
QN20,Ridgewood,12112800,6603414
QN22,Flushing,22730300,11227737
QN23,College Point,805200,824479
QN25,Corona,12142300,8807670
QN26,North Corona,12368600,7678729
QN27,East Elmhurst,16318800,9394667
QN28,Jackson Heights,64808000,19944185
QN29,Elmhurst,15559800,7764834
QN31,Hunters Point-Sunnyside-West Maspeth,31176300,9871687
QN34,Queens Village,65720000,19197924
QN35,Briarwood-Jamaica Hills,42736700,15564758
QN37,Kew Gardens Hills,26054700,9625391
QN38,Pomonok-Flushing Heights-Hillcrest,5765500,3939360
QN41,Fresh Meadows-Utopia,7626400,14489408
QN42,Oakland Gardens,8830700,9520876
QN43,Bellerose,8989500,6681775
QN44,Glen Oaks-Floral Park-New Hyde Park,22369000,11223812
QN46,Bayside-Bayside Hills,3883600,2861999
QN47,Ft. Totten-Bay Terrace-Clearview,4461100,4326899
QN48,Auburndale,849200,853468
QN49,Whitestone,7653400,6217711
QN50,Elmhurst-Maspeth,3103500,3331409
QN51,Murray Hill,15917700,11565215
QN53,Woodhaven,59512400,14600510
QN54,Richmond Hill,42331100,11308724
QN55,South Ozone Park,79457300,16250263
QN56,Ozone Park,23827700,11494128
QN57,Lindenwood-Howard Beach,10890000,8792588
QN60,Kew Gardens,8826700,5697869
QN61,Jamaica,52904600,19751232
QN62,Queensboro Hill,1733300,1601317
QN63,Woodside,5902100,3491197
QN66,Laurelton,4566100,2839271
QN68,Queensbridge-Ravenswood-Long Island City,3671600,2538723
QN70,Astoria,37457400,27951158
QN71,Old Astoria,14248000,7392314
QN72,Steinway,15046700,9712990
QN76,Baisley Park,6741300,3902992
SI05,New Springville-Bloomfield-Travis,3008300,2958844
SI07,Westerleigh,2571500,2629605
SI08,Grymes Hill-Clifton-Fox Hills,9486900,5683537
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,23616600,11238077
SI22,West New Brighton-New Brighton-St. George,12495900,7867874
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6388400,6263880
SI25,Oakwood-Oakwood Beach,6582600,6599720
SI28,Port Richmond,11641800,10473531
SI36,Old Town-Dongan Hills-South Beach,4780600,4320020
SI37,Stapleton-Rosebank,10919900,5878305
