area_id,area_name,b22005i001,b22005i001_moe,b22005i002,b22005i002_moe,b22005i003,b22005i003_moe
BK09,Brooklyn Heights-Cobble Hill,657,188,63,64,594,179
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1733,256,503,148,1230,246
BK19,Brighton Beach,1272,230,493,146,779,200
BK21,Seagate-Coney Island,2496,329,1106,234,1390,267
BK23,West Brighton,56,60,11,30,45,58
BK25,Homecrest,949,213,152,96,797,202
BK26,Gravesend,1315,241,454,171,861,224
BK27,Bath Beach,1047,247,174,117,873,222
BK28,Bensonhurst West,3675,394,1006,234,2669,357
BK29,Bensonhurst East,2310,315,461,147,1849,286
BK30,Dyker Heights,1398,247,304,118,1094,228
BK31,Bay Ridge,4993,435,974,243,4019,414
BK32,Sunset Park West,9916,428,3282,345,6634,423
BK33,Carroll Gardens-Columbia Street-Red Hook,3458,347,1006,203,2452,338
BK34,Sunset Park East,7124,377,2710,326,4414,387
BK35,Stuyvesant Heights,4589,404,2347,315,2242,340
BK37,Park Slope-Gowanus,4606,461,754,192,3852,443
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3228,273,1522,205,1706,247
BK40,Windsor Terrace,1121,211,126,105,995,195
BK41,Kensington-Ocean Parkway,1609,278,270,121,1339,253
BK42,Flatbush,6198,501,1769,305,4429,453
BK43,Midwood,1124,240,251,107,873,229
BK44,Madison,813,208,36,49,777,204
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1124,224,152,91,972,210
BK46,Ocean Parkway South,573,178,149,85,424,156
BK50,Canarsie,2252,294,674,167,1578,259
BK58,Flatlands,1814,250,414,140,1400,222
BK60,Prospect Lefferts Gardens-Wingate,2451,333,893,238,1558,305
BK61,Crown Heights North,4215,415,1822,290,2393,328
BK63,Crown Heights South,1222,224,416,148,806,182
BK64,Prospect Heights,1105,241,114,64,991,238
BK68,Fort Greene,1904,264,764,180,1140,224
BK69,Clinton Hill,2019,269,580,151,1439,246
BK72,Williamsburg,1412,213,673,188,739,192
