area_id,area_name,b13002f001,b13002f001_moe,b13002f002,b13002f002_moe,b13002f003,b13002f003_moe,b13002f004,b13002f004_moe,b13002f005,b13002f005_moe,b13002f006,b13002f006_moe,b13002f007,b13002f007_moe
BK09,Brooklyn Heights-Cobble Hill,272,141,0,29,0,29,0,29,272,141,98,73,174,121
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,358,231,1,52,0,55,1,52,357,230,102,92,255,209
BK19,Brighton Beach,211,165,0,38,0,38,0,38,211,165,89,74,122,111
BK21,Seagate-Coney Island,723,255,59,53,35,44,24,43,664,250,159,90,505,206
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,315,148,21,56,21,56,0,48,294,145,145,94,149,100
BK26,Gravesend,607,240,0,36,0,36,0,36,607,240,324,146,283,191
BK27,Bath Beach,582,271,0,40,0,40,0,40,582,271,210,110,372,230
BK28,Bensonhurst West,1133,312,74,83,55,80,19,68,1059,305,604,212,455,199
BK29,Bensonhurst East,590,187,46,70,46,70,0,51,544,180,237,117,307,136
BK30,Dyker Heights,206,111,0,51,0,51,0,51,206,111,79,76,127,93
BK31,Bay Ridge,1759,397,146,120,46,82,100,108,1613,385,606,168,1007,331
BK32,Sunset Park West,4306,545,475,151,230,119,245,115,3831,508,1556,275,2275,391
BK33,Carroll Gardens-Columbia Street-Red Hook,1333,368,20,48,0,45,20,48,1313,365,538,207,775,306
BK34,Sunset Park East,2957,429,147,92,76,80,71,74,2810,424,1230,243,1580,327
BK35,Stuyvesant Heights,1511,309,155,106,28,59,127,102,1356,288,482,154,874,240
BK37,Park Slope-Gowanus,1868,432,98,91,95,92,3,57,1770,426,533,174,1237,375
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1154,288,35,61,28,61,7,42,1119,290,356,150,763,241
BK40,Windsor Terrace,390,177,75,85,45,77,30,49,315,154,123,84,192,121
BK41,Kensington-Ocean Parkway,972,353,24,52,0,40,24,52,948,342,417,156,531,283
BK42,Flatbush,3317,572,282,135,122,98,160,113,3035,540,1228,283,1807,425
BK43,Midwood,379,184,15,59,0,51,15,59,364,181,150,118,214,131
BK44,Madison,199,128,0,46,0,46,0,46,199,128,29,55,170,124
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,359,180,0,55,0,55,0,55,359,180,174,109,185,130
BK46,Ocean Parkway South,237,115,10,37,10,37,0,36,227,114,121,88,106,77
BK50,Canarsie,1067,312,25,71,0,70,25,71,1042,311,432,158,610,232
BK58,Flatlands,572,202,35,75,5,62,30,75,537,186,290,135,247,126
BK60,Prospect Lefferts Gardens-Wingate,1283,407,19,65,0,58,19,65,1264,406,432,219,832,287
BK61,Crown Heights North,1817,399,176,122,132,116,44,76,1641,370,376,150,1265,319
BK63,Crown Heights South,310,153,13,43,0,40,13,43,297,152,95,73,202,134
BK64,Prospect Heights,300,147,10,33,10,33,0,32,290,147,69,55,221,131
BK68,Fort Greene,768,211,63,61,33,57,30,55,705,205,147,84,558,195
BK69,Clinton Hill,615,206,51,51,34,49,17,50,564,196,163,109,401,157
BK72,Williamsburg,324,162,26,41,0,36,26,41,298,158,68,70,230,130
BK73,North Side-South Side,1016,285,63,63,12,49,51,62,953,277,353,136,600,206
BK75,Bedford,1862,369,201,110,52,64,149,107,1661,355,683,192,978,264
BK76,Greenpoint,598,175,38,62,38,62,0,42,560,169,235,115,325,182
BK77,Bushwick North,7427,679,603,180,143,86,460,165,6824,652,2590,351,4234,513
BK78,Bushwick South,4377,620,217,120,51,70,166,113,4160,604,1619,319,2541,435
BK79,Ocean Hill,1117,285,84,67,27,44,57,61,1033,274,336,141,697,206
BK81,Brownsville,1572,337,164,122,63,74,101,106,1408,304,448,156,960,248
BK82,East New York,2180,442,208,109,82,80,126,97,1972,407,634,198,1338,303
BK83,Cypress Hills-City Line,1776,309,145,76,16,50,129,75,1631,300,676,194,955,215
BK85,East New York (Pennsylvania Ave),1190,301,148,93,48,62,100,69,1042,289,231,112,811,259
BK88,Borough Park,1331,315,157,106,10,69,147,106,1174,300,543,188,631,213
BK90,East Williamsburg,1068,252,36,50,36,50,0,40,1032,245,371,151,661,180
BK91,East Flatbush-Farragut,265,135,22,62,22,62,0,54,243,122,90,83,153,94
BK93,Starrett City,293,228,52,80,0,24,52,80,241,223,37,60,204,226
BK95,Erasmus,338,168,0,36,0,36,0,36,338,168,123,96,215,117
BK96,Rugby-Remsen Village,339,174,35,66,21,62,14,58,304,164,141,96,163,143
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,3880,506,355,179,47,54,308,167,3525,471,1013,202,2512,430
BX03,Eastchester-Edenwald-Baychester,1772,373,80,88,79,90,1,36,1692,353,441,185,1251,311
BX05,Bedford Park-Fordham North,8741,794,531,181,184,103,347,154,8210,761,2528,360,5682,644
BX06,Belmont,3109,482,312,130,65,63,247,122,2797,445,900,266,1897,325
BX07,Bronxdale,3065,478,148,94,35,54,113,85,2917,474,1068,257,1849,383
BX08,West Farms-Bronx River,4246,564,432,163,200,118,232,119,3814,534,1387,336,2427,420
BX09,Soundview-Castle Hill-Clason Point-Harding Park,6873,849,237,117,56,64,181,109,6636,827,1931,359,4705,725
BX10,Pelham Bay-Country Club-City Island,1588,398,72,90,24,50,48,78,1516,399,574,205,942,301
BX13,Co-op City,1413,356,98,97,34,63,64,81,1315,346,492,179,823,282
BX14,East Concourse-Concourse Village,7273,800,409,156,110,77,299,143,6864,763,2081,349,4783,675
BX17,East Tremont,5403,528,325,144,98,81,227,125,5078,520,1315,266,3763,449
BX22,North Riverdale-Fieldston-Riverdale,887,239,63,84,17,44,46,81,824,221,217,101,607,186
BX26,Highbridge,5177,564,408,148,77,66,331,136,4769,552,1557,260,3212,463
BX27,Hunts Point,3048,384,129,86,75,68,54,59,2919,374,848,186,2071,330
BX28,Van Cortlandt Village,7222,730,301,137,99,79,202,120,6921,720,2161,376,4760,630
BX29,Spuyten Duyvil-Kingsbridge,1760,301,163,118,59,59,104,110,1597,286,803,196,794,209
BX30,Kingsbridge Heights,5433,647,257,138,146,112,111,93,5176,629,1496,306,3680,545
BX31,Allerton-Pelham Gardens,1979,351,139,116,128,115,11,45,1840,342,763,180,1077,266
BX33,Longwood,3403,476,299,130,88,68,211,114,3104,468,987,232,2117,349
BX34,Melrose South-Mott Haven North,4606,570,223,115,16,45,207,112,4383,570,1302,290,3081,491
BX35,Morrisania-Melrose,5013,562,385,150,153,94,232,127,4628,542,1447,257,3181,464
BX36,University Heights-Morris Heights,7641,665,572,215,295,134,277,166,7069,650,2195,336,4874,569
BX37,Van Nest-Morris Park-Westchester Square,3607,454,90,79,34,49,56,75,3517,450,1146,228,2371,394
BX39,Mott Haven-Port Morris,4235,493,461,143,117,73,344,131,3774,470,1211,234,2563,391
BX40,Fordham South,4230,608,392,173,165,90,227,148,3838,576,1143,298,2695,493
BX41,Mount Hope,7441,704,447,145,91,73,356,131,6994,686,2214,305,4780,583
BX43,Norwood,5113,800,366,182,52,57,314,177,4747,757,1482,329,3265,643
BX44,Williamsbridge-Olinville,2584,359,267,120,157,100,110,86,2317,350,577,168,1740,318
BX46,Parkchester,2069,357,142,105,25,39,117,101,1927,347,641,198,1286,298
BX49,Pelham Parkway,2337,390,92,78,39,53,53,68,2245,389,764,205,1481,332
