area_id,area_name,b13002d001,b13002d001_moe,b13002d002,b13002d002_moe,b13002d003,b13002d003_moe,b13002d004,b13002d004_moe,b13002d005,b13002d005_moe,b13002d006,b13002d006_moe,b13002d007,b13002d007_moe
BK09,Brooklyn Heights-Cobble Hill,867,232,27,38,16,32,11,35,840,229,434,152,406,161
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2658,390,196,104,167,99,29,61,2462,394,1169,208,1293,299
BK19,Brighton Beach,1159,270,19,40,19,40,0,38,1140,269,551,141,589,193
BK21,Seagate-Coney Island,622,173,17,40,13,39,4,35,605,167,339,93,266,105
BK23,West Brighton,21,33,8,28,8,28,0,27,13,33,13,33,0,27
BK25,Homecrest,1073,243,40,66,40,66,0,48,1033,237,642,171,391,127
BK26,Gravesend,1639,303,71,67,71,67,0,36,1568,297,924,180,644,195
BK27,Bath Beach,2722,372,130,81,120,81,10,41,2592,370,1453,232,1139,236
BK28,Bensonhurst West,9305,694,551,158,495,148,56,78,8754,677,4666,416,4088,458
BK29,Bensonhurst East,6340,546,440,143,401,138,39,56,5900,543,3263,349,2637,357
BK30,Dyker Heights,4877,511,179,101,171,101,8,51,4698,504,2743,306,1955,327
BK31,Bay Ridge,3249,397,130,98,130,98,0,66,3119,397,1623,249,1496,279
BK32,Sunset Park West,2549,360,266,103,259,102,7,50,2283,352,1009,191,1274,286
BK33,Carroll Gardens-Columbia Street-Red Hook,1030,301,40,58,40,58,0,45,990,299,582,182,408,200
BK34,Sunset Park East,10472,688,867,198,813,192,54,76,9605,668,5577,445,4028,468
BK35,Stuyvesant Heights,619,229,11,52,11,52,0,51,608,229,207,108,401,206
BK37,Park Slope-Gowanus,2258,337,77,64,77,64,0,58,2181,334,907,224,1274,256
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1002,188,23,43,23,43,0,42,979,185,407,111,572,157
BK40,Windsor Terrace,601,204,90,61,90,61,0,32,511,198,202,91,309,180
BK41,Kensington-Ocean Parkway,2702,426,270,114,270,114,0,40,2432,417,1329,233,1103,297
BK42,Flatbush,2761,421,73,76,73,76,0,68,2688,419,1405,240,1283,282
