area_id,area_name,b05003g001,b05003g001_moe,b05003g002,b05003g002_moe,b05003g003,b05003g003_moe,b05003g004,b05003g004_moe,b05003g005,b05003g005_moe,b05003g006,b05003g006_moe,b05003g007,b05003g007_moe,b05003g008,b05003g008_moe,b05003g009,b05003g009_moe,b05003g010,b05003g010_moe,b05003g011,b05003g011_moe,b05003g012,b05003g012_moe,b05003g013,b05003g013_moe,b05003g014,b05003g014_moe,b05003g015,b05003g015_moe,b05003g016,b05003g016_moe,b05003g017,b05003g017_moe,b05003g018,b05003g018_moe,b05003g019,b05003g019_moe,b05003g020,b05003g020_moe,b05003g021,b05003g021_moe,b05003g022,b05003g022_moe,b05003g023,b05003g023_moe
BK09,Brooklyn Heights-Cobble Hill,931,314,445,205,228,169,228,169,0,29,0,29,0,29,217,106,100,70,117,83,6,28,111,83,486,173,202,118,202,118,0,29,0,29,0,29,284,128,241,120,43,53,25,46,18,37
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,576,385,294,219,149,168,149,168,0,55,0,55,0,55,145,99,88,81,57,73,50,73,7,55,282,184,62,94,62,94,0,55,0,55,0,55,220,133,141,102,79,91,55,75,24,59
BK19,Brighton Beach,800,360,396,188,106,92,106,92,0,38,0,38,0,38,290,148,75,92,215,122,65,59,150,111,404,215,53,62,45,62,8,39,0,38,8,39,351,202,39,58,312,197,49,47,263,192
BK21,Seagate-Coney Island,622,350,284,224,103,122,103,122,0,38,0,38,0,38,181,122,171,121,10,39,10,39,0,38,338,176,192,130,192,130,0,38,0,38,0,38,146,80,107,78,39,50,39,50,0,38
BK23,West Brighton,84,74,54,54,30,45,30,45,0,27,0,27,0,27,24,35,17,31,7,26,7,26,0,27,30,38,17,33,17,33,0,27,0,27,0,27,13,31,0,27,13,31,13,31,0,27
BK25,Homecrest,562,432,278,227,48,66,5,47,43,66,24,60,19,56,230,216,21,53,209,215,139,148,70,88,284,216,128,136,10,49,118,136,98,133,20,56,156,112,11,49,145,112,84,92,61,79
BK26,Gravesend,357,168,134,96,46,48,46,48,0,36,0,36,0,36,88,80,68,73,20,44,20,44,0,36,223,124,143,82,143,82,0,36,0,36,0,36,80,64,61,58,19,44,0,36,19,44
BK27,Bath Beach,318,150,185,102,33,46,33,46,0,40,0,40,0,40,152,84,105,75,47,55,26,44,21,52,133,75,64,56,64,56,0,40,0,40,0,40,69,52,22,40,47,50,47,50,0,40
BK28,Bensonhurst West,707,223,326,129,113,93,113,93,0,64,0,64,0,64,213,98,132,86,81,78,63,72,18,69,381,143,215,119,206,119,9,63,0,64,9,63,166,85,68,73,98,70,62,71,36,63
BK29,Bensonhurst East,864,393,487,242,236,143,172,118,64,70,17,56,47,66,251,125,90,82,161,108,80,80,81,87,377,181,143,108,75,71,68,96,18,57,50,92,234,107,64,60,170,100,81,80,89,76
BK30,Dyker Heights,426,203,202,132,62,62,57,62,5,50,0,51,5,50,140,125,105,95,35,60,22,60,13,50,224,115,101,72,89,70,12,53,12,53,0,51,123,92,40,52,83,90,63,75,20,54
BK31,Bay Ridge,1888,497,885,273,409,178,307,123,102,140,0,66,102,140,476,162,206,98,270,131,95,80,175,121,1003,301,606,229,569,225,37,79,11,68,26,77,397,141,211,96,186,120,76,79,110,113
