area_id,area_name,b99104001,b99104001_moe,b99104002,b99104002_moe,b99104003,b99104003_moe,b99104004,b99104004_moe,b99104005,b99104005_moe,b99104006,b99104006_moe,b99104007,b99104007_moe
BX13,Co-op City,30122,-1,1324,-1,487,-1,70,-1,417,-1,837,-1,28798,-1
BX14,East Concourse-Concourse Village,33549,-1,2312,-1,800,-1,93,-1,707,-1,1512,-1,31237,-1
BX17,East Tremont,20434,-1,1451,-1,660,-1,83,-1,577,-1,791,-1,18983,-1
BX22,North Riverdale-Fieldston-Riverdale,17159,-1,212,-1,35,-1,0,-1,35,-1,177,-1,16947,-1
BX26,Highbridge,18690,-1,1088,-1,502,-1,76,-1,426,-1,586,-1,17602,-1
BX27,Hunts Point,13015,-1,774,-1,369,-1,11,-1,358,-1,405,-1,12241,-1
BX28,Van Cortlandt Village,28449,-1,1629,-1,505,-1,142,-1,363,-1,1124,-1,26820,-1
BX29,Spuyten Duyvil-Kingsbridge,20052,-1,284,-1,89,-1,10,-1,79,-1,195,-1,19768,-1
BX30,Kingsbridge Heights,16817,-1,969,-1,360,-1,15,-1,345,-1,609,-1,15848,-1
BX31,Allerton-Pelham Gardens,20889,-1,1324,-1,209,-1,51,-1,158,-1,1115,-1,19565,-1
BX33,Longwood,11986,-1,874,-1,297,-1,70,-1,227,-1,577,-1,11112,-1
BX34,Melrose South-Mott Haven North,17836,-1,1570,-1,628,-1,109,-1,519,-1,942,-1,16266,-1
BX35,Morrisania-Melrose,18633,-1,1632,-1,606,-1,132,-1,474,-1,1026,-1,17001,-1
BX36,University Heights-Morris Heights,27317,-1,2154,-1,745,-1,152,-1,593,-1,1409,-1,25163,-1
BX37,Van Nest-Morris Park-Westchester Square,16830,-1,630,-1,66,-1,44,-1,22,-1,564,-1,16200,-1
BX39,Mott Haven-Port Morris,25856,-1,1390,-1,601,-1,106,-1,495,-1,789,-1,24466,-1
BX40,Fordham South,11865,-1,1117,-1,328,-1,57,-1,271,-1,789,-1,10748,-1
BX41,Mount Hope,26631,-1,1797,-1,720,-1,216,-1,504,-1,1077,-1,24834,-1
BX43,Norwood,21387,-1,1569,-1,614,-1,96,-1,518,-1,955,-1,19818,-1
BX44,Williamsbridge-Olinville,33978,-1,2145,-1,815,-1,163,-1,652,-1,1330,-1,31833,-1
BX46,Parkchester,18176,-1,781,-1,116,-1,10,-1,106,-1,665,-1,17395,-1
BX49,Pelham Parkway,18975,-1,1043,-1,245,-1,16,-1,229,-1,798,-1,17932,-1
BX52,Schuylerville-Throgs Neck-Edgewater Park,27852,-1,807,-1,210,-1,30,-1,180,-1,597,-1,27045,-1
BX55,Soundview-Bruckner,18624,-1,1246,-1,620,-1,283,-1,337,-1,626,-1,17378,-1
BX59,Westchester-Unionport,14644,-1,920,-1,231,-1,102,-1,129,-1,689,-1,13724,-1
BX62,Woodlawn-Wakefield,26875,-1,2019,-1,745,-1,116,-1,629,-1,1274,-1,24856,-1
BX63,West Concourse,20381,-1,1280,-1,516,-1,122,-1,394,-1,764,-1,19101,-1
BX75,Crotona Park East,9672,-1,552,-1,301,-1,29,-1,272,-1,251,-1,9120,-1
BX98,Rikers Island,4676,-1,0,-1,0,-1,0,-1,0,-1,0,-1,4676,-1
BX99,park-cemetery-etc-Bronx,801,-1,45,-1,5,-1,0,-1,5,-1,40,-1,756,-1
MN01,Marble Hill-Inwood,29909,-1,1641,-1,415,-1,69,-1,346,-1,1226,-1,28268,-1
MN03,Central Harlem North-Polo Grounds,45284,-1,2088,-1,1067,-1,183,-1,884,-1,1021,-1,43196,-1
MN04,Hamilton Heights,28601,-1,1534,-1,924,-1,201,-1,723,-1,610,-1,27067,-1
MN06,Manhattanville,12614,-1,561,-1,280,-1,9,-1,271,-1,281,-1,12053,-1
MN09,Morningside Heights,27286,-1,431,-1,177,-1,9,-1,168,-1,254,-1,26855,-1
MN11,Central Harlem South,26081,-1,1064,-1,435,-1,88,-1,347,-1,629,-1,25017,-1
MN12,Upper West Side,93546,-1,1416,-1,342,-1,46,-1,296,-1,1074,-1,92130,-1
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,47179,-1,434,-1,162,-1,2,-1,160,-1,272,-1,46745,-1
MN14,Lincoln Square,42286,-1,398,-1,187,-1,0,-1,187,-1,211,-1,41888,-1
MN15,Clinton,28317,-1,176,-1,94,-1,51,-1,43,-1,82,-1,28141,-1
MN17,Midtown-Midtown South,17992,-1,35,-1,0,-1,0,-1,0,-1,35,-1,17957,-1
MN19,Turtle Bay-East Midtown,34023,-1,26,-1,25,-1,25,-1,0,-1,1,-1,33997,-1
MN20,Murray Hill-Kips Bay,28222,-1,364,-1,170,-1,78,-1,92,-1,194,-1,27858,-1
MN21,Gramercy,16170,-1,0,-1,0,-1,0,-1,0,-1,0,-1,16170,-1
MN22,East Village,24409,-1,228,-1,83,-1,0,-1,83,-1,145,-1,24181,-1
MN23,West Village,42895,-1,356,-1,33,-1,14,-1,19,-1,323,-1,42539,-1
MN24,SoHo-TriBeCa-Civic Center-Little Italy,24046,-1,507,-1,37,-1,0,-1,37,-1,470,-1,23539,-1
MN25,Battery Park City-Lower Manhattan,21564,-1,62,-1,0,-1,0,-1,0,-1,62,-1,21502,-1
MN27,Chinatown,30364,-1,1160,-1,247,-1,38,-1,209,-1,913,-1,29204,-1
MN28,Lower East Side,48547,-1,2622,-1,569,-1,168,-1,401,-1,2053,-1,45925,-1
MN31,Lenox Hill-Roosevelt Island,55113,-1,182,-1,58,-1,33,-1,25,-1,124,-1,54931,-1
MN32,Yorkville,51786,-1,293,-1,94,-1,76,-1,18,-1,199,-1,51493,-1
MN33,East Harlem South,34572,-1,1585,-1,706,-1,91,-1,615,-1,879,-1,32987,-1
MN34,East Harlem North,31512,-1,2092,-1,941,-1,134,-1,807,-1,1151,-1,29420,-1
MN35,Washington Heights North,42013,-1,2304,-1,637,-1,142,-1,495,-1,1667,-1,39709,-1
MN36,Washington Heights South,52635,-1,3314,-1,1181,-1,155,-1,1026,-1,2133,-1,49321,-1
MN40,Upper East Side-Carnegie Hill,42156,-1,203,-1,57,-1,0,-1,57,-1,146,-1,41953,-1
MN50,Stuyvesant Town-Cooper Village,13743,-1,144,-1,41,-1,0,-1,41,-1,103,-1,13599,-1
MN99,park-cemetery-etc-Manhattan,1269,-1,0,-1,0,-1,0,-1,0,-1,0,-1,1269,-1
QN01,South Jamaica,20039,-1,1689,-1,631,-1,106,-1,525,-1,1058,-1,18350,-1
QN02,Springfield Gardens North,16787,-1,1345,-1,516,-1,67,-1,449,-1,829,-1,15442,-1
QN03,Springfield Gardens South-Brookville,11183,-1,837,-1,110,-1,12,-1,98,-1,727,-1,10346,-1
QN05,Rosedale,15619,-1,1711,-1,548,-1,137,-1,411,-1,1163,-1,13908,-1
QN06,Jamaica Estates-Holliswood,16950,-1,613,-1,72,-1,19,-1,53,-1,541,-1,16337,-1
QN07,Hollis,12602,-1,1046,-1,161,-1,33,-1,128,-1,885,-1,11556,-1
QN08,St. Albans,30838,-1,2396,-1,641,-1,197,-1,444,-1,1755,-1,28442,-1
