area_id,area_name,b25063001,b25063001_moe,b25063002,b25063002_moe,b25063003,b25063003_moe,b25063004,b25063004_moe,b25063005,b25063005_moe,b25063006,b25063006_moe,b25063007,b25063007_moe,b25063008,b25063008_moe,b25063009,b25063009_moe,b25063010,b25063010_moe,b25063011,b25063011_moe,b25063012,b25063012_moe,b25063013,b25063013_moe,b25063014,b25063014_moe,b25063015,b25063015_moe,b25063016,b25063016_moe,b25063017,b25063017_moe,b25063018,b25063018_moe,b25063019,b25063019_moe,b25063020,b25063020_moe,b25063021,b25063021_moe,b25063022,b25063022_moe,b25063023,b25063023_moe,b25063024,b25063024_moe
BK09,Brooklyn Heights-Cobble Hill,6389,393,6218,388,0,29,14,34,0,29,41,37,44,77,57,70,37,41,20,34,19,32,51,49,37,41,50,45,67,57,123,84,60,51,238,132,198,108,594,200,554,163,1547,281,2467,270,171,98
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12387,499,11899,493,40,64,13,58,173,132,557,170,205,128,311,119,197,106,121,91,236,114,300,127,496,156,438,171,337,125,327,110,290,108,630,172,990,235,2504,322,2086,299,1261,269,387,146,488,165
BK19,Brighton Beach,9717,388,9374,383,0,38,0,38,182,96,653,162,208,116,243,97,248,117,189,94,125,71,196,91,174,84,78,70,214,109,235,101,166,95,777,178,802,196,2421,313,1741,294,614,160,108,79,343,144
BK21,Seagate-Coney Island,9359,314,9162,310,20,41,67,70,113,81,1538,263,351,115,547,155,319,115,265,127,436,132,502,163,253,107,462,160,302,132,293,124,311,125,558,173,426,138,652,172,738,188,847,211,162,98,197,125
BK23,West Brighton,4982,323,4940,322,0,27,0,27,9,28,102,82,81,79,135,89,31,34,90,69,41,32,149,87,217,110,215,95,177,78,375,134,131,68,631,176,526,151,1273,289,387,137,274,130,96,60,42,42
BK25,Homecrest,9148,407,8731,412,0,48,0,48,4,47,140,68,85,66,84,53,27,53,120,90,87,67,86,75,173,108,192,112,143,82,361,133,205,78,554,144,984,199,2344,278,1701,257,1180,229,261,104,417,138
BK26,Gravesend,7063,382,6710,374,11,36,42,73,113,99,448,140,221,116,174,96,183,123,147,105,195,103,206,119,252,110,241,97,153,89,299,157,193,107,474,148,788,218,1167,251,897,223,463,150,43,57,353,133
BK27,Bath Beach,6253,335,5903,332,0,40,0,40,113,110,31,45,12,42,123,71,132,110,89,76,101,76,75,68,113,65,58,63,119,78,124,68,190,104,415,150,566,148,1696,263,978,205,854,204,114,65,350,136
BK28,Bensonhurst West,19185,553,18362,559,0,64,0,64,35,68,255,102,71,79,208,97,97,81,256,123,78,71,248,110,250,113,432,145,269,129,450,150,612,162,1542,254,1996,292,5781,459,3380,371,2055,279,347,134,823,202
BK29,Bensonhurst East,13862,481,13091,487,0,51,31,60,117,77,133,65,69,60,167,73,113,69,78,72,128,88,271,116,161,88,355,135,230,106,377,139,402,136,1039,210,1427,244,4260,407,2340,298,1152,215,241,108,771,182
BK30,Dyker Heights,7903,361,7488,359,9,52,8,51,4,50,10,52,15,50,49,84,16,51,103,79,17,51,21,59,30,51,150,80,184,93,137,85,73,65,491,134,787,178,2145,273,1509,252,1385,238,345,128,415,129
BK31,Bay Ridge,22586,572,22098,577,0,66,17,66,28,71,341,124,129,91,189,91,158,94,129,91,119,93,120,79,144,85,170,92,358,133,200,87,419,134,1151,207,1444,229,6135,460,5094,425,4393,411,1360,246,488,138
BK32,Sunset Park West,13046,412,12740,420,0,49,22,57,66,76,204,90,162,83,70,58,148,85,185,103,130,79,309,125,263,115,394,153,275,116,333,135,283,114,673,159,833,192,2698,295,2533,301,2475,303,684,169,306,118
BK33,Carroll Gardens-Columbia Street-Red Hook,12960,472,12748,470,30,65,26,61,94,71,701,180,432,170,270,134,135,98,203,113,135,87,154,89,379,150,501,172,184,107,196,103,188,111,357,124,405,144,920,214,977,198,2561,317,3900,377,212,128
BK34,Sunset Park East,16347,431,15874,442,0,59,48,89,40,73,364,139,225,96,155,96,191,87,141,93,121,77,235,104,427,144,555,156,284,120,409,142,414,133,1071,204,1455,265,3728,370,3017,341,2594,332,400,143,473,141
BK35,Stuyvesant Heights,18752,557,18245,567,35,60,65,71,315,122,1029,210,425,153,439,156,421,143,485,154,351,132,358,120,495,162,644,180,255,102,660,174,755,201,1070,232,1223,261,3646,407,2758,345,2199,314,617,178,507,157
BK37,Park Slope-Gowanus,19026,673,18567,665,0,58,28,64,67,79,75,76,58,70,169,104,140,112,60,64,27,59,132,92,91,77,144,88,77,66,200,91,328,142,591,181,593,185,1891,307,2151,327,4629,441,7116,535,459,167
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11410,359,11235,359,8,42,60,64,186,98,918,175,481,143,366,124,358,123,301,120,186,89,367,120,360,146,398,142,202,109,188,88,261,129,345,121,243,96,540,141,572,144,1470,208,3425,306,175,94
BK40,Windsor Terrace,5223,326,4954,333,0,32,0,32,115,106,70,49,45,53,35,40,52,54,0,32,15,35,19,38,54,64,58,63,36,45,123,63,64,47,272,114,225,127,790,173,838,204,1249,225,894,174,269,154
BK41,Kensington-Ocean Parkway,8596,397,8412,389,9,39,11,42,40,51,133,86,15,38,125,84,36,49,70,74,47,58,43,44,80,65,40,41,263,151,229,132,226,91,363,122,796,216,2081,299,1751,281,1510,260,544,156,184,96
BK42,Flatbush,30897,551,30099,572,24,76,92,92,85,85,366,133,256,120,429,150,120,89,165,101,114,87,138,88,258,111,442,158,483,148,842,199,686,186,2710,361,3165,408,9793,637,5690,526,3533,413,708,188,798,224
BK43,Midwood,11994,412,11599,410,0,51,32,58,112,65,405,118,181,87,73,64,106,66,107,65,34,65,95,63,102,65,201,110,106,67,280,106,238,97,551,141,1073,203,3639,349,2116,267,1788,285,360,118,395,143
BK44,Madison,8226,335,7881,329,0,46,6,48,121,87,84,58,126,76,133,63,118,76,78,68,13,49,88,74,48,59,119,63,146,85,212,85,182,97,460,134,925,180,2242,290,1651,239,852,191,277,99,345,122
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4288,372,3925,358,0,55,0,55,8,55,20,61,10,56,15,55,6,54,28,58,0,55,45,68,25,58,42,58,38,57,33,60,38,64,160,92,298,114,815,195,969,210,1041,224,334,146,363,135
BK46,Ocean Parkway South,3710,270,3443,268,5,35,5,35,0,36,47,43,19,40,19,37,35,41,35,42,32,43,11,34,46,52,18,37,59,43,86,52,102,68,159,71,208,82,823,150,729,159,624,155,381,132,267,102
BK50,Canarsie,14114,543,13827,540,0,70,46,81,136,99,476,137,247,114,192,102,172,101,122,91,219,113,276,114,212,110,460,142,267,115,167,100,308,126,743,181,607,148,2448,310,3247,369,3112,360,370,137,287,114
BK58,Flatlands,9408,456,9129,455,0,62,31,77,48,72,288,119,75,83,149,90,80,84,131,90,119,96,191,101,142,98,241,108,113,84,261,125,299,132,507,156,899,198,2413,306,1604,251,1250,223,288,105,279,117
BK60,Prospect Lefferts Gardens-Wingate,21760,505,21306,517,0,58,35,63,82,73,134,80,182,94,190,95,123,87,203,123,130,99,177,104,171,118,204,89,316,149,649,199,715,208,2050,334,3363,414,6610,527,3619,439,1926,312,427,155,454,176
BK61,Crown Heights North,34777,680,33906,698,48,77,169,111,698,209,1113,210,935,217,845,206,670,197,635,176,550,175,815,227,752,195,839,194,1045,233,928,243,1103,236,2647,362,3027,381,7196,569,4654,469,4081,407,1156,206,871,217
BK63,Crown Heights South,12459,338,12250,352,9,40,27,52,59,65,256,126,213,107,49,47,108,83,94,83,207,91,152,92,99,74,218,94,334,131,387,129,657,188,1081,217,1327,232,3468,367,1957,290,1133,258,415,125,209,107
BK64,Prospect Heights,6316,353,6189,357,7,31,40,53,0,32,42,48,81,70,11,33,29,34,45,56,0,32,51,60,9,33,118,120,42,49,117,80,132,71,245,114,287,126,926,210,731,196,1591,283,1685,278,127,100
BK68,Fort Greene,9029,378,8867,383,17,43,40,58,134,81,597,160,377,144,370,139,168,81,173,90,201,95,276,95,118,68,225,104,49,45,180,89,179,102,395,144,420,135,941,203,693,156,1651,265,1663,238,162,97
BK69,Clinton Hill,9919,432,9597,437,30,48,0,40,23,43,115,81,101,75,109,64,95,67,95,79,31,49,111,80,101,61,165,84,209,105,323,119,239,99,396,124,746,191,1383,228,1249,222,2226,285,1850,253,322,129
BK72,Williamsburg,7152,255,7016,261,0,36,89,82,178,96,691,177,275,109,304,114,327,127,259,104,192,115,245,114,94,60,340,141,230,98,96,60,371,136,304,113,307,117,748,170,926,179,796,162,244,84,136,72
BK73,North Side-South Side,16306,451,15914,460,23,61,38,57,185,101,670,171,327,124,294,124,291,136,244,100,246,103,374,142,389,142,526,170,389,152,273,131,470,161,806,187,764,177,1533,270,1164,223,2659,348,4249,382,392,143
BK75,Bedford,19441,507,19078,516,59,67,138,93,323,115,1109,199,424,137,492,146,422,129,580,158,211,100,316,113,562,160,605,157,550,156,815,181,674,170,1080,201,1186,230,3246,368,2206,314,2977,342,1103,191,363,141
