area_id,area_name,b18101h001,b18101h001_moe,b18101h002,b18101h002_moe,b18101h003,b18101h003_moe,b18101h004,b18101h004_moe,b18101h005,b18101h005_moe,b18101h006,b18101h006_moe,b18101h007,b18101h007_moe,b18101h008,b18101h008_moe,b18101h009,b18101h009_moe,b18101h010,b18101h010_moe
BK09,Brooklyn Heights-Cobble Hill,17981,973,2308,385,63,50,2245,385,13432,749,658,218,12774,738,2241,298,524,149,1717,253
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,41929,1463,6421,649,89,69,6332,652,26521,1132,2063,302,24458,1116,8987,576,4779,454,4208,370
BK19,Brighton Beach,22046,1115,2841,532,79,71,2762,529,13137,812,1019,257,12118,800,6068,441,4390,410,1678,278
BK21,Seagate-Coney Island,9133,903,1338,382,26,38,1312,378,4893,617,827,213,4066,572,2902,345,1631,263,1271,261
BK23,West Brighton,14910,739,1196,254,13,31,1183,251,7927,775,922,216,7005,754,5787,456,2704,312,3083,427
BK25,Homecrest,33484,1410,8081,799,190,101,7891,786,19302,910,1292,237,18010,903,6101,467,2500,300,3601,380
BK26,Gravesend,14610,863,1596,320,41,44,1555,323,7915,672,927,210,6988,653,5099,456,2107,305,2992,424
BK27,Bath Beach,15532,1006,2027,361,36,54,1991,345,9257,812,817,189,8440,776,4248,389,1644,229,2604,345
BK28,Bensonhurst West,40512,1595,6668,711,126,83,6542,696,24227,1143,1693,248,22534,1132,9617,693,3814,487,5803,500
BK29,Bensonhurst East,28799,1285,3733,473,39,58,3694,467,17615,1006,1428,243,16187,986,7451,514,3025,303,4426,458
BK30,Dyker Heights,23501,1051,3834,430,42,50,3792,427,14181,840,987,193,13194,816,5486,427,1688,246,3798,373
BK31,Bay Ridge,55668,1872,9965,955,165,102,9800,948,36147,1260,2481,362,33666,1222,9556,534,3107,322,6449,449
BK32,Sunset Park West,9275,786,1209,298,6,49,1203,298,7054,630,439,126,6615,607,1012,238,577,180,435,151
BK33,Carroll Gardens-Columbia Street-Red Hook,23014,1037,3699,470,67,74,3632,462,17199,772,713,187,16486,756,2116,319,733,198,1383,264
BK34,Sunset Park East,10086,958,2181,507,30,63,2151,506,6459,599,477,160,5982,585,1446,244,653,150,793,165
BK35,Stuyvesant Heights,2977,570,375,205,0,51,375,205,2483,470,76,68,2407,466,119,80,82,69,37,64
BK37,Park Slope-Gowanus,48266,1646,7809,703,121,74,7688,702,36959,1224,1167,246,35792,1216,3498,379,948,200,2550,306
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15033,818,2196,331,33,65,2163,324,12037,639,216,85,11821,634,800,148,217,112,583,122
BK40,Windsor Terrace,14897,880,2389,393,20,35,2369,393,10884,630,495,160,10389,638,1624,222,658,148,966,180
BK41,Kensington-Ocean Parkway,18436,1310,4733,716,79,62,4654,713,11350,829,1097,248,10253,795,2353,289,1273,249,1080,190
BK42,Flatbush,22618,1464,4974,790,142,112,4832,783,14322,972,1251,237,13071,936,3322,346,1775,251,1547,233
BK43,Midwood,39858,1558,10537,953,178,83,10359,950,23342,999,1777,325,21565,1010,5979,398,2788,301,3191,326
BK44,Madison,28067,1254,5479,683,49,62,5430,679,17716,861,1261,247,16455,845,4872,374,2427,254,2445,300
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,35334,1358,8405,765,181,102,8224,760,21148,890,1236,217,19912,890,5781,430,1931,258,3850,370
BK46,Ocean Parkway South,16702,1067,4922,675,39,43,4883,674,9362,631,427,123,8935,625,2418,236,1182,175,1236,177
BK50,Canarsie,4661,586,359,182,0,70,359,182,2531,397,386,133,2145,365,1771,242,791,166,980,176
BK58,Flatlands,12342,879,3127,433,17,63,3110,432,7004,612,569,134,6435,582,2211,268,916,163,1295,216
BK60,Prospect Lefferts Gardens-Wingate,6994,1033,1985,565,24,67,1961,562,4731,612,285,117,4446,581,278,124,126,87,152,91
BK61,Crown Heights North,10781,1010,1792,489,11,68,1781,490,8561,763,343,127,8218,749,428,135,252,107,176,95
BK63,Crown Heights South,10737,1157,4251,706,58,55,4193,699,6144,675,134,86,6010,675,342,135,89,62,253,114
BK64,Prospect Heights,10205,829,1168,294,11,32,1157,292,8689,699,85,52,8604,701,348,123,82,58,266,101
BK68,Fort Greene,7072,625,830,261,15,43,815,260,5961,495,124,64,5837,494,281,101,94,61,187,83
BK69,Clinton Hill,12969,1011,1667,358,0,40,1667,358,10975,868,148,71,10827,865,327,109,31,41,296,110
BK72,Williamsburg,27956,1564,14497,1167,151,87,14346,1144,12299,649,488,157,11811,653,1160,215,723,179,437,143
BK73,North Side-South Side,24365,1275,4531,735,107,89,4424,721,18943,944,580,172,18363,936,891,209,300,108,591,183
BK75,Bedford,18234,1119,8969,719,79,74,8890,718,9131,643,304,124,8827,621,134,83,62,63,72,78
BK76,Greenpoint,24066,1084,2293,407,14,42,2279,406,19574,899,653,154,18921,889,2199,281,864,172,1335,231
BK77,Bushwick North,5964,655,319,221,9,55,310,220,5296,559,280,85,5016,552,349,119,115,65,234,105
BK78,Bushwick South,6513,752,177,95,0,56,177,95,6119,699,290,126,5829,682,217,200,138,193,79,76
BK79,Ocean Hill,586,291,221,189,0,38,221,189,296,142,32,49,264,139,69,51,42,40,27,46
BK81,Brownsville,384,177,101,84,13,55,88,74,242,122,63,75,179,101,41,62,20,54,21,59
BK82,East New York,1452,352,160,138,42,93,118,117,936,270,238,123,698,222,356,144,274,123,82,86
BK83,Cypress Hills-City Line,2690,557,650,248,0,49,650,248,1634,348,171,81,1463,327,406,140,199,95,207,106
BK85,East New York (Pennsylvania Ave),438,288,111,121,0,36,111,121,320,184,17,43,303,182,7,38,0,36,7,38
BK88,Borough Park,81058,2837,34148,1966,409,122,33739,1950,38898,1404,2364,338,36534,1357,8012,558,4145,447,3867,362
BK90,East Williamsburg,14984,811,884,222,0,40,884,222,12662,759,609,176,12053,754,1438,228,482,129,956,198
BK91,East Flatbush-Farragut,1075,345,330,194,0,54,330,194,614,175,61,73,553,171,131,70,34,49,97,65
BK93,Starrett City,3749,552,124,101,30,34,94,95,1790,464,388,219,1402,396,1835,267,1100,253,735,239
BK95,Erasmus,298,140,19,38,5,35,14,39,251,122,9,34,242,121,28,40,0,36,28,40
BK96,Rugby-Remsen Village,669,292,107,170,0,54,107,170,381,176,63,65,318,164,181,108,84,94,97,70
BK99,park-cemetery-etc-Brooklyn,240,225,79,133,0,40,79,133,144,111,57,65,87,73,17,46,17,46,0,40
BX01,Claremont-Bathgate,251,129,37,56,0,40,37,56,196,102,33,46,163,98,18,41,6,38,12,42
BX03,Eastchester-Edenwald-Baychester,929,361,107,118,7,46,100,116,647,321,64,50,583,314,175,74,51,49,124,59
BX05,Bedford Park-Fordham North,3951,799,716,309,0,50,716,309,2329,485,542,206,1787,423,906,237,385,151,521,182
BX06,Belmont,4876,721,666,280,0,34,666,280,3487,545,214,94,3273,538,723,185,414,126,309,123
BX07,Bronxdale,4937,637,630,191,52,64,578,170,2913,516,324,216,2589,432,1394,240,1001,212,393,122
BX08,West Farms-Bronx River,696,270,189,157,0,40,189,157,353,164,69,67,284,152,154,69,63,57,91,60
BX09,Soundview-Castle Hill-Clason Point-Harding Park,656,193,134,89,18,52,116,81,344,123,71,67,273,114,178,75,71,52,107,63
BX10,Pelham Bay-Country Club-City Island,16006,1110,2147,479,90,74,2057,466,9759,911,788,225,8971,858,4100,389,1640,294,2460,296
BX13,Co-op City,3469,521,61,52,0,33,61,52,1733,429,313,150,1420,368,1675,303,793,204,882,252
BX14,East Concourse-Concourse Village,1054,434,206,159,0,51,206,159,695,373,76,66,619,371,153,97,59,75,94,79
BX17,East Tremont,835,441,263,226,0,45,263,226,536,249,150,89,386,223,36,47,15,44,21,44
BX22,North Riverdale-Fieldston-Riverdale,17430,1024,2891,485,38,49,2853,481,10664,706,496,146,10168,701,3875,349,1379,264,2496,281
BX26,Highbridge,198,110,8,41,0,42,8,41,177,99,48,55,129,81,13,42,13,42,0,42
BX27,Hunts Point,257,107,39,65,8,38,31,55,203,76,38,48,165,72,15,37,10,38,5,37
BX28,Van Cortlandt Village,5237,624,702,256,41,61,661,244,3003,441,323,108,2680,431,1532,252,521,140,1011,195
BX29,Spuyten Duyvil-Kingsbridge,14008,764,2112,322,68,80,2044,311,8238,591,664,171,7574,582,3658,352,1354,223,2304,281
BX30,Kingsbridge Heights,648,248,30,72,0,38,30,72,203,145,66,58,137,113,415,131,247,97,168,89
BX31,Allerton-Pelham Gardens,8831,904,1695,446,49,67,1646,427,4782,584,622,167,4160,530,2354,269,846,175,1508,221
BX33,Longwood,390,230,130,146,8,34,122,146,236,102,117,82,119,61,24,49,13,40,11,46
BX34,Melrose South-Mott Haven North,876,409,351,284,24,50,327,279,507,237,84,69,423,227,18,38,14,41,4,39
BX35,Morrisania-Melrose,383,133,27,48,10,41,17,39,328,118,72,65,256,109,28,44,11,45,17,39
BX36,University Heights-Morris Heights,848,327,164,155,0,51,164,155,640,229,198,91,442,168,44,55,26,52,18,53
BX37,Van Nest-Morris Park-Westchester Square,7500,780,826,279,0,42,826,279,4693,606,505,142,4188,565,1981,288,708,144,1273,258
BX39,Mott Haven-Port Morris,892,289,174,126,10,50,164,123,659,230,121,87,538,211,59,57,14,52,45,54
BX40,Fordham South,403,156,0,32,0,32,0,32,220,122,90,81,130,95,183,107,82,82,101,70
BX41,Mount Hope,680,228,129,93,17,53,112,84,508,183,136,101,372,138,43,51,12,50,31,52
BX43,Norwood,4952,782,710,261,18,47,692,256,3410,573,646,176,2764,517,832,191,224,86,608,179
BX44,Williamsbridge-Olinville,1324,351,90,102,19,59,71,99,758,278,112,71,646,273,476,144,177,86,299,118
BX46,Parkchester,1118,293,117,101,0,36,117,101,728,211,99,74,629,201,273,122,142,87,131,78
BX49,Pelham Parkway,11173,945,1858,392,38,74,1820,390,6537,660,568,184,5969,613,2778,366,1138,250,1640,270
BX52,Schuylerville-Throgs Neck-Edgewater Park,21461,1338,2659,465,32,53,2627,464,13827,1020,1194,292,12633,979,4975,497,1961,303,3014,378
BX55,Soundview-Bruckner,539,183,95,83,0,40,95,83,241,111,25,39,216,110,203,88,82,58,121,65
BX59,Westchester-Unionport,1478,328,125,128,0,36,125,128,891,217,131,62,760,212,462,135,185,85,277,99
BX62,Woodlawn-Wakefield,7494,609,1259,286,35,53,1224,286,4569,458,470,159,4099,419,1666,245,602,129,1064,195
