area_id,area_name,c27012001,c27012001_moe,c27012002,c27012002_moe,c27012003,c27012003_moe,c27012004,c27012004_moe,c27012005,c27012005_moe,c27012006,c27012006_moe,c27012007,c27012007_moe,c27012008,c27012008_moe,c27012009,c27012009_moe,c27012010,c27012010_moe,c27012011,c27012011_moe,c27012012,c27012012_moe,c27012013,c27012013_moe,c27012014,c27012014_moe,c27012015,c27012015_moe,c27012016,c27012016_moe,c27012017,c27012017_moe,c27012018,c27012018_moe,c27012019,c27012019_moe,c27012020,c27012020_moe,c27012021,c27012021_moe,c27012022,c27012022_moe,c27012023,c27012023_moe,c27012024,c27012024_moe,c27012025,c27012025_moe,c27012026,c27012026_moe,c27012027,c27012027_moe,c27012028,c27012028_moe,c27012029,c27012029_moe,c27012030,c27012030_moe,c27012031,c27012031_moe,c27012032,c27012032_moe,c27012033,c27012033_moe,c27012034,c27012034_moe,c27012035,c27012035_moe,c27012036,c27012036_moe,c27012037,c27012037_moe,c27012038,c27012038_moe,c27012039,c27012039_moe,c27012040,c27012040_moe,c27012041,c27012041_moe,c27012042,c27012042_moe,c27012043,c27012043_moe,c27012044,c27012044_moe,c27012045,c27012045_moe,c27012046,c27012046_moe
BK09,Brooklyn Heights-Cobble Hill,20492,965,10523,628,10148,626,9682,622,9102,640,834,232,0,29,18,29,466,165,375,135,375,135,271,112,38,43,312,114,13,33,0,29,4701,557,4240,547,3724,518,2927,461,825,223,78,72,184,96,516,176,461,130,461,130,245,90,147,88,454,130,16,31,0,29,5268,661,3223,537,2991,523,2099,471,690,197,222,104,269,132,232,106,2045,312,2037,312,957,221,561,165,1974,312,228,114,8,31
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,50004,1222,21222,909,20505,905,19726,906,17833,913,1206,248,159,99,1295,281,779,215,717,155,701,153,482,131,45,57,512,125,78,75,16,59,7629,647,7104,633,6156,570,3972,455,671,175,147,107,1795,360,948,242,525,123,514,122,251,88,112,58,476,113,72,68,11,55,21153,952,11183,766,9730,719,4930,555,984,214,999,192,4084,487,1453,313,9970,649,9793,642,2595,324,1825,298,9757,640,3821,483,177,113
BK19,Brighton Beach,26276,980,10061,679,9772,673,8617,660,7730,643,418,138,7,38,770,188,1155,265,289,111,257,99,228,89,27,41,133,74,9,39,32,60,3831,456,3577,444,2737,361,1597,290,247,100,56,71,953,236,840,251,254,91,254,91,103,57,61,54,243,89,58,53,0,38,12384,755,6159,641,4531,598,2311,452,352,140,320,122,2216,404,1628,357,6225,447,6177,446,796,207,513,172,6139,444,4363,391,48,55
BK21,Seagate-Coney Island,22951,917,6775,612,6555,612,5727,561,4546,524,376,150,5,38,1082,282,828,252,220,93,206,86,174,82,38,51,163,78,52,48,14,42,4256,482,4019,473,3210,439,1595,369,98,55,101,69,1638,299,809,216,237,99,237,99,137,81,7,37,200,86,72,59,0,38,11920,754,6720,675,5857,639,1799,358,470,174,728,199,3902,574,863,220,5200,478,5188,480,690,218,345,116,5188,480,3953,460,12,40
BK23,West Brighton,14123,557,4983,595,4680,589,4331,558,3884,544,324,122,24,33,177,95,349,169,303,130,303,130,267,124,15,33,151,79,9,28,0,27,1798,308,1487,283,1215,241,888,204,105,68,32,38,239,101,272,162,311,123,311,123,141,75,36,40,270,112,8,27,0,27,7342,496,1990,347,1661,318,865,251,184,84,279,110,596,176,329,147,5352,450,5352,450,1894,413,864,208,5352,450,2172,364,0,27
BK25,Homecrest,31757,940,11981,664,11600,655,10097,610,8317,570,785,162,56,68,1325,258,1503,326,381,106,331,92,196,72,90,64,227,69,22,51,50,74,5780,509,5518,500,4376,433,2695,349,553,143,60,72,1421,255,1142,248,262,79,262,79,124,58,48,50,242,77,44,56,0,48,13996,679,7671,550,6611,514,3651,420,869,195,482,134,2294,300,1060,223,6325,491,6238,488,1730,343,928,195,6213,488,2386,327,87,73
BK26,Gravesend,22556,896,8117,610,7891,606,6746,595,5332,543,501,168,25,38,1246,305,1145,243,226,83,226,83,179,79,41,41,155,61,21,35,0,36,3439,444,3313,440,2519,351,1406,260,271,109,25,40,1035,258,794,222,126,52,126,52,69,43,24,40,118,51,32,37,0,36,11000,647,5111,496,3947,431,1216,237,243,95,569,201,2425,377,1164,298,5889,500,5889,500,1882,364,776,183,5821,505,2485,356,0,36
BK27,Bath Beach,23410,923,9169,668,8873,661,7758,678,6533,643,496,181,89,69,1028,258,1115,329,296,100,296,100,201,91,77,62,219,81,15,41,0,40,4021,477,3855,454,2857,348,1449,256,208,76,41,42,1211,246,998,290,166,88,166,88,48,54,14,39,164,88,69,72,0,40,10220,579,5630,526,4541,484,2124,316,461,144,450,130,1957,353,1089,278,4590,411,4577,411,1421,257,667,147,4571,411,1747,277,13,43
BK28,Bensonhurst West,68284,1632,27087,1100,26508,1098,21369,1028,16418,894,1460,290,116,81,4203,547,5139,603,579,166,438,135,257,101,51,70,376,128,75,89,141,109,12842,803,12169,791,9300,696,4380,449,1079,254,187,103,4295,496,2869,438,673,152,608,136,217,82,60,68,575,131,44,64,65,85,28355,1076,16505,869,13031,789,5271,513,1381,265,1121,220,6637,623,3474,470,11850,751,11629,746,2720,369,1486,262,11585,745,4368,514,221,145
BK29,Bensonhurst East,49441,1236,19768,916,19311,895,16240,876,13135,798,1250,280,112,77,2542,375,3071,429,457,126,434,122,317,108,34,55,374,116,25,56,23,58,9073,636,8772,637,6524,545,3128,371,747,182,107,77,3062,419,2248,378,301,104,301,104,76,55,55,54,301,104,112,87,0,51,20600,842,11161,691,9011,660,3749,467,879,191,844,185,4548,501,2150,374,9439,607,9405,605,2397,356,1022,202,9338,604,3811,378,34,55
