area_id,area_name,b19025d001,b19025d001_moe
BK09,Brooklyn Heights-Cobble Hill,93746600,31170952
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,202752700,30068274
BK19,Brighton Beach,81439300,15966367
BK21,Seagate-Coney Island,44931100,11280162
BK23,West Brighton,2955800,2907765
BK25,Homecrest,63126400,15308270
BK26,Gravesend,110066800,16768735
BK27,Bath Beach,175994500,27866671
BK28,Bensonhurst West,518803700,40116190
BK29,Bensonhurst East,447867900,49822192
BK30,Dyker Heights,239351800,25224815
BK31,Bay Ridge,313768100,40658946
BK32,Sunset Park West,125059000,27826264
BK33,Carroll Gardens-Columbia Street-Red Hook,110859900,33972376
BK34,Sunset Park East,398293800,32683855
BK35,Stuyvesant Heights,28109800,13764639
BK37,Park Slope-Gowanus,243325100,48024480
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,133942300,27831422
BK40,Windsor Terrace,71894800,21149861
BK41,Kensington-Ocean Parkway,119658100,21445411
BK42,Flatbush,117875400,18465208
BK43,Midwood,66558700,12093079
BK44,Madison,169992800,22898705
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,51017400,11719908
BK46,Ocean Parkway South,10080100,5369061
BK50,Canarsie,28072900,9236030
BK58,Flatlands,27614600,7541020
BK60,Prospect Lefferts Gardens-Wingate,35351300,16589880
BK61,Crown Heights North,29693100,10591565
BK63,Crown Heights South,8706200,11005158
BK64,Prospect Heights,68068600,24317283
BK68,Fort Greene,93223900,31513176
BK69,Clinton Hill,60247900,19090357
BK73,North Side-South Side,93509100,22490926
BK75,Bedford,36021200,11906081
BK76,Greenpoint,37860100,11637371
BK77,Bushwick North,59428900,14001209
BK78,Bushwick South,19281200,7333925
BK79,Ocean Hill,971000,748413
BK81,Brownsville,8907900,5213701
BK82,East New York,8543400,3152432
BK83,Cypress Hills-City Line,50216000,18165869
BK85,East New York (Pennsylvania Ave),755400,663480
BK88,Borough Park,169221500,20758939
BK90,East Williamsburg,74429500,14600808
BK91,East Flatbush-Farragut,2381500,2617809
BK93,Starrett City,1145100,1186377
BK95,Erasmus,5733700,3685240
BK96,Rugby-Remsen Village,11122800,7084870
BX05,Bedford Park-Fordham North,46712000,17519374
BX06,Belmont,3524500,2156809
BX07,Bronxdale,23151300,8395936
BX08,West Farms-Bronx River,7061700,3565036
BX09,Soundview-Castle Hill-Clason Point-Harding Park,10224700,6389120
BX10,Pelham Bay-Country Club-City Island,16496500,8250971
BX13,Co-op City,9888100,5612362
BX14,East Concourse-Concourse Village,5935400,4305487
BX22,North Riverdale-Fieldston-Riverdale,67370400,22737202
BX28,Van Cortlandt Village,31859300,12618995
BX29,Spuyten Duyvil-Kingsbridge,85034700,26588801
BX30,Kingsbridge Heights,27436700,10601123
BX31,Allerton-Pelham Gardens,71760000,23107075
BX33,Longwood,1683200,2239934
BX34,Melrose South-Mott Haven North,4290600,3027366
BX37,Van Nest-Morris Park-Westchester Square,48059600,11502595
BX39,Mott Haven-Port Morris,5629300,5399888
BX41,Mount Hope,21445300,7731371
BX43,Norwood,50249600,12237689
BX44,Williamsbridge-Olinville,19037800,8197936
BX46,Parkchester,43647100,10249171
BX49,Pelham Parkway,94140400,19030905
BX52,Schuylerville-Throgs Neck-Edgewater Park,19171900,11392067
BX55,Soundview-Bruckner,32940500,14413896
BX59,Westchester-Unionport,71086100,15896101
BX62,Woodlawn-Wakefield,28507900,10363426
BX63,West Concourse,6370600,3382991
MN01,Marble Hill-Inwood,31175200,18369433
MN03,Central Harlem North-Polo Grounds,35420600,13893601
MN04,Hamilton Heights,10530900,7337926
MN06,Manhattanville,13947200,9419044
MN09,Morningside Heights,186115700,39272969
MN11,Central Harlem South,68399200,21066008
MN12,Upper West Side,582668900,103026075
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,655793200,124110215
MN14,Lincoln Square,529583800,113383123
MN15,Clinton,404859500,75808321
MN17,Midtown-Midtown South,525976600,103539467
MN19,Turtle Bay-East Midtown,586698200,95811139
MN20,Murray Hill-Kips Bay,457477600,88003701
MN21,Gramercy,163747700,36878098
MN22,East Village,228874900,41510390
MN23,West Village,399106500,122225006
MN24,SoHo-TriBeCa-Civic Center-Little Italy,448389100,94458149
MN25,Battery Park City-Lower Manhattan,540231800,95832791
MN27,Chinatown,465541400,42497368
MN28,Lower East Side,318865300,42978826
MN31,Lenox Hill-Roosevelt Island,498740000,85011719
MN32,Yorkville,500188200,87768781
MN33,East Harlem South,190008700,59016051
MN34,East Harlem North,45486100,14852105
MN35,Washington Heights North,59267500,19014877
MN36,Washington Heights South,53721000,13526779
MN40,Upper East Side-Carnegie Hill,291599400,85360063
MN50,Stuyvesant Town-Cooper Village,157494900,55885806
QN01,South Jamaica,35683800,15090560
QN03,Springfield Gardens South-Brookville,1705900,1753903
QN05,Rosedale,24217600,10322224
QN06,Jamaica Estates-Holliswood,220697200,35430728
QN07,Hollis,49574600,14114129
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,13297200,10833456
QN12,Hammels-Arverne-Edgemere,20254600,10339538
QN15,Far Rockaway-Bayswater,12060300,12526359
QN17,Forest Hills,790919600,68635780
QN18,Rego Park,302021400,53931929
QN19,Glendale,15267400,7947155
QN20,Ridgewood,90105400,17863327
QN21,Middle Village,69215400,19351434
QN22,Flushing,929625800,74868757
QN23,College Point,148277700,23948248
QN25,Corona,113755400,18897810
QN26,North Corona,68082400,14977267
QN27,East Elmhurst,12156900,5351239
QN28,Jackson Heights,495205000,48140633
QN29,Elmhurst,742134300,53531674
QN30,Maspeth,62086100,13012132
QN31,Hunters Point-Sunnyside-West Maspeth,405247500,52971870
QN33,Cambria Heights,4393300,4278625
QN34,Queens Village,260959600,45737446
QN35,Briarwood-Jamaica Hills,313948100,37740038
QN37,Kew Gardens Hills,192748000,30645398
QN38,Pomonok-Flushing Heights-Hillcrest,222107300,27703414
QN41,Fresh Meadows-Utopia,223749500,34986761
QN42,Oakland Gardens,304143300,35129847
QN43,Bellerose,226785100,28397830
QN44,Glen Oaks-Floral Park-New Hyde Park,223422800,31616508
QN45,Douglas Manor-Douglaston-Little Neck,274880000,40746654
QN46,Bayside-Bayside Hills,407541300,32654159
QN47,Ft. Totten-Bay Terrace-Clearview,167062900,34746050
QN48,Auburndale,240483800,28025373
QN49,Whitestone,153392900,28871419
QN50,Elmhurst-Maspeth,273282900,29449743
QN51,Murray Hill,620715100,48533784
QN52,East Flushing,322161100,28486635
QN53,Woodhaven,272085100,34483999
QN54,Richmond Hill,326104400,34461198
QN55,South Ozone Park,365773100,38733612
QN56,Ozone Park,77454200,13257099
QN57,Lindenwood-Howard Beach,24791300,24940339
QN60,Kew Gardens,113379700,22144250
QN61,Jamaica,214927200,29033578
QN62,Queensboro Hill,234380800,27102455
QN63,Woodside,384738400,37012263
QN68,Queensbridge-Ravenswood-Long Island City,45671800,10289356
QN70,Astoria,296901100,39195791
QN71,Old Astoria,110767700,20863682
QN72,Steinway,134539100,27164565
QN76,Baisley Park,24401800,12956797
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,32853600,18263096
SI05,New Springville-Bloomfield-Travis,195587900,29573734
SI07,Westerleigh,50400200,17861186
SI08,Grymes Hill-Clifton-Fox Hills,53517400,14555039
SI11,Charleston-Richmond Valley-Tottenville,28827100,15022844
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,50551900,11078783
SI14,Grasmere-Arrochar-Ft. Wadsworth,38490300,10370883
SI22,West New Brighton-New Brighton-St. George,31354000,12708615
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,134066400,31374376
SI25,Oakwood-Oakwood Beach,11597100,7337689
SI28,Port Richmond,24669900,11099768
SI32,Rossville-Woodrow,28853600,13102560
SI35,New Brighton-Silver Lake,16873500,12349001
SI36,Old Town-Dongan Hills-South Beach,61025300,14873259
SI37,Stapleton-Rosebank,52710300,13209274
SI45,New Dorp-Midland Beach,18240800,7551885
SI48,Arden Heights,44221800,12348490
SI54,Great Kills,41063500,15611907
