area_id,area_name,b19126001,b19126001_moe,b19126002,b19126002_moe,b19126003,b19126003_moe,b19126004,b19126004_moe,b19126005,b19126005_moe,b19126006,b19126006_moe,b19126007,b19126007_moe,b19126008,b19126008_moe,b19126009,b19126009_moe,b19126010,b19126010_moe,b19126011,b19126011_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,224672,22906,238701,31734,265531,36783,197648,40640,152046,73145,193906,109363,129011,156609,166900,181533,111914,109680,59688,108772,221121,169295
BK21,Seagate-Coney Island,29604,4803,24927,12039,19464,50166,24971,13344,30946,6708,30676,19323,30677,33698,30673,53204,33000,11853,20556,29453,38750,14798
BK25,Homecrest,182726,25125,196423,35387,194648,63020,204632,52745,169947,33704,199365,97391,139841,190888,200469,123685,152161,37639,102374,21453,139768,43279
BK27,Bath Beach,47361,33314,61250,45947,45324,19138,92614,60697,40313,39910,50357,46459,50804,65415,27109,79812,19688,70004,80179,132949,19479,50019
BK28,Bensonhurst West,182448,24972,190856,38043,185814,44509,200290,45111,154928,47197,213602,130620,235054,382612,192074,121987,156839,67766,173380,142031,183369,54135
BK29,Bensonhurst East,84925,33831,86694,37508,75912,6365,115938,49398,97353,36778,101023,28736,106420,75262,99714,67651,59411,64657,60781,75428,102445,33335
BK30,Dyker Heights,35960,7235,34567,11362,35833,14332,33984,17038,36733,22786,55952,39405,70188,125804,55774,56936,35057,35057,14219,226129,35909,32612
BK31,Bay Ridge,28667,8191,29833,11282,30179,21027,29750,30256,22500,31419,37667,35508,37917,29671,17279,72088,22292,52357,24643,87838,21042,39096
BK32,Sunset Park West,225976,42944,263121,73729,240695,104245,272202,150777,199081,55692,229778,49584,195371,158409,240910,180831,119945,88862,103887,40562,222819,60797
BK33,Carroll Gardens-Columbia Street-Red Hook,249375,23478,269084,33673,315249,61654,211677,67659,169827,124833,94685,40372,132241,108544,127175,81374,271028,74457,314741,233734,272102,102918
BK34,Sunset Park East,429661,35833,450124,49035,413879,64116,595281,107971,384740,58405,444545,148080,331309,92564,599139,186638,375729,48980,314998,111345,539215,174601
BK35,Stuyvesant Heights,306117,41027,472405,84153,466642,137009,466638,155214,248748,40480,267524,103552,330016,159001,256303,106483,243666,36649,187799,73606,305186,65570
BK37,Park Slope-Gowanus,380250,41998,527618,89395,587367,167212,421155,90603,240373,59207,245375,127314,208385,93181,398069,150369,228117,85935,160398,118613,243462,276862
