area_id,area_name,b11002b001,b11002b001_moe,b11002b002,b11002b002_moe,b11002b003,b11002b003_moe,b11002b004,b11002b004_moe,b11002b005,b11002b005_moe,b11002b006,b11002b006_moe,b11002b007,b11002b007_moe,b11002b008,b11002b008_moe,b11002b009,b11002b009_moe,b11002b010,b11002b010_moe,b11002b011,b11002b011_moe,b11002b012,b11002b012_moe
BK09,Brooklyn Heights-Cobble Hill,759,266,372,223,169,121,169,121,0,29,103,163,103,163,0,29,100,107,100,107,0,29,387,149
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4112,730,3256,718,946,421,946,421,0,55,789,528,675,463,114,124,1521,568,1521,568,0,55,856,261
BK19,Brighton Beach,511,295,457,292,324,264,324,264,0,38,4,42,4,42,0,38,129,130,107,110,22,43,54,55
BK21,Seagate-Coney Island,10190,1070,9095,1093,2741,712,2741,712,0,38,622,326,593,320,29,47,5732,1014,5497,940,235,136,1095,221
BK23,West Brighton,166,112,27,54,0,27,0,27,0,27,0,27,0,27,0,27,27,54,27,54,0,27,139,103
BK25,Homecrest,410,270,279,255,99,104,99,104,0,48,0,48,0,48,0,48,180,238,180,238,0,48,131,99
BK26,Gravesend,2217,576,1777,587,540,415,540,415,0,36,0,36,0,36,0,36,1237,427,1237,427,0,36,440,226
BK27,Bath Beach,553,407,426,389,399,388,399,388,0,40,0,40,0,40,0,40,27,55,27,55,0,40,127,127
BK28,Bensonhurst West,631,258,346,204,215,168,215,168,0,64,62,118,42,92,20,71,69,85,62,81,7,63,285,170
BK29,Bensonhurst East,565,278,311,200,197,171,186,166,11,52,37,73,37,73,0,51,77,100,77,100,0,51,254,201
BK30,Dyker Heights,419,229,218,181,100,145,100,145,0,51,0,51,0,51,0,51,118,117,118,117,0,51,201,151
BK31,Bay Ridge,1609,516,1120,490,765,440,765,440,0,66,56,116,56,116,0,66,299,207,255,164,44,87,489,159
BK32,Sunset Park West,1991,515,1542,491,753,391,753,391,0,49,152,157,136,143,16,54,637,286,571,245,66,82,449,166
BK33,Carroll Gardens-Columbia Street-Red Hook,4243,653,3469,675,624,342,624,342,0,45,516,421,516,421,0,45,2329,633,2309,629,20,54,774,181
BK34,Sunset Park East,1804,540,1605,535,494,265,494,265,0,59,374,280,329,260,45,72,737,379,718,372,19,64,199,111
BK35,Stuyvesant Heights,48136,2075,39478,2201,12130,1520,11868,1486,262,183,4297,836,3957,773,340,127,23051,1942,22038,1834,1013,322,8658,662
BK37,Park Slope-Gowanus,4702,870,3351,818,2175,708,2175,708,0,58,553,296,476,247,77,86,623,319,556,273,67,87,1351,336
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7540,736,5819,747,1181,451,1181,451,0,42,365,191,355,187,10,44,4273,698,4239,694,34,49,1721,279
BK40,Windsor Terrace,1442,514,898,444,599,395,599,395,0,32,115,115,100,99,15,37,184,159,147,119,37,52,544,259
BK41,Kensington-Ocean Parkway,2497,659,2015,638,1257,548,1257,548,0,40,254,178,216,147,38,56,504,276,504,276,0,40,482,163
BK42,Flatbush,53500,2227,44730,2394,17674,1892,17465,1857,209,128,4992,974,4760,929,232,129,22064,1867,21466,1817,598,205,8770,809
BK43,Midwood,2493,574,1998,578,970,393,901,354,69,113,234,288,230,287,4,50,794,332,794,332,0,51,495,155
